int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,empty 6,int32 7,int32 8,empty 9,int32 10,int32 11,empty 12,int32 13,int32 14,empty 15,int32 16,int32 17,empty 18,int32 19,int32 20,empty 21,int32 22,int32 23,empty 24,int32 25
210,20533,,71,200,301,,5,332,,3,0,,0,0,,0,0,,0,0,,0,0,,0
211,20534,,72,200,312,,3,342,,1,0,,0,0,,0,0,,0,0,,0,0,,0
212,20535,,73,200,313,,10,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
213,20536,,54,200,341,,2,312,,2,0,,0,0,,0,0,,0,0,,0,0,,0
214,20537,,55,200,331,,3,351,,1,0,,0,0,,0,0,,0,0,,0,0,,0
215,20538,,56,200,331,,3,312,,1,0,,0,0,,0,0,,0,0,,0,0,,0
216,20539,,57,200,342,,5,332,,3,0,,0,0,,0,0,,0,0,,0,0,,0
217,20540,,43,200,341,,1,331,,10,0,,0,0,,0,0,,0,0,,0,0,,0
218,20541,,28,200,333,,30,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
219,20542,,58,200,331,,10,342,,10,0,,0,0,,0,0,,0,0,,0,0,,0
220,20543,,47,200,341,,2,321,,2,0,,0,0,,0,0,,0,0,,0,0,,0
221,20544,,44,200,351,,10,343,,5,0,,0,0,,0,0,,0,0,,0,0,,0
222,20545,,59,200,342,,3,313,,1,0,,0,0,,0,0,,0,0,,0,0,,0
223,20546,,45,200,321,,10,341,,5,0,,0,0,,0,0,,0,0,,0,0,,0
224,20605,,78,200,302,,10,341,,10,0,,0,0,,0,0,,0,0,,0,0,,0
225,20547,,79,200,302,,3,332,,1,0,,0,0,,0,0,,0,0,,0,0,,0
226,20548,,80,200,352,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
227,20549,,81,200,301,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
