int32 0,float 1,float 2,float 3,float 4,float 5,int32 6,int32 7,float 8,int32 9,string3 10,float 11
10302203,3,360,360,1,1,203,1,0.5,-1,"",0
10302204,3,360,360,1,1,204,1,0.5,-1,"",0
10303099,3,360,360,1,1,99,1,1,-1,"",0
10303201,3,360,360,1,1,201,1,0.5,-1,"",0
10304001,3,360,360,1,1,1,1,0.5,-1,"",0
10304201,3,360,360,1,1,201,1,0.5,-1,"",0
10304202,3,360,360,1,1,202,1,0.5,-1,"",0
10304203,3,360,360,1,1,203,1,0.5,-1,"",0
10304204,3,360,360,1,1,204,1,0.5,-1,"",0
10305001,3,360,360,1,1,1,1,0.5,-1,"",0
10305002,3,360,360,1,1,2,1,0.5,-1,"",0
10305003,3,360,360,1,1,3,1,0.5,-1,"",0
10305004,3,360,360,1,1,4,1,0.5,-1,"",0
10305005,3,360,360,1,1,5,1,0.5,-1,"",0
10305006,3,360,360,1,1,6,1,0.5,-1,"",0
10305007,16,360,360,1,1,7,1,0,0,"",1
10305099,3,360,360,1,1,99,1,1,-1,"",0
10305201,3,360,360,1,1,201,1,0.5,-1,"",0
10305202,3,360,360,1,1,202,1,0.5,-1,"",0
10305203,3,360,360,1,1,203,1,0.5,-1,"",0
10305204,3,360,360,1,1,204,1,0.5,-1,"",0
10306001,3,360,360,1,1,1,1,0.5,-1,"",0
10306099,3,360,360,1,1,99,1,1,-1,"",0
10306201,3,360,360,1,1,201,1,0.5,-1,"",0
10307001,16,360,360,1,1,1,1,0,0,"",1
10307002,16,360,360,1,1,2,1,0,0,"",1
10307003,16,360,360,1,1,3,1,0,0,"",1
10307004,16,360,360,1,1,4,1,0,0,"",1
10307099,3,360,360,1,1,99,1,1,-1,"",0
10307201,3,360,360,1,1,201,1,0.5,-1,"",0
10307202,3,360,360,1,1,202,1,0.5,-1,"",0
10307203,3,360,360,1,1,203,1,0.5,-1,"",0
10307204,3,360,360,1,1,204,1,0.5,-1,"",0
10307205,3,360,360,1,1,205,1,0.5,-1,"",0
10308201,3,360,360,1,1,201,1,0.5,-1,"",0
10401001,8,360,360,1,1,1,1,0,0,"",1
10401201,3,360,360,1,1,201,1,0.5,-1,"",0
10401202,3,360,360,1,1,202,1,0.5,-1,"",0
10401203,3,360,360,1,1,203,1,0.5,-1,"",0
10401204,3,360,360,1,1,204,1,0.5,-1,"",0
10401205,3,360,360,1,1,205,1,0.5,-1,"",0
10401401,3,360,360,1,1,401,1,0.5,-1,"",0
10401402,3,360,360,1,1,402,1,0.5,-1,"",0
10401403,3,360,360,1,1,403,1,0.5,-1,"",0
10401404,3,360,360,1,1,404,1,0.5,-1,"",0
10401405,3,360,360,1,1,405,1,0.5,-1,"",0
10401406,3,360,360,1,1,406,1,0.5,-1,"",0
10401407,3,360,360,1,1,407,1,0.5,-1,"",0
10401408,3,360,360,1,1,408,1,0.5,-1,"",0
10401409,3,360,360,1,1,409,1,0.5,-1,"",0
10401410,3,360,360,1,1,410,1,0.5,-1,"",0
10402001,3,360,360,1,1,1,1,0,-1,"",0
10402099,3,360,360,1,1,99,1,1,-1,"",0
10402201,3,360,360,1,1,201,1,0.5,-1,"",0
10402202,3,360,360,1,1,202,1,0.5,-1,"",0
10402203,3,360,360,1,1,203,1,0.5,-1,"",0
10402204,3,360,360,1,1,204,1,0.5,-1,"",0
10402205,3,360,360,1,1,205,1,0.5,-1,"",0
10402401,3,360,360,1,1,401,1,0.5,-1,"",0
10402402,3,360,360,1,1,402,1,0.5,-1,"",0
10402403,3,360,360,1,1,403,1,0.5,-1,"",0
10402404,3,360,360,1,1,404,1,0.5,-1,"",0
10402405,3,360,360,1,1,405,1,0.5,-1,"",0
10402406,3,360,360,1,1,406,1,0.5,-1,"",0
10403001,3,360,360,1,1,1,1,0.5,-1,"",0
10403002,3,360,360,1,1,2,1,0.5,-1,"",0
10403003,3,360,360,1,1,3,-1,0,-1,"",0
10403004,3,360,360,1,1,4,-1,0,-1,"",0
10403099,3,360,360,1,1,99,1,1,-1,"",0
10403201,3,360,360,1,1,201,1,0.5,-1,"",0
10403202,3,360,360,1,1,202,1,0.5,-1,"",0
10403203,3,360,360,1,1,203,1,0.5,-1,"",0
10403204,3,360,360,1,1,204,1,0.5,-1,"",0
10403205,3,360,360,1,1,205,1,0.5,-1,"",0
10403401,3,360,360,1,1,401,1,0.5,-1,"",0
10403402,3,360,360,1,1,402,1,0.5,-1,"",0
10403403,3,360,360,1,1,403,1,0.5,-1,"",0
10403404,3,360,360,1,1,404,1,0.5,-1,"",0
10403405,3,360,360,1,1,405,1,0.5,-1,"",0
10403406,3,360,360,1,1,406,1,0.5,-1,"",0
10403407,3,360,360,1,1,407,1,0.5,-1,"",0
10403408,3,360,360,1,1,408,-1,0,-1,"",0
10404001,8,360,360,1,1,1,1,0,0,"",1
10404099,3,360,360,1,1,99,1,1,-1,"",0
10404201,3,360,360,1,1,201,1,0.5,-1,"",0
10404202,3,360,360,1,1,202,1,0.5,-1,"",0
10404203,3,360,360,1,1,203,1,0.5,-1,"",0
10404204,3,360,360,1,1,204,1,0.5,-1,"",0
10404205,3,360,360,1,1,205,1,0.5,-1,"",0
10404206,3,360,360,1,1,206,1,0.5,-1,"",0
10404401,3,360,360,1,1,401,1,0.5,-1,"",0
10404402,3,360,360,1,1,402,1,0.5,-1,"",0
10404403,3,360,360,1,1,403,1,0.5,-1,"",0
10404404,3,360,360,1,1,404,1,0.5,-1,"",0
10404405,3,360,360,1,1,405,1,0.5,-1,"",0
10404406,3,360,360,1,1,406,1,0.5,-1,"",0
10404407,3,360,360,1,1,407,1,0.5,-1,"",0
10404408,3,360,360,1,1,408,1,0.5,-1,"",0
10404409,3,360,360,1,1,409,1,0.5,-1,"",0
10404410,3,360,360,1,1,410,1,0.5,-1,"",0
10405201,3,360,360,1,1,201,1,0.5,-1,"",0
10405202,3,360,360,1,1,202,1,0.5,-1,"",0
10405203,3,360,360,1,1,203,1,0.5,-1,"",0
10405401,3,360,360,1,1,401,1,0.5,-1,"",0
10405402,3,360,360,1,1,402,1,0.5,-1,"",0
10405403,3,360,360,1,1,403,1,0.5,-1,"",0
10405404,3,360,360,1,1,404,1,0.5,-1,"",0
10405405,3,360,360,1,1,405,1,0.5,-1,"",0
10405406,3,360,360,1,1,406,1,0.5,-1,"",0
10405407,3,360,360,1,1,407,1,0.5,-1,"",0
10405408,3,360,360,1,1,408,1,0.5,-1,"",0
10406001,16,360,360,5,1,1,1,0,0,"",1
10406002,3,360,360,1,1,2,1,0.5,-1,"",0
10406003,8,360,360,1,1,3,1,0,0,"",1
10406004,3,360,360,1,1,4,-1,0,-1,"",0
10406005,3,360,360,1,1,5,-1,0,-1,"",0
10406006,3,360,360,1,1,6,-1,0,-1,"",0
10406201,3,360,360,1,1,201,1,0.5,-1,"",0
10406202,3,360,360,1,1,202,1,0.5,-1,"",0
10406203,3,360,360,1,1,203,1,0.5,-1,"",0
10406204,3,360,360,1,1,204,1,0.5,-1,"",0
10406205,3,360,360,1,1,205,1,0.5,-1,"",0
10406206,3,360,360,1,1,206,1,0.5,-1,"",0
10406207,3,360,360,1,1,207,1,0.5,-1,"",0
10406208,3,360,360,1,1,208,1,0.5,-1,"",0
10406209,3,360,360,1,1,209,1,0.5,-1,"",0
10406401,3,360,360,1,1,401,1,0.5,-1,"",0
10406402,3,360,360,1,1,402,1,0.5,-1,"",0
10406403,3,360,360,1,1,403,1,0.5,-1,"",0
10406404,3,360,360,1,1,404,1,0.5,-1,"",0
10406405,3,360,360,1,1,405,1,0.5,-1,"",0
10406406,3,360,360,1,1,406,1,0.5,-1,"",0
10406407,3,360,360,1,1,407,1,0.5,-1,"",0
10406408,3,360,360,1,1,408,1,0.5,-1,"",0
10406409,3,360,360,1,1,409,1,0.5,-1,"",0
10406410,3,360,360,1,1,410,1,0.5,-1,"",0
10406411,3,360,360,1,1,411,1,0.5,-1,"",0
10407001,3,360,360,1,1,1,1,0.5,-1,"",0
10407002,3,360,360,1,1,2,-1,0,-1,"",0
10407099,3,360,360,1,1,99,1,1,-1,"",0
10407201,3,360,360,1,1,201,1,0.5,-1,"",0
10407202,3,360,360,1,1,202,1,0.5,-1,"",0
10407203,3,360,360,1,1,203,1,0.5,-1,"",0
10407204,3,360,360,1,1,204,1,0.5,-1,"",0
10407205,3,360,360,1,1,205,1,0.5,-1,"",0
10407206,3,360,360,1,1,206,1,0.5,-1,"",0
10407207,3,360,360,1,1,207,1,0.5,-1,"",0
10407401,3,360,360,1,1,401,1,0.5,-1,"",0
10407402,3,360,360,1,1,402,1,0.5,-1,"",0
10407403,3,360,360,1,1,403,1,0.5,-1,"",0
10407404,3,360,360,1,1,404,1,0.5,-1,"",0
10407405,3,360,360,1,1,405,1,0.5,-1,"",0
10407406,3,360,360,1,1,406,1,0.5,-1,"",0
10407407,3,360,360,1,1,407,1,0.5,-1,"",0
10407408,3,360,360,1,1,408,1,0.5,-1,"",0
10407409,3,360,360,1,1,409,1,0.5,-1,"",0
10407410,3,360,360,1,1,410,1,0.5,-1,"",0
10407411,3,360,360,1,1,411,1,0.5,-1,"",0
10501001,3,360,360,1,1,1,1,1,-1,"",0
10501002,3,360,360,1,1,2,1,1,-1,"",0
10501003,3,360,360,1,1,3,1,1,-1,"",0
10501004,3,360,360,1,1,4,1,1,-1,"",0
10501005,3,360,360,1,1,5,1,1,-1,"",0
10501006,3,360,360,1,1,6,1,1,-1,"",0
10501007,3,360,360,1,1,7,1,1,-1,"",0
10501008,3,360,360,1,1,8,1,1,-1,"",0
10501009,3,180,180,1,1,9,1,1,-1,"",0
10501010,3,360,360,1,1,10,1,1,-1,"",0
10501013,0,0,0,1,1,13,-1,0,-1,"",0
10501014,0,0,0,1,1,14,-1,0,-1,"",0
10501015,0,0,0,1,1,15,-1,0,-1,"",0
10501016,0,360,360,1,1,16,-1,0,-1,"",0
10501097,3,360,360,1,1,97,1,0,-1,"",0
10501098,0,360,360,1,1,98,-1,0,-1,"",0
10501099,3,360,360,1,1,99,1,1,-1,"",0
10501200,3,360,360,1,1,200,1,1,-1,"",0
10501201,3,360,360,1,1,201,1,1,-1,"",0
10501202,3,360,360,1,1,202,1,1,-1,"",0
10501220,3,360,360,1,1,220,1,1,-1,"",0
10501221,3,360,360,1,1,221,1,1,-1,"",0
10501222,3,360,360,1,1,222,1,1,-1,"",0
10501223,3,360,360,1,1,223,1,1,-1,"",0
10501224,3,360,360,1,1,224,1,1,-1,"",0
10502001,3,360,360,1,1,1,1,1,-1,"",0
10502002,3,360,360,1,1,2,1,1,-1,"",0
10502003,3,360,360,1,1,3,1,1,-1,"",0
10502004,3,360,360,1,1,4,1,1,-1,"",0
10502040,3,360,360,1,1,40,1,1,-1,"",0
10502041,3,360,360,1,1,41,1,1,-1,"",0
10502007,0,0,0,1,1,7,-1,0,-1,"",0
10502008,0,0,0,1,1,8,-1,0,-1,"",0
10502009,0,0,0,1,1,9,-1,0,-1,"",0
10502200,3,360,360,1,1,200,1,1,-1,"",0
10502201,3,360,360,1,1,201,1,1,-1,"",0
10502202,3,360,360,1,1,202,1,1,-1,"",0
10502220,3,360,360,1,1,220,1,1,-1,"",0
10502221,3,360,360,1,1,221,1,1,-1,"",0
10502222,3,360,360,1,1,222,1,1,-1,"",0
10502223,3,360,360,1,1,223,1,1,-1,"",0
10502224,3,360,360,1,1,224,1,1,-1,"",0
10502400,3,360,360,1,1,400,1,0,-1,"",0
10503001,3,360,360,1,1,1,1,1,-1,"",0
10503002,3,360,360,1,1,2,1,1,-1,"",0
10503003,3,360,360,1,1,3,1,1,-1,"",0
10503004,3,360,360,1,1,4,1,1,-1,"",0
10503005,3,360,360,1,1,5,1,1,-1,"",0
10503006,3,360,360,1,1,6,1,1,-1,"",0
10503007,3,360,360,1,1,7,1,1,-1,"",0
10503009,3,360,360,1,1,9,1,1,-1,"",0
10503010,3,360,360,1,1,10,1,1,-1,"",0
10503011,0,0,0,1,1,11,-1,0,-1,"",0
10503012,0,0,0,1,1,12,-1,0,-1,"",0
10503013,0,0,0,1,1,13,-1,0,-1,"",0
10503014,0,0,0,1,1,14,-1,0,-1,"",0
10503015,0,0,0,1,1,15,-1,0,-1,"",0
10503016,0,0,0,1,1,16,-1,0,-1,"",0
10503017,0,0,0,1,1,17,-1,0,-1,"",0
10503018,0,0,0,1,1,18,-1,0,-1,"",0
10503019,0,0,0,1,1,19,-1,0,-1,"",0
10503200,3,360,360,1,1,200,1,1,-1,"",0
10503201,3,360,360,1,1,201,1,1,-1,"",0
10503202,3,360,360,1,1,202,1,1,-1,"",0
10503203,3,360,360,1,1,203,1,1,-1,"",0
10503220,3,360,360,1,1,220,1,1,-1,"",0
10503221,3,360,360,1,1,221,1,1,-1,"",0
10503222,3,360,360,1,1,222,1,1,-1,"",0
10503223,3,360,360,1,1,223,1,1,-1,"",0
10503224,3,360,360,1,1,224,1,1,-1,"",0
10503225,3,360,360,1,1,225,1,1,-1,"",0
10503226,3,360,360,1,1,226,1,1,-1,"",0
10503227,3,360,360,1,1,227,1,1,-1,"",0
10504001,3,360,360,1,1,1,1,1,-1,"",0
10504002,3,360,360,1,1,2,1,1,-1,"",0
10504003,3,360,360,1,1,3,1,1,-1,"",0
10504004,3,360,360,1,1,4,1,1,-1,"",0
10504040,3,360,360,1,1,40,1,1,-1,"",0
10504041,3,360,360,1,1,41,1,1,-1,"",0
10504050,0,0,0,1,1,50,-1,0,-1,"",0
10504051,0,0,0,1,1,51,-1,0,-1,"",0
10504052,0,0,0,1,1,52,-1,0,-1,"",0
10504053,0,0,0,1,1,53,-1,0,-1,"",0
10504200,3,360,360,1,1,200,1,1,-1,"",0
10504201,3,360,360,1,1,201,1,1,-1,"",0
10504202,3,360,360,1,1,202,1,1,-1,"",0
10504220,3,360,360,1,1,220,1,1,-1,"",0
10504221,3,360,360,1,1,221,1,1,-1,"",0
10504222,3,360,360,1,1,222,1,1,-1,"",0
10504223,3,360,360,1,1,223,1,1,-1,"",0
10504224,3,360,360,1,1,224,1,1,-1,"",0
10505225,3,360,360,1,1,225,1,1,-1,"",0
10505001,3,180,180,1,1,1,1,1,-1,"",0
10505002,3,360,360,1,1,2,1,1,-1,"",0
10505050,0,0,0,1,1,50,-1,0,-1,"",0
10505051,0,0,0,1,1,51,-1,0,-1,"",0
10505052,0,0,0,1,1,52,-1,0,-1,"",0
10505200,3,360,360,1,1,200,1,1,-1,"",0
10505201,3,360,360,1,1,201,1,1,-1,"",0
10505202,3,360,360,1,1,202,1,1,-1,"",0
10505220,3,360,360,1,1,220,1,1,-1,"",0
10505221,3,360,360,1,1,221,1,1,-1,"",0
10505222,3,360,360,1,1,222,1,1,-1,"",0
10505223,3,360,360,1,1,223,1,1,-1,"",0
10505224,3,360,360,1,1,224,1,1,-1,"",0
10505400,5,360,360,1,1,400,1,1,-1,"",0
10505401,5,360,360,1,1,401,1,1,-1,"",0
10506001,3,360,360,1,1,1,1,1,-1,"",0
10506002,3,360,360,1,1,2,1,1,-1,"",0
10506003,3,360,360,1,1,3,1,1,-1,"",0
10506004,3,360,360,1,1,4,1,1,-1,"",0
10506005,3,360,360,1,1,5,1,1,-1,"",0
10506006,3,360,360,1,1,6,1,1,-1,"",0
10506007,3,360,360,1,1,7,1,1,-1,"",0
10506008,3,360,360,1,1,8,1,1,-1,"",0
10506009,0,360,360,1,1,9,-1,0,-1,"",0
10506010,0,360,360,1,1,10,-1,0,-1,"",0
10506011,3,360,360,1,1,11,1,1,-1,"",0
10506012,3,360,360,1,1,12,1,1,-1,"",0
10506013,3,360,360,1,1,13,1,1,-1,"",0
10506014,3,360,360,1,1,14,1,1,-1,"",0
10506015,3,360,360,1,1,15,1,1,-1,"",0
10506016,3,360,360,1,1,16,1,1,-1,"",0
10506017,3,360,360,1,1,17,1,1,-1,"",0
10506099,3,360,360,1,1,99,1,1,-1,"",0
10507001,3,360,360,1,1,1,1,1,-1,"",0
10507002,3,360,360,1,1,2,1,1,-1,"",0
10507003,0,360,360,1,1,3,-1,0,-1,"",0
10507004,0,360,360,1,1,4,-1,0,-1,"",0
10507005,3,360,360,1,1,5,1,1,-1,"",0
10507006,3,360,360,1,1,6,1,1,-1,"",0
10508001,3,360,360,1,1,1,1,1,-1,"",0
10508002,3,360,360,1,1,2,1,1,-1,"",0
10508003,3,360,360,1,1,3,1,1,-1,"",0
10508004,3,360,360,1,1,4,1,1,-1,"",0
10508005,3,360,360,1,1,5,1,1,-1,"",0
10508006,3,360,360,1,1,6,1,1,-1,"",0
10508007,3,360,360,1,1,7,1,1,-1,"",0
10508008,3,360,360,1,1,8,1,1,-1,"",0
10508009,3,360,360,1,1,9,1,1,-1,"",0
10508010,3,360,360,1,1,10,1,1,-1,"",0
10508011,3,360,360,1,1,11,1,1,-1,"",0
10508012,3,360,360,1,1,12,1,1,-1,"",0
10509001,3,360,360,1,1,1,1,1,-1,"",0
10509002,3,360,360,1,1,2,1,1,-1,"",0
10509003,3,360,360,1,1,3,1,1,-1,"",0
10509004,3,360,360,1,1,4,1,1,-1,"",0
10509005,3,360,360,1,1,5,1,1,-1,"",0
10509006,0,360,360,1,1,6,-1,0,-1,"",0
10509007,0,360,360,1,1,7,-1,0,-1,"",0
10509008,0,360,360,1,1,8,-1,0,-1,"",0
10509009,0,360,360,1,1,9,-1,0,-1,"",0
10509010,3,360,360,1,1,10,1,1,-1,"",0
10509011,3,360,360,1,1,11,1,1,-1,"",0
10510001,3,360,360,1,1,1,1,1,-1,"",0
10510002,3,360,360,1,1,2,1,1,-1,"",0
10510003,3,360,360,1,1,3,1,1,-1,"",0
10510004,3,360,360,1,1,4,1,1,-1,"",0
10510005,3,360,360,1,1,5,1,1,-1,"",0
10510006,3,360,360,1,1,6,1,1,-1,"",0
10510007,3,360,360,1,1,7,1,1,-1,"",0
10510008,3,360,360,1,1,8,1,1,-1,"",0
10510009,3,360,360,1,1,9,1,1,-1,"",0
10510010,3,360,360,1,1,10,1,1,-1,"",0
10510011,3,360,360,1,1,11,1,1,-1,"",0
10510012,3,360,360,1,1,12,1,1,-1,"",0
10511001,3,360,360,1,1,1,1,1,-1,"",0
10511002,3,360,360,1,1,2,1,1,-1,"",0
10511003,3,360,360,1,1,3,1,1,-1,"",0
10511004,0,360,360,1,1,4,-1,0,-1,"",0
10511005,0,360,360,1,1,6,-1,0,-1,"",0
10511006,0,360,360,1,1,5,-1,0,-1,"",0
10511007,3,360,360,1,1,7,1,1,-1,"",0
10511008,3,360,360,1,1,8,1,1,-1,"",0
10511110,8,360,360,1,1,110,1,0,0,"",1
10511111,8,360,360,1,1,111,1,0,0,"",1
10511112,8,360,360,1,1,112,1,0,0,"",1
10511113,8,360,360,1,1,113,1,0,0,"",1
10512001,3,360,360,1,1,1,1,0,-1,"",0
10512002,3,360,360,1,1,2,1,0,-1,"",0
10512003,3,360,360,1,1,3,1,0,-1,"",0
10512004,3,360,360,1,1,4,1,1,-1,"",0
10512005,3,360,360,1,1,5,1,1,-1,"",0
10512099,3,360,360,1,1,99,1,1,-1,"",0
11001001,2,90,160,1,1,1,1,1.3,-1,"",0
11001002,0,360,360,1,1,0,-1,0,-1,"",0
11001003,0,360,360,1,1,0,-1,0,-1,"",0
11001004,2,90,160,1,1,2,1,2,-1,"",0
11001104,2,360,360,1,1,104,1,1.5,-1,"",0
11001200,2,90,360,1,1,3,1,0.3,-1,"",0
11001201,2,90,360,1,1,4,1,0.3,-1,"",0
11001301,0,360,360,1,1,0,-1,1,-1,"",0
11002001,0,360,360,1,1,1,-1,0,-1,"",0
11401001,2,90,360,1,1,1,1,1.5,-1,"",0
11401002,0,360,360,1,1,2,-1,0,-1,"",0
11402001,2,90,360,1,1,1,1,1.5,-1,"",0
11402002,0,360,360,1,1,2,-1,0,-1,"",0
11402004,3,90,160,1,1,4,1,1.5,-1,"",0
11402200,2,90,360,1,1,200,1,0.3,-1,"",0
11402201,2,90,360,1,1,201,1,0.3,-1,"",0
11402202,2,90,360,1,1,202,1,0.3,-1,"",0
11402203,2,90,360,1,1,203,1,0.3,-1,"",0
11402204,2,90,360,1,1,204,1,0.3,-1,"",0
11403001,2,90,360,1,1,1,1,1.5,-1,"",0
11403002,0,360,360,1,1,2,-1,0,-1,"",0
11403003,0,360,360,1,1,3,-1,0,-1,"",0
11403004,0,360,360,1,1,4,-1,0,-1,"",0
11403005,0,360,360,1,1,5,-1,0,-1,"",0
11403200,2,90,360,1,1,200,1,0.3,-1,"",0
11403201,3,90,360,1,1,201,1,0.3,-1,"",0
11403401,3,180,360,1,1,401,1,1.5,-1,"",0
11404001,2,90,360,1,1,1,1,1.5,-1,"",0
11404200,2,90,360,1,1,200,1,0.3,-1,"",0
11404201,2,90,360,1,1,201,1,0.3,-1,"",0
11405200,2,90,360,1,1,200,1,0.3,-1,"",0
11405201,2,90,360,1,1,201,1,0.3,-1,"",0
11405202,2,90,360,1,1,202,1,0.3,-1,"",0
11406200,2,90,360,1,1,200,1,0.3,-1,"",0
11406201,2,90,360,1,1,201,1,0.3,-1,"",0
