int32 0,int32 1,int32 2,int32 3,float 4,float 5,float 6,float 7,float 8,string3 9,string3 10,float 11,float 12,float 13,float 14,int32 15,float 16,float 17,int32 18,float 19,int32 20,int32 21,int32 22,float 23,float 24,int32 25,float 26,int32 27,float 28,float 29,float 30,int32 31
1020509,90710,0,-1,-33.412315,-2.991329,-0.79889,160.09341,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020510,90380,0,-1,11.933476,-11.9913,-55.498028,-3.494307,1,"bn01","ba02",90,10,2.5,1,3,0,0,-1,3,0,0,0,6,15,-1,3,0,0,0,0,-1
1020701,90341,0,-1,-1.012039,0,0.191395,-34.631466,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020702,90341,0,-1,-3.067176,13.499999,-7.994131,0,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020703,90020,0,-1,-11.147664,13.499999,-8.183692,197.17644,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020901,90020,0,-1,4.964857,0,12.360409,0,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020902,90706,0,-1,-4.676465,0,7.55987,0,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1020903,90341,0,-1,11.004633,0,4.499349,-61.52119,1,"bn01","ba02",45,10,2.5,1,0,4,10,-1,3,0,0,0,6,10,-1,3,0,0,0,0,-1
1030101,90103,0,-1,43.305172,1.5,63.438328,29.869637,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030102,90103,0,-1,41.332424,1.5,10.130865,-41.51249,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030104,90103,0,-1,-2.454593,1.21816,-80.39334,-149.59912,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030105,90709,0,-1,-49.98115,1.25815,-45.404335,34.349022,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030106,90015,0,-1,-37.246758,5.885345,-29.209473,11.309765,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030107,90103,0,-1,38.672543,1.5,7.163554,-42.86368,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030108,90103,0,-1,23.805504,1.5,42.991516,26.906189,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030109,90103,0,-1,41.266804,1.5,65.30858,95.341965,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030110,90015,0,-1,-35.15055,8.16433,46.52701,0,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030111,90103,0,-1,5.200571,1.21816,5.308091,0,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030112,90103,0,-1,5.481966,1.5,-34.655205,0,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030201,90103,0,-1,-23.941307,4.05316,72.195786,30.456142,1,"bn01","ba02",45,15,2.5,1,0,2,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030202,90103,0,-1,24.233711,4.05316,41.726265,-56.010216,1,"bn01","ba02",45,15,2.5,1,0,2,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030203,90103,0,-1,11.963822,4.053159,65.90864,35.054565,1,"bn01","ba02",45,15,2.5,1,0,2,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030204,90103,0,-1,5.750663,4.053159,70.74305,-42.429306,1,"bn01","ba02",45,15,2.5,1,0,2,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030205,90455,0,-1,38.370174,1.661087,15.344164,-206.14304,1,"bn01","ba02",45,15,2.5,1,0,1,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030206,90455,0,-1,-16.489641,6.938106,12.885288,-190.78246,1,"bn01","ba02",45,15,2.5,1,0,1,10,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030207,90455,0,-1,-21.62091,8.494904,2.322976,0,1,"bn01","ba02",45,15,2.5,1,0,1,10,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030208,90595,0,-1,-47.73448,12.990998,27.54296,0,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030209,90595,0,-1,-41.210236,12.990999,-4.290058,72.772705,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030210,90595,0,-1,-28.690193,12.065799,-57.03514,-40.904896,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030211,90595,0,-1,-26.504457,11.891724,-31.020803,-42.713593,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030301,90320,0,-1,82.79096,11.966599,-39.965527,-32.88129,1,"fe02","ba02",0,10,2.5,1,3,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030302,90320,0,-1,83.69718,11.903999,-36.41561,-155.57805,1,"fe02","ba02",0,10,2.5,1,3,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030303,90320,0,-1,85.133705,11.966599,-38.41303,270.5149,1,"fe02","ba02",0,10,2.5,1,3,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030304,90320,0,-1,80.654076,8.481649,-78.057396,-75.32384,1,"bn01","ba02",0,10,2.5,1,0,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030305,90320,0,-1,79.311615,8.481649,-83.29386,-44.756596,1,"bn01","ba02",0,10,2.5,1,0,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030306,90320,0,-1,-31.072018,12.029299,-69.46324,111.06833,1,"bn01","ba02",0,10,2.5,1,0,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030307,90347,0,-1,66.44283,-5.36104,119.3372,-89.818245,1,"bn01","ba02",45,10,2.5,1,0,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030308,90709,0,-1,-29.950998,-8.69757,100.23728,-25.742031,1,"bn01","ba02",45,10,2.5,1,0,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030309,90514,0,-1,43.034813,0,76.73171,-114.20794,1,"bn01","ba02",180,10,2.5,1,0,3,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030310,90514,0,-1,-30.121244,12.029298,-72.64434,47.507607,1,"fe02","ba02",240,10,2.5,1,3,3,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030311,90514,0,-1,39.86122,1e-06,74.08092,23.159952,1,"bn01","ba02",180,10,2.5,1,0,3,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030312,90514,0,-1,40.50545,-0.027632,78.59953,171.33298,1,"bn01","ba02",180,10,2.5,1,0,3,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030313,90514,0,-1,-27.971266,12.029299,-70.17376,-145.21162,1,"fe02","ba02",240,10,2.5,1,3,3,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030314,90347,0,-1,-93.22458,-8.697571,98.501755,38.40448,1,"bn01","ba02",45,10,2.5,1,0,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030315,90709,0,-1,80.71131,8.481649,-80.707924,65.026955,1,"bn01","ba02",45,10,2.5,1,0,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030316,90709,0,-1,109.73285,10.974601,-36.1655,-10.933635,1,"bn01","ba02",45,10,2.5,1,0,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030317,90709,0,-1,75.765175,4.91409,30.36223,-62.78313,1,"bn01","ba02",45,10,2.5,1,0,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030318,90709,0,-1,-27.444637,-8.69757,101.34216,68.01023,1,"bn01","ba02",45,10,2.5,1,0,3,5,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030401,90345,0,-1,10.602263,-19.999998,4.323376,68.039375,2.5,"bn02","ba02",60,10,2.5,1,3,2,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030402,90389,0,-1,-9.611111,-19.999998,-4.725699,0,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030403,90389,0,-1,-10.488446,-19.999996,34.320526,-22.945045,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030404,90389,0,-1,-35.381172,-19.999996,4.534138,228.37164,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030405,90389,0,-1,-28.634018,-21.870275,-21.331364,147.44154,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030406,90389,0,-1,9.353698,-31.055864,-33.91284,0,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030407,90389,0,-1,12.415439,-14.692267,-21.381353,-69.11189,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030408,90455,0,-1,-2.386531,0,7.053495,-157.32185,1,"bn01","ba02",45,15,2.5,1,0,1,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030409,90455,0,-1,-8.174154,0,-3.66367,72.161545,1,"bn01","ba02",45,15,2.5,1,0,1,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030410,90455,0,-1,32.506886,0,-2.853687,94.7119,1,"bn01","ba02",45,15,2.5,1,0,1,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030411,90455,0,-1,8.459394,20.999996,0.831057,0,1,"bn01","ba02",45,15,2.5,1,0,1,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030412,90455,0,-1,-29.955906,13.210825,16.024002,60.452595,1,"bn01","ba02",45,15,2.5,1,0,1,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030413,90455,0,-1,-5.653762,20.999998,7.865151,-112.77842,1,"bn01","ba02",45,15,2.5,1,0,1,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030414,90514,0,-1,16.315857,-19.999998,9.402811,-238.67586,1,"fe02","ba02",360,8,2.5,1,3,1,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030415,90514,0,-1,18.193022,-20,3.387661,-34.540012,1,"fe02","ba02",360,8,2.5,1,3,1,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030416,90514,0,-1,19.086143,-19.999998,7.328186,-122.84676,1,"fe03","ba02",360,8,2.5,1,3,1,5,-1,3,0,0,1,6,20,-1,3,0,0,0,0,-1
1030417,90594,0,-1,4.363924,0,-6.839478,-39.55696,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030418,90594,0,-1,15.009241,0,-28.898813,0,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030419,90594,0,-1,-30.15919,0,12.227267,196.27264,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030420,90594,0,-1,-31.719316,40.125153,-13.845877,173.74715,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030421,90594,0,-1,13.312914,44.999996,-31.56697,-28.821777,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030422,90594,0,-1,8.502404,20.999998,-33.031982,-11.683262,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030423,90594,0,-1,18.95931,22.999998,27.21616,0,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030424,90594,0,-1,-22.790483,-8.41892,-27.11755,0,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030501,90020,0,-1,4.57278,19.539999,-2.389967,-181.97433,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030502,90020,0,-1,-3.204678,19.539997,-3.572302,-33.49358,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030503,90222,0,-1,0.775346,-23.207699,-2.898453,-111.33381,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030504,90222,0,-1,-27.684526,-19.999998,-20.8497,0,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030505,90222,0,-1,-3.391289,-7.04846,-15.037628,111.17225,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030506,90222,0,-1,13.914274,-13.090479,8.47204,0,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030507,90222,0,-1,-28.17031,-33.80667,17.429628,0,1,"bn01","ba02",360,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030508,90223,0,-1,-6.175441,-8.999999,27.249157,-11.517661,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030509,90223,0,-1,0.558504,0,1.33576,35.92718,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030510,90223,0,-1,33.33054,0,6.790608,-91.85115,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030511,90223,0,-1,-15.61047,-29.401098,32.21235,84.35702,1,"bn01","ba02",360,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030512,90228,0,-1,-10.309468,19.539999,-19.875196,221.45523,1,"bn01","ba02",360,15,2.5,1,3,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030513,90228,0,-1,-14.600503,19.539999,-15.977584,-127.9643,1,"bn01","ba02",360,15,2.5,1,3,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030514,90313,0,-1,1.613543,19.539999,4.152761,-122.115166,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030515,90584,0,-1,31.968512,-41,0.327452,0,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030516,90584,0,-1,23.23291,-19.999998,-23.56396,0,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030517,90584,0,-1,34.136925,-19.999998,3.025942,-168.13184,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030518,90584,0,-1,-34.474075,0,6.155168,-71.50324,1,"bn01","ba02",45,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030519,90584,0,-1,-15.081887,-41,-31.811892,-39.647533,1,"bn01","ba02",360,15,2.5,1,0,3,10,-1,3,0,0,0,6,20,-1,3,0,0,0,0,-1
1030601,90132,0,-1,29.750526,-20.245699,-32.733948,-100.254585,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030602,90130,0,-1,-31.083948,-20.2457,-33.401825,-7.512803,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030603,90605,0,-1,-0.294242,-12.400198,-5.073801,36.066444,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030604,90605,0,-1,-5.733619,-8.220249,46.60723,13.907745,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030605,90130,0,-1,-0.462191,-8.239923,19.532778,7.923399,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030606,90605,0,-1,20.639389,-8.220249,49.178364,57.748962,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030607,90605,0,-1,-26.704021,-20.245699,-32.87428,15.712277,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030608,90130,0,-1,-22.91309,-8.220249,32.89638,-126.12156,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030701,90075,0,-1,30.052877,-2e-06,-114.61611,0,1,"bn01","ba02",45,15,2.5,1,3,4,5,-1,3,0,0,4,6,20,0,3,0,0,0,0,-1
1030702,90434,0,-1,1.08408,9.129956,-14.09546,77.24268,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030703,90098,0,-1,48.65423,2.109108,-24.512682,-79.468864,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030704,90196,0,-1,-37.44553,11.109097,-6.822727,69.77405,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030705,90196,0,-1,47.472885,-0.140892,-59.370155,-31.052612,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030706,90098,0,-1,12.672022,-0.140892,-63.42934,0,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030707,90196,0,-1,-37.690327,-2.390894,-60.247868,79.18793,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030708,90450,0,-1,30.160398,6.609109,-11.053145,0,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030709,90098,0,-1,-49.276905,2.10911,-43.44686,-41.36383,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030710,90196,0,-1,-31.326593,11.109099,-10.268523,-57.860237,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030711,90098,0,-1,25.841436,2.109112,-34.640076,42.106396,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1030712,90196,0,-1,30.292673,-0.140891,-58.518898,-54.246193,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040101,90056,0,-1,-17.178448,2.24457,7.82556,78.553246,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040102,90303,0,-1,-29.451897,5.43728,46.699764,-55.394608,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040103,90303,0,-1,-20.59,5.43728,43.802387,-203.06241,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040104,90359,0,-1,-39.963963,6.177259,25.5248,-101.03446,1,"bn01","ba02",45,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040105,90056,0,-1,-50.11253,5.08236,-30.099003,-206.68982,1,"bn01","ba02",0,0,2.5,1,0,4,5,-1,3,0,0,1,6,20,0,3,0,0,0,0,-1
1040106,90056,0,-1,-19.49571,2.24457,13.386093,-21.78788,1,"bn01","ba02",0,0,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040107,90056,0,-1,-24.151709,2.236555,13.262468,83.51519,1,"bn01","ba02",0,0,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040108,90303,0,-1,-6.436669,10.208272,-25.57255,-139.85661,1,"bn01","ba02",60,5,2.5,1,0,4,3,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040109,90510,0,-1,-45.357372,6.148476,21.99928,132.80057,1,"fe04","ba02",180,10,2.5,1,3,4,10,-1,3,0,0,1,6,20,0,3,0,0,0,0,-1
1040110,90510,0,-1,-43.01189,6.16129,20.308784,-93.20576,1,"fe04","ba02",180,10,2.5,1,3,4,10,-1,3,0,0,1,6,20,0,3,0,0,0,0,-1
1040111,90510,0,-1,-40.16071,6.177259,30.713173,186.75906,1,"bn01","ba02",60,15,2.5,1,0,4,10,-1,3,0,0,1,6,20,0,3,0,0,0,0,-1
1040112,90510,0,-1,-37.460255,6.177259,29.593523,193.68852,1,"bv01","ba02",180,15,2.5,1,3,4,10,-1,3,0,0,1,6,20,0,3,0,0,0,0,-1
1040113,90510,0,-1,-35.10796,6.177259,28.257477,81.89908,1,"bn01","ba02",60,15,2.5,1,0,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040201,90042,0,-1,52.869144,27.086336,-40.164684,-32.44783,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040202,90042,0,-1,92.53409,35.419,-46.67458,25.003664,1,"fe01","ba02",240,8,2.5,1,3,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040203,90042,0,-1,77.52653,23.177454,-30.33927,105.25327,1,"fq01","ba02",360,5,2.5,1,3,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040204,90042,0,-1,81.94576,22.932375,-32.33005,-40.47928,1,"fe01","ba02",360,15,2.5,1,3,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040205,90042,0,-1,51.59498,27.00336,-29.213594,403.77563,1,"bn01","ba02",45,15,2.5,1,0,4,5,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040206,90042,0,-1,80.93655,23.14862,-27.826756,195.66103,1,"fq01","ba02",360,8,2.5,1,3,4,10,-1,3,0,0,0,6,20,0,3,0,0,0,0,-1
1040207,90392,0,-1,47.39303,20.37494,-21.366194,441.19913,1,"fe01","ba02",360,5,2.5,1,3,4,10,-1,1,0,0,1,6,5,0,3,0,0,0,0,-1
1040208,90042,0,-1,89.82261,15.328899,-13.858193,-95.86201,1,"bn01","ba02",360,15,2.5,1,0,4,10,-1,1,0,0,1,6,20,0,3,0,0,0,0,-1
