int32 0,string3 1,bool 2,string3 3,string3 4
10305005,"door_0005",false,"d0305gate02",""
10305006,"door_0006",false,"d0305gate02",""
10305007,"gim_0001",false,"d03pillar01",""
10305099,"theater_0001",true,"ef_f_mov_100_ga",""
10305101,"break_0001",false,"d03breakrock00",""
10305102,"break_0002",false,"d03breakrock00",""
10305201,"pop_0001",false,"d03pop00",""
10305202,"pop_0002",false,"d03pop00",""
10305203,"tbox_0001",true,"ef_f_com_110_it",""
10305204,"tbox_0002",true,"ef_f_com_110_it",""
10306001,"change_0001",false,"dummy_icon_obj",""
10306099,"theater_0001",true,"ef_f_mov_100_ga",""
10306201,"pop_0001",false,"d03pop01",""
10306301,"npc_0001",false,"chr021","bn01"
10307001,"gim_0001",false,"d03pillar00",""
10307002,"gim_0002",false,"d03pillar00",""
10307003,"gim_0003",false,"d03pillar00",""
10307004,"gim_0004",false,"d03pillar00",""
10307099,"theater_0001",true,"ef_f_mov_100_ga",""
10307201,"pop_0001",false,"d03pop01",""
10307202,"pop_0002",false,"d03pop01",""
10307203,"pop_0003",false,"d03pop01",""
10307204,"tbox_0001",true,"ef_f_com_110_it",""
10307205,"tbox_0002",true,"ef_f_com_110_it",""
10308201,"tbox_0001",true,"ef_f_com_110_it",""
10401001,"gim_0001",false,"d0401pillar00",""
10401201,"pop_0001",false,"d04pop00",""
10401202,"pop_0002",false,"d04pop00",""
10401203,"pop_0003",false,"d04pop00",""
10401204,"tbox_0001",true,"ef_f_com_110_it",""
10401205,"tbox_0002",true,"ef_f_com_110_it",""
10401301,"npc_0001",false,"chr720","bn01"
10401401,"ride_whip_0001",false,"dummy_icon_obj",""
10401402,"ride_whip_0002",false,"dummy_icon_obj",""
10401403,"ride_whip_0003",false,"dummy_icon_obj",""
10401404,"ride_whip_0004",false,"dummy_icon_obj",""
10401405,"ride_whip_0005",false,"dummy_icon_obj",""
10401406,"ride_whip_0006",false,"dummy_icon_obj",""
10401407,"ride_whip_0007",false,"dummy_icon_obj",""
10401408,"ride_whip_0008",false,"dummy_icon_obj",""
10401409,"ride_whip_0009",false,"dummy_icon_obj",""
10401410,"ride_fly_0001",false,"dummy_icon_obj",""
10402001,"map_0001",false,"dummy_icon_obj",""
10402099,"theater_0001",true,"ef_f_mov_100_ga",""
10402101,"break_0001",false,"d04breakrock00",""
10402201,"pop_0001",false,"d04pop00",""
10402202,"pop_0002",false,"d04pop00",""
10402203,"pop_0003",false,"d04pop00",""
10402204,"pop_0004",false,"d04pop00",""
10402205,"tbox_0001",true,"ef_f_com_110_it",""
10402401,"ride_whip_0001",false,"dummy_icon_obj",""
10402402,"ride_whip_0002",false,"dummy_icon_obj",""
10402403,"ride_whip_0003",false,"dummy_icon_obj",""
10402404,"ride_whip_0004",false,"dummy_icon_obj",""
10402405,"ride_whip_0005",false,"dummy_icon_obj",""
10402406,"ride_whip_0006",false,"dummy_icon_obj",""
10403001,"gim_0001",false,"d04switch00",""
10403002,"gim_0002",false,"d04switch00",""
10403003,"obj_0001",false,"d0403gear00",""
10403004,"obj_0002",false,"d0403gear00",""
10403099,"theater_0001",true,"ef_f_mov_100_ga",""
10403101,"break_0001",false,"d04breaktree00",""
10403102,"break_0002",false,"d04breaktree00",""
10403103,"break_0003",false,"d04breaktree00",""
10403104,"break_0004",false,"d04breakrock01",""
10403201,"pop_0001",false,"d04pop01",""
10403202,"pop_0002",false,"d04pop01",""
10403203,"pop_0003",false,"d04pop01",""
10403204,"tbox_0001",true,"ef_f_com_110_it",""
10403205,"tbox_0002",true,"ef_f_com_110_it",""
10403401,"ride_whip_0001",false,"dummy_icon_obj",""
10403402,"ride_whip_0002",false,"dummy_icon_obj",""
10403403,"ride_whip_0003",false,"dummy_icon_obj",""
10403404,"ride_whip_0004",false,"dummy_icon_obj",""
10403405,"ride_whip_0005",false,"dummy_icon_obj",""
10403406,"ride_whip_0006",false,"dummy_icon_obj",""
10403407,"ride_fall_0001",false,"chr096","bn01"
10403408,"ride_fall_0002",false,"dummy_icon_obj",""
10404001,"gim_0001",false,"d0404pillar00",""
10404099,"theater_0001",true,"ef_f_mov_100_ga",""
10404201,"pop_0001",false,"d04pop01",""
10404202,"pop_0002",false,"d04pop01",""
10404203,"pop_0003",false,"d04pop01",""
10404204,"tbox_0001",true,"ef_f_com_110_it",""
10404205,"tbox_0002",true,"ef_f_com_110_it",""
10404206,"tbox_0003",true,"ef_f_com_110_it",""
10404401,"ride_run_0001",false,"dummy_icon_obj",""
10404402,"ride_run_0002",false,"dummy_icon_obj",""
10404403,"ride_fly_0001",false,"dummy_icon_obj",""
10404404,"ride_fly_0002",false,"dummy_icon_obj",""
10404405,"ride_whip_0001",false,"dummy_icon_obj",""
10404406,"ride_whip_0002",false,"dummy_icon_obj",""
10404407,"ride_whip_0003",false,"dummy_icon_obj",""
10404408,"ride_whip_0004",false,"dummy_icon_obj",""
10404409,"ride_whip_0005",false,"dummy_icon_obj",""
10404410,"ride_whip_0006",false,"dummy_icon_obj",""
10405201,"pop_0001",false,"d04pop01",""
10405202,"pop_0002",false,"d04pop01",""
10405203,"tbox_0001",false,"ef_f_com_110_it",""
10405401,"ride_whip_0001",false,"dummy_icon_obj",""
10405402,"ride_whip_0002",false,"dummy_icon_obj",""
10405403,"ride_whip_0003",false,"dummy_icon_obj",""
10405404,"ride_whip_0004",false,"dummy_icon_obj",""
10405405,"ride_whip_0005",false,"dummy_icon_obj",""
10405406,"ride_whip_0006",false,"dummy_icon_obj",""
10405407,"ride_toge_0001",false,"dummy_icon_obj",""
10405408,"ride_toge_0002",false,"dummy_icon_obj",""
10406001,"gim_0001",false,"d0406pillar00",""
10406002,"gim_0002",false,"d04switch00",""
10406003,"gim_0003",false,"d0406tree00",""
10406004,"obj_0001",false,"d0406gear00",""
10406005,"obj_0002",false,"d0406tree01",""
10406006,"obj_0003",false,"d0406tree02",""
10406101,"break_0001",false,"d04breakrock00",""
10406102,"break_0002",false,"d04breaktree00",""
10406103,"break_0003",false,"d04breaktree00",""
10406201,"pop_0001",false,"d04pop01",""
10406202,"pop_0002",false,"d04pop01",""
10406203,"pop_0003",false,"d04pop01",""
10406204,"tbox_0001",true,"ef_f_com_110_it",""
10406205,"tbox_0002",true,"ef_f_com_110_it",""
10406206,"tbox_0003",true,"ef_f_com_110_it",""
10406207,"tbox_0004",true,"ef_f_com_110_it",""
10406208,"tbox_0005",true,"ef_f_com_110_it",""
10406209,"tbox_0006",true,"ef_f_com_110_it",""
10406401,"ride_whip_0001",false,"dummy_icon_obj",""
10406402,"ride_whip_0002",false,"dummy_icon_obj",""
10406403,"ride_whip_0003",false,"dummy_icon_obj",""
10406404,"ride_whip_0004",false,"dummy_icon_obj",""
10406405,"ride_whip_0005",false,"dummy_icon_obj",""
10406406,"ride_whip_0006",false,"dummy_icon_obj",""
10406407,"ride_toge_0001",false,"dummy_icon_obj",""
10406408,"ride_toge_0002",false,"dummy_icon_obj",""
10406409,"ride_toge_0003",false,"dummy_icon_obj",""
10406410,"ride_fly_0001",false,"dummy_icon_obj",""
10406411,"ride_fly_0002",false,"dummy_icon_obj",""
10407001,"gim_0001",false,"d04switch00",""
10407002,"obj_0001",false,"d0407gear00",""
10407099,"theater_0001",true,"ef_f_mov_100_ga",""
10407101,"break_0001",false,"d04breakrock01",""
10407102,"break_0002",false,"d04breakrock01",""
10407103,"break_0003",false,"d04breakrock01",""
10407201,"pop_0001",false,"d04pop00",""
10407202,"pop_0002",false,"d04pop00",""
10407203,"pop_0003",false,"d04pop00",""
10407204,"pop_0004",false,"d04pop00",""
10407205,"tbox_0001",true,"ef_f_com_110_it",""
10407206,"tbox_0002",true,"ef_f_com_110_it",""
10407207,"tbox_0003",true,"ef_f_com_110_it",""
10407401,"ride_whip_0001",false,"dummy_icon_obj",""
10407402,"ride_whip_0002",false,"dummy_icon_obj",""
10407403,"ride_whip_0003",false,"dummy_icon_obj",""
10407404,"ride_whip_0004",false,"dummy_icon_obj",""
10407405,"ride_whip_0005",false,"dummy_icon_obj",""
10407406,"ride_whip_0006",false,"dummy_icon_obj",""
10407407,"ride_fly_0001",false,"dummy_icon_obj",""
10407408,"ride_fly_0002",false,"dummy_icon_obj",""
10407409,"ride_fly_0003",false,"dummy_icon_obj",""
10407410,"ride_fly_0004",false,"dummy_icon_obj",""
10407411,"ride_fly_0005",false,"dummy_icon_obj",""
10501001,"gim_0001",false,"d05craneswitch00",""
10501002,"gim_0002",false,"d05craneswitch00",""
10501003,"gim_0003",false,"d05craneswitch00",""
10501004,"gim_0004",false,"d05craneswitch00",""
10501005,"gim_0005",false,"d05craneswitch00",""
10501006,"gim_0006",false,"d05craneswitch00",""
10501007,"gim_0007",false,"d05craneswitch00",""
10501008,"gim_0008",false,"d05craneswitch00",""
10501009,"gim_0009",false,"d05doorswitch00",""
10501010,"gim_0010",false,"d05elvswitch00",""
10501013,"obj_0001",false,"d05crane00",""
10501014,"obj_0002",false,"d05crane00",""
10501015,"obj_0003",false,"d05crane00",""
10501016,"obj_0004",false,"d05slidedoor00",""
10501097,"change_0001",false,"dummy_icon_obj",""
10501098,"change_0002",false,"d0501teleport00",""
10501099,"theater_0001",true,"ef_f_mov_100_ga",""
10501100,"break_0001",false,"d05breakbox00",""
10501101,"break_0002",false,"d05breakbox00",""
10501102,"break_0003",false,"d05breakbox01",""
10501200,"tbox_0001",true,"ef_f_com_110_it",""
10501201,"tbox_0002",true,"ef_f_com_110_it",""
10501202,"tbox_0003",true,"ef_f_com_110_it",""
10501220,"pop_0001",false,"d05pop00",""
10501221,"pop_0002",false,"d05pop00",""
10501222,"pop_0003",false,"d05pop00",""
10501223,"pop_0004",false,"d05pop00",""
10501224,"pop_0005",false,"d05pop00",""
10502001,"gim_0001",false,"d05craneswitch00",""
10502002,"gim_0002",false,"d05craneswitch00",""
10502003,"gim_0003",false,"d05craneswitch00",""
10502004,"gim_0004",false,"d05elvswitch00",""
10502040,"gim_0040",false,"d05laddar00",""
10502041,"gim_0041",false,"dummy_icon_obj",""
10502007,"obj_0001",false,"d05crane00",""
10502008,"obj_0002",false,"d05crane00",""
10502009,"obj_0003",false,"d0501teleport00",""
10502100,"break_0001",false,"d05breakbox00",""
10502101,"break_0002",false,"d05breakbox00",""
10502102,"break_0003",false,"d05breakbox00",""
10502103,"break_0004",false,"d05breakbox01",""
10502200,"tbox_0001",true,"ef_f_com_110_it",""
10502201,"tbox_0002",true,"ef_f_com_110_it",""
10502202,"tbox_0003",true,"ef_f_com_110_it",""
10502220,"pop_0001",false,"d05pop00",""
10502221,"pop_0002",false,"d05pop00",""
10502222,"pop_0003",false,"d05pop00",""
10502223,"pop_0004",false,"d05pop00",""
10502224,"pop_0005",false,"d05pop00",""
10502400,"ride_fall_0001",false,"dummy_icon_obj",""
10503001,"gim_0001",false,"d05shaftswitch00",""
10503002,"gim_0002",false,"d05shaftswitch00",""
10503003,"gim_0003",false,"d05shaftswitch00",""
10503004,"gim_0004",false,"dummy_icon_obj",""
10503005,"gim_0005",false,"dummy_icon_obj",""
10503006,"gim_0006",false,"dummy_icon_obj",""
10503007,"gim_0007",false,"dummy_icon_obj",""
10503009,"gim_0009",false,"dummy_icon_obj",""
10503010,"gim_0010",false,"dummy_icon_obj",""
10503011,"gim_0011",false,"dummy_icon_obj",""
10503012,"gim_0012",false,"dummy_icon_obj",""
10503013,"obj_0001",false,"d0503shaft00",""
10503014,"obj_0002",false,"d05rock00",""
10503015,"obj_0003",false,"d05rock00",""
10503016,"obj_0004",false,"d05hangdoor00",""
10503017,"obj_0005",false,"d05hangdoor00",""
10503018,"obj_0006",false,"d05hangbasket00",""
10503019,"obj_0007",false,"d05hangbasket00",""
10503100,"break_0001",false,"d05breakbox01",""
10503101,"break_0002",false,"d05breakbox01",""
10503102,"break_0003",false,"d05breakbox01",""
10503200,"tbox_0001",true,"ef_f_com_110_it",""
10503201,"tbox_0002",true,"ef_f_com_110_it",""
10503202,"tbox_0003",true,"ef_f_com_110_it",""
10503203,"tbox_0004",true,"ef_f_com_110_it",""
10503220,"pop_0001",false,"d05pop01",""
10503221,"pop_0002",false,"d05pop01",""
10503222,"pop_0003",false,"d05pop01",""
10503223,"pop_0004",false,"d05pop01",""
10503224,"pop_0005",false,"d05pop01",""
10503225,"pop_0006",false,"d05pop01",""
10503226,"pop_0007",false,"d05pop01",""
10503227,"pop_0008",false,"d05pop01",""
10504001,"gim_0001",false,"d05shaftswitch00",""
10504002,"gim_0002",false,"d05shaftswitch00",""
10504003,"gim_0003",false,"dummy_icon_obj",""
10504004,"gim_0004",false,"dummy_icon_obj",""
10504040,"gim_0040",false,"d05laddar00",""
10504041,"gim_0041",false,"dummy_icon_obj",""
10504050,"obj_0001",false,"d0504shaft00",""
10504051,"obj_0002",false,"d05rock00",""
10504052,"obj_0003",false,"d05hangdoor00",""
10504053,"obj_0004",false,"d05hangbasket00",""
10504100,"break_0001",false,"d05breakbox01",""
10504101,"break_0002",false,"d05breakbox01",""
10504102,"break_0003",false,"d05breakbox01",""
10504200,"tbox_0001",true,"ef_f_com_110_it",""
10504201,"tbox_0002",true,"ef_f_com_110_it",""
10504202,"tbox_0003",true,"ef_f_com_110_it",""
10504220,"pop_0001",false,"d05pop01",""
10504221,"pop_0002",false,"d05pop01",""
10504222,"pop_0003",false,"d05pop01",""
10504223,"pop_0004",false,"d05pop01",""
10504224,"pop_0005",false,"d05pop01",""
10504225,"pop_0006",false,"d05pop01",""
10505001,"gim_0001",false,"dummy_icon_obj",""
10505002,"gim_0002",false,"dummy_icon_obj",""
10505050,"obj_0001",false,"d0505door00",""
10505051,"obj_0002",false,"d0505fallrock00",""
10505052,"obj_0003",false,"d0505fallrock01",""
10505200,"tbox_0001",true,"ef_f_com_110_it",""
10505201,"tbox_0002",true,"ef_f_com_110_it",""
10505202,"tbox_0003",true,"ef_f_com_110_it",""
10505220,"pop_0001",false,"d05pop01",""
10505221,"pop_0002",false,"d05pop01",""
10505222,"pop_0003",false,"d05pop01",""
10505223,"pop_0004",false,"d05pop01",""
10505224,"pop_0005",false,"d05pop01",""
10505400,"ride_run_0001",false,"dummy_icon_obj",""
10505401,"ride_run_0002",false,"dummy_icon_obj",""
10506001,"gim_0001",false,"d05info00",""
10506002,"gim_0002",false,"d05info00",""
10506003,"gim_0003",false,"d05info00",""
10506004,"gim_0004",false,"d05info00",""
10506005,"door_0001",false,"d05door00",""
10506006,"door_0002",false,"d05door00",""
10506007,"door_0003",false,"d05door00",""
10506008,"door_0004",false,"d05door00",""
10506009,"obj_0001",false,"d0506door00",""
10506010,"obj_0002",false,"d0506door00",""
10506011,"change_0001",false,"d05teleport00",""
10506012,"change_0002",false,"d05teleport00",""
10506013,"change_0003",false,"d05teleport00",""
10506014,"change_0004",false,"d05teleport00",""
10506015,"change_0005",false,"d05teleport00",""
10506016,"change_0006",false,"d05teleport00",""
10506017,"change_0007",false,"d05teleport00",""
10506099,"theater_0001",true,"ef_f_mov_100_ga",""
10506300,"npc_0001",false,"chr731","bn01"
10506301,"npc_0002",false,"chr699","bn01"
10506302,"npc_0003",false,"chr719","bn01"
10506303,"npc_0004",false,"chr014","bn01"
10506304,"npc_0005",false,"chr220","bn01"
10507001,"gim_0001",false,"d05switch00",""
10507002,"gim_0002",false,"d05switch00",""
10507003,"obj_0001",false,"d0507arch00",""
10507004,"obj_0002",false,"d0507stair00",""
10507005,"change_0001",false,"d05teleport00",""
10507006,"change_0002",false,"d05teleport00",""
10508001,"gim_0001",false,"d05info00",""
10508002,"gim_0002",false,"d05info00",""
10508003,"gim_0003",false,"d05info00",""
10508004,"gim_0004",false,"d05info00",""
10508005,"door_0001",false,"d05door00",""
10508006,"door_0002",false,"d05door00",""
10508007,"door_0003",false,"d05door00",""
10508008,"door_0004",false,"d05door00",""
10508009,"change_0001",false,"d05teleport00",""
10508010,"change_0002",false,"d05teleport00",""
10508011,"change_0003",false,"d05teleport00",""
10508012,"change_0004",false,"d05teleport00",""
10509001,"gim_0001",false,"dummy_icon_obj",""
10509002,"gim_0002",false,"dummy_icon_obj",""
10509003,"gim_0003",false,"dummy_icon_obj",""
10509004,"gim_0004",false,"dummy_icon_obj",""
10509005,"gim_0005",false,"d05switch00",""
10509006,"obj_0001",false,"d0509floor00",""
10509007,"obj_0002",false,"d0509room00",""
10509008,"obj_0003",false,"d0509floor01",""
10509009,"obj_0004",false,"d0509floor02",""
10509010,"change_0001",false,"d05teleport00",""
10509011,"change_0002",false,"d05teleport00",""
10509100,"break_0001",false,"d0509wall00",""
10510001,"gim_0001",false,"d05info00",""
10510002,"gim_0002",false,"d05info00",""
10510003,"gim_0003",false,"d05info00",""
10510004,"gim_0004",false,"d05info00",""
10510005,"door_0001",false,"d05door00",""
10510006,"door_0002",false,"d05door00",""
10510007,"door_0003",false,"d05door00",""
10510008,"door_0004",false,"d05door00",""
10510009,"change_0001",false,"d05teleport00",""
10510010,"change_0002",false,"d05teleport00",""
10510011,"change_0003",false,"d05teleport00",""
10510012,"change_0004",false,"d05teleport00",""
10511001,"gim_0001",false,"d05switch00",""
10511002,"gim_0002",false,"d05switch00",""
10511003,"gim_0003",false,"dummy_icon_obj",""
10511004,"obj_0001",false,"d0511stair00",""
10511005,"obj_0002",false,"d0511room00",""
10511006,"obj_0003",false,"d0511floor00",""
10511007,"change_0001",false,"d05teleport00",""
10511008,"change_0002",false,"dummy_icon_obj",""
10511100,"break_0001",false,"dummy_icon_obj",""
10511101,"break_0002",false,"dummy_icon_obj",""
10511102,"break_0003",false,"dummy_icon_obj",""
10511103,"break_0004",false,"dummy_icon_obj",""
10511110,"break_0011",false,"d0511stair01",""
10511111,"break_0012",false,"d0511wall00",""
10511112,"break_0013",false,"d0511stair02",""
10511113,"break_0014",false,"d0511cube00",""
10512001,"gim_0001",false,"d05info00",""
10512002,"door_0001",false,"dummy_icon_obj",""
10512003,"door_0002",false,"dummy_icon_obj",""
10512004,"change_0001",false,"d05teleport00",""
10512005,"change_0002",false,"d05teleport00",""
10512099,"theater_0001",true,"ef_f_mov_100_ga",""
11001001,"door_0001",false,"d1001gratingdoor00",""
11001002,"obj_0001",false,"d10debris00",""
11001003,"obj_0002",false,"d10debris01",""
11001004,"gim_0001",false,"d1001powerswitch00",""
11001100,"gim_0002",false,"d10breakdebris00",""
11001101,"gim_0003",false,"d10breakdebris00",""
11001102,"gim_0004",false,"d10breakdebris01",""
11001103,"gim_0005",false,"d10breakdebris01",""
11001104,"gim_0006",false,"dummy_icon_obj",""
11001200,"tbox_0001",true,"ef_f_com_110_it",""
11001201,"tbox_0002",true,"ef_f_com_110_it",""
11001301,"ev_0001",false,"dummy_icon_obj",""
11002001,"obj_0001",false,"d1002breakpath00",""
11401001,"door_0001",false,"d14elvdoor00",""
11401002,"obj_0001",false,"d1401elvlamp00",""
11401100,"fa_0100",false,"d1401breakdebris00",""
11401101,"fa_0101",false,"d1401breakdebris00",""
11401102,"fa_0102",false,"d1401breakdebris01",""
11401103,"fa_0103",false,"d1401breakdebris01",""
11401104,"fa_0104",false,"d1401breakdebris01",""
11401105,"fa_0105",false,"d1401breakdebris01",""
11401106,"fa_0106",false,"d1401breakdebris01",""
11402001,"door_0001",false,"d14elvdoor00",""
11402002,"obj_0001",false,"d1402elvlamp00",""
11402003,"gim_0001",false,"d1402switchboard00",""
11402004,"gim_0002",false,"dummy_icon_obj",""
11402100,"fa_0100",false,"d14breakdebris00",""
11402101,"fa_0101",false,"d14breakdebris00",""
11402102,"fa_0102",false,"d14breakdebris00",""
11402103,"fa_0103",false,"d14breakdebris00",""
11402104,"fa_0104",false,"d14breakwall00",""
11402105,"fa_0105",false,"d14breakdebris01",""
11402106,"fa_0106",false,"d14breakdebris01",""
11402107,"fa_0107",false,"d14breakdebris01",""
11402200,"tbox_0001",true,"ef_f_com_110_it",""
11402201,"tbox_0002",true,"ef_f_com_110_it",""
11402202,"tbox_0003",true,"ef_f_com_110_it",""
11402203,"tbox_0004",true,"ef_f_com_110_it",""
11402204,"tbox_0005",true,"ef_f_com_110_it",""
11403001,"door_0001",false,"d14elvdoor00",""
11403002,"obj_0001",false,"d1403wall00",""
11403003,"obj_0002",false,"d1403debris00",""
11403004,"obj_0003",false,"d1403accessway00",""
11403100,"fa_0100",false,"d14breakdebris00",""
11403101,"fa_0101",false,"d14breakdebris00",""
11403102,"fa_0102",false,"d14breakdebris00",""
11403103,"fa_0103",false,"d14breakwall00",""
11403104,"fa_0104",false,"d14breakwall00",""
11403105,"fa_0105",false,"d14breakdebris00",""
11403106,"fa_0106",false,"d14breakdebris01",""
11403200,"tbox_0001",true,"ef_f_com_110_it",""
11403201,"tbox_0002",true,"ef_f_com_110_it",""
11403301,"npc_0001",false,"chr096","bn02"
11403401,"ride_0001",false,"dummy_icon_obj",""
11404001,"door_0001",false,"d14elvdoor00",""
11404100,"fa_0100",false,"d14breakdebris00",""
11404101,"fa_0101",false,"d14breakdebris00",""
11404200,"tbox_0001",true,"ef_f_com_110_it",""
11404201,"tbox_0002",true,"ef_f_com_110_it",""
11405001,"gim_0001",false,"d1405fallfloor00",""
11405100,"fa_0100",false,"d14breakdebris00",""
11405101,"fa_0101",false,"d14breakdebris00",""
11405102,"fa_0102",false,"d14breakdebris00",""
11405103,"fa_0103",false,"d14breakdebris01",""
11405200,"tbox_0001",true,"ef_f_com_110_it",""
11405201,"tbox_0002",true,"ef_f_com_110_it",""
11405202,"tbox_0003",true,"ef_f_com_110_it",""
11406200,"tbox_0001",true,"ef_f_com_110_it",""
11406201,"tbox_0002",true,"ef_f_com_110_it",""
