int32 0,string3 1,string3 2,float 3,float 4,float 5,float 6,float 7,float 8,float 9,int32 10,string3 11,int32 12,bool 13
40445,"mob011","fn10",-10.675117,0.3,0.609247,20.34982,0,0,1,0,"",-1,true
40446,"mob013","e004",-7.79528,0.3,-31.1379,-154.44618,0,0,1,0,"",-1,true
40448,"mob004","fn33",-7.106565,0.3,3.144054,-29.178667,0,0,1,0,"",-1,true
40449,"mob001","fn34",-7.9422,0.3,2.49422,-37.898037,0,0,1,0,"",-1,true
40450,"mob004","fn34",-17.83117,0.3,-30.716051,60.51233,0,0,1,0,"",-1,true
40451,"mob003","fn24",-14.089637,0.3,-31.283089,-30.727203,0,0,1,0,"",-1,true
40452,"mob015","fn07",4.468192,0.300353,-30.975159,13.369057,0,0,1,0,"",-1,true
40453,"mob004","fs01",-13.217952,0.300345,-31.232574,-4.645886,0,0,1,0,"",-1,true
40454,"mob001","fn36",13.739317,0.335023,-39.521263,224.48482,0,0,1,0,"",-1,true
40455,"mob004","fn36",14.593067,0.336401,-37.0212,41.658115,0,0,1,0,"",-1,true
40456,"mob011","fn04",14.0164,0.561043,-1.067058,-55.246353,0,0,1,0,"",-1,true
40457,"mob013","fn22",11.278728,0.485543,2.703503,-118.77517,0,0,1,0,"",-1,true
40458,"mob012","fn36",3.513048,0.68004,1.618138,-23.2076,0,0,1,0,"",-1,true
40459,"mob001","fw03",15.203573,0.31,-5.606705,-54.622948,0,0,1,1,"",-1,true
40460,"mob003","fw04",5.488392,0.308307,8.617962,-62.191418,0,0,1,1,"",-1,true
40461,"mob001","fw02",-10.470492,0.300467,-4.997759,-58.0728,0,0,1,1,"",-1,true
40462,"mob001","fw01",-4.82159,0.3,12.052063,-84.599754,0,0,1,1,"",-1,true
40463,"mob003","fw01",0.622495,0.3,6.850058,88.05092,0,0,1,1,"",-1,true
40464,"mob001","fw03",-15.481133,0.68004,0.160135,-189.70723,0,0,1,1,"",-1,true
40465,"mob001","fw01",-11.892353,0.3,0.401449,0,0,0,1,1,"",-1,true
40466,"mob011","fw01",8.999179,0.3,4.744606,-19.836508,0,0,1,1,"",-1,true
40467,"mob004","fw01",-0.081363,0.31,-10.607998,-90.84037,0,0,1,1,"",-1,true
40468,"mob003","fw03",-0.03524,0.31,-7.541214,101.95087,0,0,1,1,"",-1,true
40469,"mob001","fw01",14.522664,0.31,-10.953388,0,0,0,1,1,"",-1,true
40470,"mob001","fw01",10.126839,0.307098,-7.835448,-137.51945,0,0,1,1,"",-1,true
40471,"mob004","fw01",-5.49777,0.31,-5.192283,120.67869,0,0,1,1,"",-1,true
40472,"mob011","fw01",-5.445017,0.31,-10.648393,-84.932076,0,0,1,1,"",-1,true
40473,"mob001","fw01b",-2.985424,0.3,-30.20026,-97.124084,0,0,1,1,"",-1,true
40474,"mob003","fw01",-3.32444,0.3,-27.472519,96.11228,0,0,1,1,"",-1,true
40475,"mob004","fw01",1.77195,0.68004,-4.114721,0,0,0,1,1,"",-1,true
40476,"mob001","fw01",22.249825,0.31,-10.770472,-77.04514,0,0,1,1,"",-1,true
40477,"f0000taxi00","",13.300403,-0.133251,-23.173662,90,0,0,1,1,"",97,false
40478,"f0000taxi00","",-22.070835,-0.134217,-23.020493,90,0,0,1,1,"",97,false
40479,"f0000bus00","",-8.433294,-0.134217,-22.741957,90,0,0,1,1,"",97,false
40480,"f0000taxi00","",0.105766,-0.134217,-16.987823,270,0,0,1,1,"",99,false
40481,"f0000bus00","",49.58355,-0.070349,-16.553797,270,0,0,1,1,"",99,false
40482,"f0000bus00","",23.044468,-0.134217,-17.40475,270,0,0,1,1,"",99,false
40801,"f0000taxi00","",30.262743,0,-53.511818,90,0,0,1,1,"",97,false
40802,"f0000taxi00","",-4.200959,0,-53.49913,90,0,0,1,1,"",97,false
40803,"f0000bus00","",12.944317,0,-56.282654,90,0,0,1,1,"",96,false
40804,"f0000taxi00","",31.808535,-0.134217,-40.40148,270,0,0,1,1,"",99,false
40805,"f0000bus00","",60.0481,-0.070349,-46.52483,270,0,0,1,1,"",98,false
40806,"f0000bus00","",34.289356,-0.134217,-46.45039,270,0,0,1,1,"",98,false
40807,"mob001","fw01",-4.340552,0,23.461468,0,0,0,1,1,"",-1,true
40808,"mob003","fw01",-1.797666,0,23.181498,0,0,0,1,1,"",-1,true
40809,"mob004","fw01",1.904037,0,23.387138,0,0,0,1,1,"",-1,true
40810,"mob011","fw01",3.543604,0,23.609785,0,0,0,1,1,"",-1,true
40811,"mob014","fw01",9.845243,0.225321,-70.258,-73.49535,0,0,1,1,"",-1,true
40812,"mob001","fw01",-0.827921,0,-73.7343,0,0,0,1,1,"",-1,true
40813,"mob001","fn34",0.258251,0,-7.289687,65.78229,0,0,1,0,"",-1,true
40814,"mob003","fn21",6.336695,0.057106,-3.296255,-74.31179,0,0,1,0,"",-1,true
40815,"mob017","fn02",5.554965,0,-3.074758,61.337334,0,0,1,0,"",-1,true
40816,"mob015","fn09",5.515678,0,18.016777,145.91444,0,0,1,0,"",-1,true
40817,"mob013","e002",5.415278,0,17.683662,126.43389,0,0,1,0,"",-1,true
40818,"mob011","fn11",5.187386,0,29.69371,-284.563,0,0,1,0,"",-1,true
40819,"mob003","e006",5.140101,0,30.213934,132.03891,0,0,1,0,"",-1,true
40820,"mob014","fn02",-0.037232,0,26.820198,0,0,0,1,0,"",-1,true
40821,"mob012","e002",-0.040663,0,27.471859,170.3298,0,0,1,0,"",-1,true
40822,"mob015","bn01",4.373235,0,38.037148,67.765465,0,0,1,0,"",-1,true
40823,"mob001","fw03",3.362517,0,7.570737,177.41965,0,0,1,1,"",1,true
40824,"mob014","bn01",4.170513,0,37.207287,0,0,0,1,0,"",-1,true
40825,"mob003","e516",-6.022814,0,33.609917,-87.110275,0,0,1,0,"",-1,true
40826,"mob011","fn02",-5.651166,0,33.926952,-115.63256,0,0,1,0,"",-1,true
40827,"mob015","e521",6.530627,0,4.454979,-53.445286,0,0,1,0,"",-1,true
40828,"mob001","fn07",5.501338,0,12.403589,-605.7753,0,0,1,0,"",-1,true
40829,"mob004","fn02",6.087502,0,13.037993,112.088554,0,0,1,0,"",-1,true
40830,"mob003","e521",-0.908054,0,13.661694,-27.037966,0,0,1,0,"",-1,true
40831,"mob011","fn08",-1.071718,0,14.32481,156.08635,0,0,1,0,"",-1,true
40832,"mob015","bn01",-6.185221,0.034305,15.072854,-85.081024,0,0,1,0,"",-1,true
40833,"mob004","fn06",-6.026912,0.005104,15.931226,-110.39121,0,0,1,0,"",-1,true
40834,"mob012","e003",4.596595,0,36.91036,-22.298347,0,0,1,0,"",-1,true
40835,"mob013","fn03",-0.452892,0,33.72872,-89.72391,0,0,1,0,"",-1,true
40836,"mob011","fn02",-0.74356,0.027409,34.60967,-66.90219,0,0,1,0,"",-1,true
40837,"mob001","fn02",-0.892109,0,5.464765,-34.164864,0,0,1,0,"",-1,true
40838,"mob004","fn07",-0.71606,0,6.134163,229.21553,0,0,1,0,"",-1,true
40839,"mob001","fn03",-1.219827,0,4.980935,17.92572,0,0,1,0,"",-1,true
40840,"mob015","fn02",-0.213947,0,-17.88275,159.61514,0,0,1,0,"",-1,true
40841,"mob012","e010",-0.81284,0,-18.389406,63.036358,0,0,1,0,"",-1,true
40842,"mob013","e002",0.264241,0,-18.194866,293.31592,0,0,1,0,"",-1,true
40843,"mob001","e638",5.570468,0,1.171231,42.66194,0,0,1,0,"",-1,true
40844,"mob003","e516",6.118477,0,-12.824006,-62.26321,0,0,1,0,"",-1,true
40845,"mob017","e002",5.297261,0,-12.829889,72.52291,0,0,1,0,"",-1,true
40846,"mob011","e002",5.667819,0,-11.959965,192.73967,0,0,1,0,"",-1,true
40847,"mob004","fn02",-5.688233,0,-20.860138,-83.74031,0,0,1,0,"",-1,true
40848,"mob001","fn08",-5.710904,0,-21.555769,-74.31637,0,0,1,0,"",-1,true
40849,"mob003","fn16",-6.081942,-0.008881,-1.574675,101.50376,-27.869984,-2.670724,1,0,"",-1,true
40850,"mob011","fn04",-6.418537,-0.086654,-0.95631,103.4678,-8.452688,0,1,0,"",-1,true
40851,"mob001","fn02",-12.110227,0.078419,-35.79786,183.0098,0,0,1,0,"",-1,true
40852,"mob001","fn06",-13.066994,0.119191,-34.86312,178.02037,0,0,1,0,"",-1,true
40853,"mob001","fn07",-12.850687,0.14478,-35.92167,173.70163,0,0,1,0,"",-1,true
40854,"mob004","fn02",-12.237859,0.094289,-35.161953,168.48784,0,0,1,0,"",-1,true
40855,"mob003","fn06",-11.496143,0.081,-35.392937,167.09872,0,0,1,0,"",-1,true
40856,"mob004","fn13",5.406561,0,1.785921,-182.68788,0,0,1,0,"",-1,true
40857,"mob011","fn03",0.671158,0,-28.271711,2.07444,0,0,1,0,"",-1,true
40858,"mob015","fn02",11.997005,0.10232,-35.79815,-119.24895,0,0,1,0,"",-1,true
40859,"mob001","fn02",12.848467,0.119174,-35.851105,-135.26222,0,0,1,0,"",-1,true
40860,"mob004","fn03",12.500271,0.182466,-34.83604,-147.52637,0,0,1,0,"",-1,true
40861,"mob003","e516",11.454783,0.192495,-34.72331,-133.12723,0,0,1,0,"",-1,true
40862,"mob001","fn05",6.74907,0,-80.57472,-82.62079,-19.070276,0,1,0,"",-1,true
40863,"mob014","fn01",-9.868492,0.148949,-71.90941,-188.7329,0,0,1,0,"",-1,true
40864,"mob003","ft01",10.511347,0.135122,-71.86084,-124.243416,0,0,1,0,"",-1,true
40865,"mob001","fn08",-3.726314,0,-81.496284,16.462133,0,0,1,0,"",-1,true
40866,"mob004","fn07",-13.95594,0.27,-72.28423,67.716705,0,0,1,0,"",-1,true
40867,"mob001","fn07",10.88318,0.089438,-67.65041,5.84969,0,0,1,0,"",-1,true
40868,"mob001","fn02",5.890339,0,-86.3481,105.01133,0,0,1,0,"",-1,true
40869,"mob015","e002",5.931144,0,-80.647095,97.47269,0,0,1,0,"",-1,true
40870,"mob014","fn07",-3.126775,0,-81.08953,-103.41334,0,0,1,0,"",-1,true
40871,"mob004","fn02",11.701902,0.121812,-67.66486,15.172247,0,0,1,0,"",-1,true
40872,"mob015","bn01",-9.139512,0.109455,-72.0266,-120.686424,0,0,1,0,"",-1,true
40873,"mob003","fn02",-5.008717,0,-72.40725,45.30615,0,0,1,0,"",-1,true
40874,"mob001","fn02",12.08667,0.113362,-66.68725,-8.510096,0,0,1,0,"",-1,true
40875,"mob001","fn02",-11.758197,0.147418,-66.21962,36.33225,0,0,1,0,"",-1,true
40876,"mob011","fn02",-12.684349,0.133411,-66.46129,18.515934,0,0,1,0,"",-1,true
40877,"mob001","fn07",-13.083523,0.155333,-66.20651,46.33461,0,0,1,0,"",-1,true
40878,"mob014","fn03",28.753016,0.2672,-68.10505,-3.744288,0,0,1,0,"",-1,true
40879,"mob011","fn02",-22.076155,0.25307,-31.690636,11.837007,0,0,1,0,"",-1,true
40880,"mob003","fn21",-15.316033,0.253354,-35.257904,103.3269,0,0,1,0,"",-1,true
40881,"mob011","fn02",-9.229511,0.18638,-28.084373,137.33212,0,0,1,0,"",-1,true
40882,"mob015","fn02",-17.524529,0.272815,-72.32409,0,0,0,1,0,"",-1,true
40884,"mob011","fn03",18.267155,0.27,-32.71275,-94.78032,0,0,1,0,"",-1,true
40885,"mob011","fn07",27.218021,0.2672,-67.1347,13.591905,0,0,1,0,"",-1,true
40886,"mob003","fn21",-0.610797,0,-27.895212,-0.764583,0,0,1,0,"",-1,true
40887,"mob011","fn03",6.746265,0.117545,-19.653341,-101.27244,0,0,1,0,"",-1,true
40888,"mob017","fn01",29.771236,0.2672,-67.58632,-16.970284,0,0,1,0,"",-1,true
40889,"mob003","fn02",17.745188,0.271989,-33.338757,25.408777,0,0,1,0,"",-1,true
40890,"mob011","fn02",9.929309,0.104241,-72.02523,123.038284,0,0,1,0,"",-1,true
40891,"mob011","fn02",16.959797,0.18638,-68.30793,-42.368233,0,0,1,0,"",-1,true
40892,"mob015","fn01",13.176597,0.241087,-30.00628,-2.489982,0,0,1,0,"",-1,true
40894,"mob003","fw01",1.968063,0,16.997568,180.26437,0,0,1,1,"",2,true
40895,"mob011","fw01",-4.359664,0,2.478864,0,0,0,1,1,"",3,true
40896,"mob014","fw01",-1.63089,0,16.168713,0,0,0,1,1,"",4,true
40897,"mob015","fw01",-4.631803,0,12.439806,-1.226186,0,0,1,1,"",3,true
40898,"mob003","fw01",-2.367007,0,-13.857902,0,0,0,1,1,"",4,true
40899,"mob015","fw01",-4.200665,0,-22.421312,0,0,0,1,1,"",-1,true
40900,"mob015","fw01",4.086071,0,-28.645836,0,0,0,1,1,"",1,true
40901,"mob014","fw01",4.208251,0,-9.775284,0,0,0,1,1,"",1,true
40902,"mob011","fw01",2.299823,0,-16.189714,0,0,0,1,1,"",2,true
40903,"mob017","fw01",2.935725,0,-1.071873,0,0,0,1,1,"",2,true
40904,"mob004","fw03",-4.102877,0,-7.5432,0,0,0,1,1,"",3,true
40905,"mob015","fw01",3.03809,0,11.799515,0,0,0,1,1,"",-1,true
40906,"mob015","fw01",-2.590557,0,6.239885,0,0,0,1,1,"",4,true
4040801,"chr308","f002",19.749338,2.417566,-8.142462,47.668236,0,0,1.488764,0,"",-1,true
4040802,"chr308","f002",36.610634,9.36573,-6.546194,-111.650505,-5.273242,0,2.121972,0,"",-1,true
4040803,"chr308","f002",18.500595,-6.629509,0.946153,166.90579,0,0,1.359358,0,"",-1,true
41201,"mob004","fn13",15.061779,0.05411,4.060138,26.508432,0,0,1,0,"",-1,true
41202,"mob001","fn11",10.379796,0.05411,-11.292142,158.92035,0,0,1,0,"",10,true
41203,"mob014","e002",11.185934,0.05,-19.556826,-198.50546,0,0,1,0,"",-1,true
41204,"mob013","e668",14.097949,0.051986,-17.171778,0,0,0,1,0,"",-1,true
41205,"mob001","ft01",11.279482,0.05411,-7.777099,41.53107,0,0,1,0,"",-1,true
41206,"mob001","fn04",13.113051,0.198547,-31.488415,-185.12051,0,0,1,0,"",-1,true
41207,"mob012","fn30",13.857695,0.050004,-16.562359,-124.87432,0,0,1,0,"",-1,true
41208,"mob001","fn31",-9.763677,0,9.096097,-58.427578,0,0,1,0,"",-1,true
41209,"mob011","e517",-6.825311,0.099999,0.777536,-96.258026,0,0,1,0,"",-1,true
41210,"mob014","e002",-7.319011,0,11.485241,-106.55329,0,0,1,0,"",-1,true
41211,"mob014","fn03",16.943079,0.05,-25.594738,40.35996,0,0,1,0,"",-1,true
41212,"mob004","fn09",-9.390442,0.47,-14.471518,-30.437845,0,0,1,0,"",-1,true
41213,"mob004","fn02",-9.634003,0.47,-12.875582,-139.68044,0,0,1,0,"",-1,true
41214,"mob014","fn08",5.46297,0.053874,-23.836548,2.543221,0,0,1,0,"",-1,true
41215,"mob003","e632",-13.868844,0.47,-11.934643,95.507965,0,0,1,0,"",-1,true
41216,"mob001","fn11",-6.791677,0,10.11396,-19.273756,0,0,1,0,"",-1,true
41217,"mob001","fn02",7.317921,0.05411,4.341625,-31.276175,0,0,1,0,"",-1,true
41218,"mob004","fn11",0.768481,0.01056,11.321053,55.17972,0,0,1,0,"",-1,true
41219,"mob015","fn03",-7.890712,0,10.741522,19.523678,0,0,1,0,"",-1,true
41220,"mob001","e552",1.859188,0.05411,11.494767,-137.02386,0,0,1,0,"",-1,true
41221,"mob003","fn02",19.642153,0.05006,-17.876127,95.17967,0,0,1,0,"",-1,true
41222,"mob001","fn04",14.358046,0.313319,-29.065722,88.13568,0,0,1,0,"",-1,true
41223,"mob015","e117",13.49402,0.051872,-63.090397,-148.33714,0,0,1,0,"",-1,true
41224,"mob001","fn03",-6.847594,0.099999,-43.173374,18.21504,0,0,1,0,"",-1,true
41225,"mob004","fn32",16.164892,0.052599,-16.29772,-1.613799,0,0,1,0,"",-1,true
41226,"mob003","fn04",-5.220549,0.052869,-25.32104,-59.831905,-12.97992,0,1,0,"",-1,true
41227,"mob001","fn07",11.755795,0.051804,-20.322977,-32.553337,0,0,1,0,"",-1,true
41228,"mob015","fn08",-9.749063,0.47,-27.600473,-23.98082,0,0,1,0,"",-1,true
41229,"mob004","fn04",14.088271,0.198408,-31.608547,-183.4253,0,0,1,0,"",-1,true
41230,"mob015","e117",14.579432,0.05411,4.673074,175.86014,0,0,1,0,"",-1,true
41231,"mob003","fn02",11.081328,0.05,-20.332735,67.24135,0,0,1,0,"",-1,true
41232,"mob001","fn05",-8.121026,0.099999,-18.271017,105.48808,0,0,1,0,"",-1,true
41233,"mob011","fn08",4.608645,0,-46.161247,-292.8014,0,0,1,0,"",-1,true
41234,"mob001","fn08",20.102804,0.05,-22.088957,-185.56561,0,0,1,0,"",-1,true
41235,"mob003","ft01",-10.561541,0.05411,4.720826,48.12062,0,0,1,0,"",-1,true
41236,"mob004","fn07",10.099202,0.050136,-48.22533,116.29038,0,0,1,0,"",-1,true
41237,"mob001","fn05",14.559151,0.301988,-27.551939,-275.4556,0,0,1,0,"",-1,true
41238,"mob001","fn07",3.7089,0.05411,5.256566,-83.07677,0,0,1,0,"",-1,true
41239,"mob003","e518",-5.011645,0.099999,-12.441591,-36.84944,0,0,1,0,"",-1,true
41240,"mob015","e521",8.5312,0.05411,8.327497,-178.03262,0,0,1,0,"",-1,true
41241,"mob001","fn03",16.66373,0.051011,-16.329092,0,0,0,1,0,"",-1,true
41242,"mob001","fn19",28.543364,0.050644,-15.129035,109.08109,0,0,1,0,"",-1,true
41243,"mob017","e002",-7.404876,0.099999,0.916177,-120.6835,0,0,1,0,"",-1,true
41244,"mob001","fn01",-9.782047,0.47,-13.405215,-135.31108,0,0,1,0,"",-1,true
41245,"mob011","fn02",-10.161141,0,5.063149,-126.9316,0,0,1,0,"",-1,true
41246,"mob003","fn16",-4.616442,0.113441,-4.598658,100.04908,-8.232288,0,1,0,"",-1,true
41247,"mob001","fn15",-4.106774,0,-4.8239,-71.474754,0,0,1,0,"",-1,true
41248,"mob015","e117",10.098475,0.05021,-26.179209,0,0,0,1,0,"",-1,true
41249,"mob001","fn02",-9.509671,0.47,-14.058352,-79.66508,0,0,1,0,"",-1,true
41250,"mob001","fn15",-10.296996,0.47,-13.060481,-148.78789,0,0,1,0,"",-1,true
41251,"mob004","fn14",-7.829932,0.099999,-4.420211,27.116064,0,0,1,0,"",-1,true
41252,"mob011","fn03",-7.658244,0.099999,-9.180202,84.53786,0,0,1,0,"",-1,true
41253,"mob001","fn08",-7.004718,0.099999,-9.178685,-118.77127,0,0,1,0,"",-1,true
41254,"mob001","fn07",-10.068237,0.47,-25.478245,101.74329,0,0,1,0,"",-1,true
41255,"mob001","fw01",8.61237,0.051414,-23.73185,-11.733397,0,0,1,1,"",3,true
41256,"mob001","fn09",-9.452342,0.47,-14.927735,-4.48437,0,0,1,0,"",-1,true
41257,"mob011","e632",-13.970909,0.47,-11.892073,64.37027,0,0,1,0,"",-1,true
41258,"mob003","e521",5.296842,0.053779,-45.518795,-84.27899,0,0,1,0,"",-1,true
41259,"mob001","fn07",5.720248,0.053342,-23.270182,-60.508205,0,0,1,0,"",-1,true
41260,"mob015","e552",1.467573,0.000882,12.720904,-19.46525,0,0,1,0,"",-1,true
41261,"mob015","fn22",-8.133605,0.099999,-19.229647,89.0894,0,0,1,0,"",-1,true
41262,"mob004","fn09",10.209456,0.05012,-25.588448,-116.21099,0,0,1,0,"",-1,true
41263,"mob014","e002",6.761294,0.05305,-44.919235,-179.21721,0,0,1,0,"",-1,true
41264,"mob015","e117",14.301466,0.05,-16.970135,-20.753038,0,0,1,0,"",-1,true
41265,"mob001","fn02",-7.952793,0.099999,-4.088313,70.43529,0,0,1,0,"",-1,true
41266,"mob001","fr01",-6.588238,0.47,-21.31809,-183.47891,0,0,1,1,"",2,true
41267,"mob001","fn03",6.686612,0.052937,-45.361614,0,0,0,1,0,"",-1,true
41268,"mob011","e632",3.673217,0.05411,5.254129,-123.69169,0,0,1,0,"",-1,true
41269,"mob001","fn07",12.641339,0.050835,-54.214203,-88.43935,0,0,1,0,"",-1,true
41270,"mob017","e002",-5.718872,0.099999,-47.37241,42.37016,0,0,1,0,"",-1,true
41271,"mob001","fn15",6.293188,0.053157,-29.909607,9.363874,0,0,1,0,"",-1,true
41272,"mob001","fn09",12.16637,0.051224,-34.976925,69.87318,0,0,1,0,"",-1,true
41273,"mob001","fn32",5.044964,0.053667,-60.725487,3.981002,0,0,1,0,"",-1,true
41274,"mob001","fn03",6.0497,0.052571,-36.292336,87.41865,0,0,1,0,"",-1,true
41275,"mob003","ft01",4.947365,0.053854,-59.917282,-167.94121,0,0,1,0,"",-1,true
41276,"mob017","fn03",5.19611,0.05384,-46.329704,-13.81207,0,0,1,0,"",-1,true
41277,"mob001","fn03",11.80722,0.054085,-7.4558,-110.20051,0,0,1,0,"",-1,true
41278,"mob001","fn15",24.43454,0.051386,-15.365134,-27.839409,0,0,1,0,"",-1,true
41279,"mob014","bn01",29.009995,0.050717,-14.910957,185.76169,0,0,1,0,"",-1,true
41280,"mob001","fn18",15.950399,0.050045,-15.665701,-144.00116,0,0,1,0,"",-1,true
41281,"mob001","fn06",16.081785,0.05,-24.670822,-31.857817,0,0,1,0,"",-1,true
41282,"mob004","ft01",16.793438,0.05411,-15.715074,-131.5565,0,0,1,0,"",-1,true
41283,"mob001","fn36",-5.538081,0.099999,-24.981913,138.2738,0,0,1,0,"",-1,true
41284,"mob015","fn10",-3.348346,0.867098,-70.92112,32.51214,0,0,1,0,"",-1,true
41285,"mob015","fn05",-8.064163,0.099999,-18.713741,86.25632,0,0,1,0,"",-1,true
41286,"mob001","fn03",13.427184,0.048549,-35.561474,95.05168,-11.942779,0,0.824162,0,"",-1,true
41287,"mob001","fw01b",-8.475938,0.099999,4.18931,-191.09596,0,0,1,1,"",2,true
41288,"mob003","fn03",-5.194433,0.099999,-47.102837,-96.858665,0,0,1,0,"",-1,true
41289,"mob015","fn06",-2.613438,0,-68.62264,-156.3605,0,0,1,0,"",-1,true
41290,"mob011","fn03",-6.218788,0.099999,-43.320297,0.50759,0,0,1,0,"",-1,true
41291,"mob001","fn02",10.104905,0.05036,-49.102245,90.21469,0,0,1,0,"",-1,true
41292,"mob003","fn25",-2.767219,0.919784,-70.08614,-88.71395,0,0,1,0,"",-1,true
41293,"mob003","e007",-7.088573,0.099999,0.200775,-59.54811,0,0,1,0,"",-1,true
41294,"mob001","fw01",23.296072,0.05411,5.194664,-94.314285,0,0,1,1,"",10,true
41295,"mob001","fw01",-1.474751,0,-37.30375,189.58429,0,0,1,1,"",8,true
41296,"mob001","fw01",20.609327,0.052544,-12.44101,-94.70646,0,0,1,1,"",4,true
41297,"mob003","fw01",2.443091,0,-39.565094,-169.912,0,0,1,1,"",7,true
41298,"mob003","fw01",-1.530582,0,-11.464031,169.1959,0,0,1,1,"",8,true
41299,"mob003","fw01",-1.684931,0,-54.08575,-174.29524,0,0,1,1,"",8,true
41300,"mob004","fw01",18.93914,0,0.657298,-106.240944,0,0,1,1,"",8,true
41301,"mob004","fw01",-1.693668,0,-19.857143,182.86986,0,0,1,1,"",8,true
41302,"mob004","fw01",-0.6782,0,9.013499,0,0,0,1,1,"",3,true
41303,"mob011","fw01",12.980133,0.05,-19.852959,-236.13843,0,0,1,1,"",5,true
41304,"mob011","fw01",-6.013927,0.099999,-13.700631,187.10393,0,0,1,1,"",2,true
41305,"mob011","fw01",-4.044822,0,15.162104,-170.36707,0,0,1,1,"",1,true
41306,"mob015","fw01",7.734543,0.05411,-9.714333,0,0,0,1,1,"",3,true
