int32 0,string3 1,string3 2,string3 3,int32 4,string3 5,string3 6,float 7,string3 8,string3 9,string3 10,string3 11,string3 12,float 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,bool 23,int32 24,int32 25,int32 26
3002,"t3002","t3002p","minimap_t3002",0,"","",3,"t30","t30npc","t30gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
3003,"t3003","t3003p","minimap_t3003",0,"","",3,"t30","t30npc","t30gim","","",25,35,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
10000,"d0000","d0000p","minimap_d0000",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10001,"d0001","d0001p","minimap_d0001",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10002,"d0002","d0002p","minimap_d0002",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10003,"d0003","d0003p","minimap_d0003",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10004,"d0004","d0004p","minimap_d0004",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10005,"d0005","d0005p","minimap_d0005",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10006,"d0006","d0006p","minimap_d0006",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10007,"d0007","d0007p","minimap_d0007",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10008,"d0008","d0008p","minimap_d0008",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10009,"d0009","d0009p","minimap_d0009",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10010,"d0010","d0010p","minimap_d0010",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10101,"d0101","d0101p","minimap_d0101",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10102,"d0102","d0102p","minimap_d0102",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10103,"d0103","d0103p","minimap_d0103",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10104,"d0104","d0104p","minimap_d0104",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10105,"d0105","d0105p","minimap_d0105",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10106,"d0106","d0106p","minimap_d0106",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10107,"d0107","d0107p","minimap_d0107",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10108,"d0108","d0108p","minimap_d0108",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10109,"d0109","d0109p","minimap_d0109",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10110,"d0110","d0110p","minimap_d0110",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10111,"d0111","d0111p","minimap_d0111",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10197,"d0197","d0197p","minimap_d0197",0,"","",3,"d01","d01npc","d01gim","","",300,400,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10198,"d0198","d0198p","minimap_d0198",0,"","",3,"d01","d01npc","d01gim","","",300,400,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10199,"d0199","d0199p","minimap_d0199",0,"","",3,"d01","d01npc","d01gim","","",300,400,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,1,0
10201,"d0201","d0201p","minimap_d0201",0,"d0201_rail_move","",3,"d02","d02npc","d02gim","","",55,55,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10202,"d0202","d0202p","minimap_d0202",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10203,"d0203","d0203p","minimap_d0203",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10204,"d0204","d0204p","minimap_d0204",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10205,"d0205","d0205p","minimap_d0205",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10206,"d0206","d0206p","minimap_d0206",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10207,"d0207","d0207p","minimap_d0207",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10208,"d0208","d0208p","minimap_d0208",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10209,"d0209","d0209p","minimap_d0209",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10210,"d0210","d0210p","minimap_d0210",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10211,"d0211","d0211p","minimap_d0211",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,1,0,0
10212,"d0212","d0212p","minimap_d0212",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,1,0,0
10213,"d0213","d0213p","minimap_d0213",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,1,0,0
10214,"d0214","d0214p","minimap_d0214",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,1,0,0
10215,"d0215","d0215p","minimap_d0215",0,"","",3,"d02","d02npc","d02gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,false,1,0,0
10301,"d0301","d0301p","minimap_d0301",0,"","",3,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10302,"d0302","d0302p","minimap_d0302",0,"","",3,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10303,"d0303","d0303p","minimap_d0303",0,"","",3,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10304,"d0304","d0304p","minimap_d0304",0,"","",3,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10305,"d0305","d0305p","minimap_d0305",0,"","",3,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10306,"d0306","d0306p","minimap_d0306",0,"","",3,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10307,"d0307","d0307p","minimap_d0307",0,"","",10,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10308,"d0308","d0308p","minimap_d0308",0,"","",3,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10309,"d0309","d0309p","minimap_d0309",0,"","",20,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10310,"d0310","d0310p","minimap_d0310",0,"","",3,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10311,"d0311","d0311p","minimap_d0311",0,"","",3,"d03","d03npc","d03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10401,"d0401","d0401p","minimap_d0401",0,"","",3,"d04","d04npc","d04gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10402,"d0402","d0402p","minimap_d0402",0,"","",3,"d04","d04npc","d04gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10403,"d0403","d0403p","minimap_d0403",0,"","",3,"d04","d04npc","d04gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10404,"d0404","d0404p","minimap_d0404",0,"","",3,"d04","d04npc","d04gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10405,"d0405","d0405p","minimap_d0405",0,"","",3,"d04","d04npc","d04gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10406,"d0406","d0406p","minimap_d0406",0,"","",3,"d04","d04npc","d04gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10407,"d0407","d0407p","minimap_d0407",0,"","",3,"d04","d04npc","d04gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10408,"d0408","d0408p","minimap_d0408",0,"","",3,"d04","d04npc","d04gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10409,"d0409","d0409p","minimap_d0409",0,"","",3,"d04","d04npc","d04gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10410,"d0410","d0410p","minimap_d0410",0,"","",3,"d04","d04npc","d04gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10501,"d0501","d0501p","minimap_d0501",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10502,"d0502","d0502p","minimap_d0502",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10503,"d0503","d0503p","minimap_d0503",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10504,"d0504","d0504p","minimap_d0504",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10505,"d0505","d0505p","minimap_d0505",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10506,"d0506","d0506p","minimap_d0506",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10507,"d0507","d0507p","minimap_d0507",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10508,"d0508","d0508p","minimap_d0508",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10509,"d0509","d0509p","minimap_d0509",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10510,"d0510","d0510p","minimap_d0510",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10511,"d0511","d0511p","minimap_d0511",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10512,"d0512","d0512p","minimap_d0512",0,"","",3,"d05","d05npc","d05gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10601,"d0601","d0601p","minimap_d0601",0,"","",3,"d06","d06npc","d06gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10701,"d0701","d0701p","minimap_d0701",0,"","",3,"d07","d07npc","d07gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
10901,"d0901","d0901p","minimap_d0901",0,"","",3,"d09","d09npc","d09gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
11001,"d1001","d1001p","minimap_d1001",1,"","d1001_rail_move",3,"d10","d10npc","d10gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11002,"d1002","d1002p","minimap_d1002",0,"","",3,"d10","d10npc","d10gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11003,"d1003","d1003p","minimap_d1003",0,"","",3,"d10","d10npc","d10gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11004,"d1004","d1004p","minimap_d1004",0,"","",3,"d10","d10npc","d10gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11005,"d1005","d1005p","minimap_d1005",0,"","",3,"d10","d10npc","d10gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11071,"d1071","d1071p","minimap_d1071",0,"","",3,"d10","d10npc","d10gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11101,"d1101","d1101p","minimap_d1101",0,"","",3,"d11","d11npc","d11gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
11201,"d1201","d1201p","minimap_d1201",0,"","",3,"d12","d12npc","d12gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
11301,"d1301","d1301p","minimap_d1301",0,"","",3,"d13","d13npc","d13gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
11401,"d1401","d1401p","minimap_d1401",0,"","",3,"d14","d14npc","d14gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11402,"d1402","d1402p","minimap_d1402",0,"","",3,"d14","d14npc","d14gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11403,"d1403","d1403p","minimap_d1403",0,"","",3,"d14","d14npc","d14gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11404,"d1404","d1404p","minimap_d1404",0,"","",3,"d14","d14npc","d14gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11405,"d1405","d1405p","minimap_d1405",0,"","",3,"d14","d14npc","d14gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11406,"d1406","d1406p","minimap_d1406",0,"","d1406_rail_move",3,"d14","d14npc","d14gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
11407,"d1407","d1407p","minimap_d1407",0,"","",3,"d14","d14npc","d14gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,2,0,0
20101,"h0101","h0101p","minimap_h0101",0,"","",3,"h01","h01npc","h01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
20102,"h0102","h0102p","minimap_h0102",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
20103,"h0103","h0103p","minimap_h0103",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
20104,"h0104","h0104p","minimap_h0104",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
20105,"h0105","h0105p","minimap_h0105",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
20106,"h0106","h0106p","minimap_h0106",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
20107,"h0107","h0107p","minimap_h0107",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
20108,"h0108","h0108p","minimap_h0108",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
20109,"h0109","h0109p","minimap_h0109",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
20110,"h0110","h0110p","minimap_h0110",0,"","",3,"d01","d01npc","d01gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
20301,"h0301","h0301p","minimap_h0301",0,"","",3,"h03","h03npc","h03gim","","",150,200,0.3,0.3,0.3,0.4,0.4,0.4,15,60,true,1,0,0
