int32 0,empty 1,empty 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int8 14,int8 15,int8 16,int8 17
1002307,,,100,2,3,7,0,0,0,0,100,0,0,0,0,0,0
1002308,,,100,2,3,8,0,0,0,0,100,0,0,0,0,0,0
1002309,,,100,2,3,9,0,0,0,0,100,0,0,0,0,0,0
1002310,,,100,2,3,10,0,0,0,0,100,0,0,0,0,0,0
1002311,,,100,2,3,11,0,0,0,0,100,0,0,0,0,0,0
1002312,,,100,2,3,12,0,0,0,0,100,0,0,0,0,0,0
1002313,,,100,2,3,13,0,0,0,0,100,0,0,0,0,0,0
1002314,,,100,2,3,14,0,0,0,0,100,0,0,0,0,0,0
1002315,,,100,2,3,15,0,0,0,0,100,0,0,0,0,0,0
1002316,,,100,2,3,16,0,0,0,0,100,0,0,0,0,0,0
1010001,,,101,0,0,1,0,0,0,0,100,0,0,0,0,0,0
1010002,,,101,0,0,2,0,0,0,0,100,0,0,0,0,0,0
1010003,,,101,0,0,3,0,0,0,0,100,0,0,0,0,0,0
1010004,,,101,0,0,4,0,0,0,0,100,0,0,0,0,0,0
1010005,,,101,0,0,5,0,0,0,0,100,0,0,0,0,0,0
1010006,,,101,0,0,6,0,0,0,0,100,0,0,0,0,0,0
1010007,,,101,0,0,7,0,0,0,0,100,0,0,0,0,0,0
1010008,,,101,0,0,8,0,0,0,0,100,0,0,0,0,0,0
1010009,,,101,0,0,9,0,0,0,0,100,0,0,0,0,0,0
1010010,,,101,0,0,10,0,0,0,0,100,0,0,0,0,0,0
1010011,,,101,0,0,11,0,0,0,0,100,0,0,0,0,0,0
1010012,,,101,0,0,12,0,0,0,0,100,0,0,0,0,0,0
1010013,,,101,0,0,13,0,0,0,0,100,0,0,0,0,0,0
1010014,,,101,0,0,14,0,0,0,0,100,0,0,0,0,0,0
1010015,,,101,0,0,15,0,0,0,0,100,0,0,0,0,0,0
1010016,,,101,0,0,16,0,0,0,0,100,0,0,0,0,0,0
1011100,,,101,1,1,0,0,0,0,0,100,0,0,0,0,0,0
1011200,,,101,1,2,0,0,0,0,0,100,0,0,0,0,0,0
1011300,,,101,1,3,0,0,0,0,0,100,0,0,0,0,0,0
1012101,,,101,2,1,1,0,0,0,0,100,0,0,0,0,0,0
1012102,,,101,2,1,2,0,0,0,0,100,0,0,0,0,0,0
1012103,,,101,2,1,3,0,0,0,0,100,0,0,0,0,0,0
1012104,,,101,2,1,4,0,0,0,0,100,0,0,0,0,0,0
1012105,,,101,2,1,5,0,0,0,0,100,0,0,0,0,0,0
1012106,,,101,2,1,6,0,0,0,0,100,0,0,0,0,0,0
1012107,,,101,2,1,7,0,0,0,0,100,0,0,0,0,0,0
1012108,,,101,2,1,8,0,0,0,0,100,0,0,0,0,0,0
1012109,,,101,2,1,9,0,0,0,0,100,0,0,0,0,0,0
1012110,,,101,2,1,10,0,0,0,0,100,0,0,0,0,0,0
1012111,,,101,2,1,11,0,0,0,0,100,0,0,0,0,0,0
1012112,,,101,2,1,12,0,0,0,0,100,0,0,0,0,0,0
1012113,,,101,2,1,13,0,0,0,0,100,0,0,0,0,0,0
1012114,,,101,2,1,14,0,0,0,0,100,0,0,0,0,0,0
1012115,,,101,2,1,15,0,0,0,0,100,0,0,0,0,0,0
1012116,,,101,2,1,16,0,0,0,0,100,0,0,0,0,0,0
1012201,,,101,2,2,1,0,0,0,0,100,0,0,0,0,0,0
1012202,,,101,2,2,2,0,0,0,0,100,0,0,0,0,0,0
1012203,,,101,2,2,3,0,0,0,0,100,0,0,0,0,0,0
1012204,,,101,2,2,4,0,0,0,0,100,0,0,0,0,0,0
1012205,,,101,2,2,5,0,0,0,0,100,0,0,0,0,0,0
1012206,,,101,2,2,6,0,0,0,0,100,0,0,0,0,0,0
1012207,,,101,2,2,7,0,0,0,0,100,0,0,0,0,0,0
1012208,,,101,2,2,8,0,0,0,0,100,0,0,0,0,0,0
1012209,,,101,2,2,9,0,0,0,0,100,0,0,0,0,0,0
1012210,,,101,2,2,10,0,0,0,0,100,0,0,0,0,0,0
1012211,,,101,2,2,11,0,0,0,0,100,0,0,0,0,0,0
1012212,,,101,2,2,12,0,0,0,0,100,0,0,0,0,0,0
1012213,,,101,2,2,13,0,0,0,0,100,0,0,0,0,0,0
1012214,,,101,2,2,14,0,0,0,0,100,0,0,0,0,0,0
1012215,,,101,2,2,15,0,0,0,0,100,0,0,0,0,0,0
1012216,,,101,2,2,16,0,0,0,0,100,0,0,0,0,0,0
1012301,,,101,2,3,1,0,0,0,0,100,0,0,0,0,0,0
1012302,,,101,2,3,2,0,0,0,0,100,0,0,0,0,0,0
1012303,,,101,2,3,3,0,0,0,0,100,0,0,0,0,0,0
1012304,,,101,2,3,4,0,0,0,0,100,0,0,0,0,0,0
1012305,,,101,2,3,5,0,0,0,0,100,0,0,0,0,0,0
1012306,,,101,2,3,6,0,0,0,0,100,0,0,0,0,0,0
1012307,,,101,2,3,7,0,0,0,0,100,0,0,0,0,0,0
1012308,,,101,2,3,8,0,0,0,0,100,0,0,0,0,0,0
1012309,,,101,2,3,9,0,0,0,0,100,0,0,0,0,0,0
1012310,,,101,2,3,10,0,0,0,0,100,0,0,0,0,0,0
1012311,,,101,2,3,11,0,0,0,0,100,0,0,0,0,0,0
1012312,,,101,2,3,12,0,0,0,0,100,0,0,0,0,0,0
1012313,,,101,2,3,13,0,0,0,0,100,0,0,0,0,0,0
1012314,,,101,2,3,14,0,0,0,0,100,0,0,0,0,0,0
1012315,,,101,2,3,15,0,0,0,0,100,0,0,0,0,0,0
1012316,,,101,2,3,16,0,0,0,0,100,0,0,0,0,0,0
1020001,,,102,0,0,1,0,0,0,0,100,0,0,0,0,0,0
1020002,,,102,0,0,2,0,0,0,0,100,0,0,0,0,0,0
1020003,,,102,0,0,3,0,0,0,0,100,0,0,0,0,0,0
1020004,,,102,0,0,4,0,0,0,0,100,0,0,0,0,0,0
1020005,,,102,0,0,5,0,0,0,0,100,0,0,0,0,0,0
1020006,,,102,0,0,6,0,0,0,0,100,0,0,0,0,0,0
1020007,,,102,0,0,7,0,0,0,0,100,0,0,0,0,0,0
1020008,,,102,0,0,8,0,0,0,0,100,0,0,0,0,0,0
1020009,,,102,0,0,9,0,0,0,0,100,0,0,0,0,0,0
1020010,,,102,0,0,10,0,0,0,0,100,0,0,0,0,0,0
1020011,,,102,0,0,11,0,0,0,0,100,0,0,0,0,0,0
1020012,,,102,0,0,12,0,0,0,0,100,0,0,0,0,0,0
1020013,,,102,0,0,13,0,0,0,0,100,0,0,0,0,0,0
1020014,,,102,0,0,14,0,0,0,0,100,0,0,0,0,0,0
1020015,,,102,0,0,15,0,0,0,0,100,0,0,0,0,0,0
1020016,,,102,0,0,16,0,0,0,0,100,0,0,0,0,0,0
1021100,,,102,1,1,0,0,0,0,0,100,0,0,0,0,0,0
1021200,,,102,1,2,0,0,0,0,0,100,0,0,0,0,0,0
1021300,,,102,1,3,0,0,0,0,0,100,0,0,0,0,0,0
1022101,,,102,2,1,1,0,0,0,0,100,0,0,0,0,0,0
1022102,,,102,2,1,2,0,0,0,0,100,0,0,0,0,0,0
1022103,,,102,2,1,3,0,0,0,0,100,0,0,0,0,0,0
1022104,,,102,2,1,4,0,0,0,0,100,0,0,0,0,0,0
1022105,,,102,2,1,5,0,0,0,0,100,0,0,0,0,0,0
1022106,,,102,2,1,6,0,0,0,0,100,0,0,0,0,0,0
1022107,,,102,2,1,7,0,0,0,0,100,0,0,0,0,0,0
1022108,,,102,2,1,8,0,0,0,0,100,0,0,0,0,0,0
1022109,,,102,2,1,9,0,0,0,0,100,0,0,0,0,0,0
1022110,,,102,2,1,10,0,0,0,0,100,0,0,0,0,0,0
1022111,,,102,2,1,11,0,0,0,0,100,0,0,0,0,0,0
1022112,,,102,2,1,12,0,0,0,0,100,0,0,0,0,0,0
1022113,,,102,2,1,13,0,0,0,0,100,0,0,0,0,0,0
1022114,,,102,2,1,14,0,0,0,0,100,0,0,0,0,0,0
1022115,,,102,2,1,15,0,0,0,0,100,0,0,0,0,0,0
1022116,,,102,2,1,16,0,0,0,0,100,0,0,0,0,0,0
1022201,,,102,2,2,1,0,0,0,0,100,0,0,0,0,0,0
1022202,,,102,2,2,2,0,0,0,0,100,0,0,0,0,0,0
1022203,,,102,2,2,3,0,0,0,0,100,0,0,0,0,0,0
1022204,,,102,2,2,4,0,0,0,0,100,0,0,0,0,0,0
1022205,,,102,2,2,5,0,0,0,0,100,0,0,0,0,0,0
1022206,,,102,2,2,6,0,0,0,0,100,0,0,0,0,0,0
1022207,,,102,2,2,7,0,0,0,0,100,0,0,0,0,0,0
1022208,,,102,2,2,8,0,0,0,0,100,0,0,0,0,0,0
1022209,,,102,2,2,9,0,0,0,0,100,0,0,0,0,0,0
1022210,,,102,2,2,10,0,0,0,0,100,0,0,0,0,0,0
1022211,,,102,2,2,11,0,0,0,0,100,0,0,0,0,0,0
1022212,,,102,2,2,12,0,0,0,0,100,0,0,0,0,0,0
1022213,,,102,2,2,13,0,0,0,0,100,0,0,0,0,0,0
1022214,,,102,2,2,14,0,0,0,0,100,0,0,0,0,0,0
1022215,,,102,2,2,15,0,0,0,0,100,0,0,0,0,0,0
1022216,,,102,2,2,16,0,0,0,0,100,0,0,0,0,0,0
1022301,,,102,2,3,1,0,0,0,0,100,0,0,0,0,0,0
1022302,,,102,2,3,2,0,0,0,0,100,0,0,0,0,0,0
1022303,,,102,2,3,3,0,0,0,0,100,0,0,0,0,0,0
1022304,,,102,2,3,4,0,0,0,0,100,0,0,0,0,0,0
1022305,,,102,2,3,5,0,0,0,0,100,0,0,0,0,0,0
1022306,,,102,2,3,6,0,0,0,0,100,0,0,0,0,0,0
1022307,,,102,2,3,7,0,0,0,0,100,0,0,0,0,0,0
1022308,,,102,2,3,8,0,0,0,0,100,0,0,0,0,0,0
1022309,,,102,2,3,9,0,0,0,0,100,0,0,0,0,0,0
1022310,,,102,2,3,10,0,0,0,0,100,0,0,0,0,0,0
1022311,,,102,2,3,11,0,0,0,0,100,0,0,0,0,0,0
1022312,,,102,2,3,12,0,0,0,0,100,0,0,0,0,0,0
1022313,,,102,2,3,13,0,0,0,0,100,0,0,0,0,0,0
1022314,,,102,2,3,14,0,0,0,0,100,0,0,0,0,0,0
1022315,,,102,2,3,15,0,0,0,0,100,0,0,0,0,0,0
1022316,,,102,2,3,16,0,0,0,0,100,0,0,0,0,0,0
1030001,,,103,0,0,1,0,0,0,0,100,0,0,0,0,0,0
1030002,,,103,0,0,2,0,0,0,0,100,0,0,0,0,0,0
1030003,,,103,0,0,3,0,0,0,0,100,0,0,0,0,0,0
1030004,,,103,0,0,4,0,0,0,0,100,0,0,0,0,0,0
1030005,,,103,0,0,5,0,0,0,0,100,0,0,0,0,0,0
1030006,,,103,0,0,6,0,0,0,0,100,0,0,0,0,0,0
1030007,,,103,0,0,7,0,0,0,0,100,0,0,0,0,0,0
1030008,,,103,0,0,8,0,0,0,0,100,0,0,0,0,0,0
1030009,,,103,0,0,9,0,0,0,0,100,0,0,0,0,0,0
1030010,,,103,0,0,10,0,0,0,0,100,0,0,0,0,0,0
1030011,,,103,0,0,11,0,0,0,0,100,0,0,0,0,0,0
1030012,,,103,0,0,12,0,0,0,0,100,0,0,0,0,0,0
1030013,,,103,0,0,13,0,0,0,0,100,0,0,0,0,0,0
1030014,,,103,0,0,14,0,0,0,0,100,0,0,0,0,0,0
1030015,,,103,0,0,15,0,0,0,0,100,0,0,0,0,0,0
1030016,,,103,0,0,16,0,0,0,0,100,0,0,0,0,0,0
1031100,,,103,1,1,0,0,0,0,0,100,0,0,0,0,0,0
1031200,,,103,1,2,0,0,0,0,0,100,0,0,0,0,0,0
1031300,,,103,1,3,0,0,0,0,0,100,0,0,0,0,0,0
1032101,,,103,2,1,1,0,0,0,0,100,0,0,0,0,0,0
1032102,,,103,2,1,2,0,0,0,0,100,0,0,0,0,0,0
1032103,,,103,2,1,3,0,0,0,0,100,0,0,0,0,0,0
1032104,,,103,2,1,4,0,0,0,0,100,0,0,0,0,0,0
1032105,,,103,2,1,5,0,0,0,0,100,0,0,0,0,0,0
1032106,,,103,2,1,6,0,0,0,0,100,0,0,0,0,0,0
1032107,,,103,2,1,7,0,0,0,0,100,0,0,0,0,0,0
1032108,,,103,2,1,8,0,0,0,0,100,0,0,0,0,0,0
1032109,,,103,2,1,9,0,0,0,0,100,0,0,0,0,0,0
1032110,,,103,2,1,10,0,0,0,0,100,0,0,0,0,0,0
1032111,,,103,2,1,11,0,0,0,0,100,0,0,0,0,0,0
1032112,,,103,2,1,12,0,0,0,0,100,0,0,0,0,0,0
1032113,,,103,2,1,13,0,0,0,0,100,0,0,0,0,0,0
1032114,,,103,2,1,14,0,0,0,0,100,0,0,0,0,0,0
1032115,,,103,2,1,15,0,0,0,0,100,0,0,0,0,0,0
1032116,,,103,2,1,16,0,0,0,0,100,0,0,0,0,0,0
1032201,,,103,2,2,1,0,0,0,0,100,0,0,0,0,0,0
1032202,,,103,2,2,2,0,0,0,0,100,0,0,0,0,0,0
1032203,,,103,2,2,3,0,0,0,0,100,0,0,0,0,0,0
1032204,,,103,2,2,4,0,0,0,0,100,0,0,0,0,0,0
1032205,,,103,2,2,5,0,0,0,0,100,0,0,0,0,0,0
1032206,,,103,2,2,6,0,0,0,0,100,0,0,0,0,0,0
1032207,,,103,2,2,7,0,0,0,0,100,0,0,0,0,0,0
1032208,,,103,2,2,8,0,0,0,0,100,0,0,0,0,0,0
1032209,,,103,2,2,9,0,0,0,0,100,0,0,0,0,0,0
1032210,,,103,2,2,10,0,0,0,0,100,0,0,0,0,0,0
1032211,,,103,2,2,11,0,0,0,0,100,0,0,0,0,0,0
1032212,,,103,2,2,12,0,0,0,0,100,0,0,0,0,0,0
1032213,,,103,2,2,13,0,0,0,0,100,0,0,0,0,0,0
1032214,,,103,2,2,14,0,0,0,0,100,0,0,0,0,0,0
1032215,,,103,2,2,15,0,0,0,0,100,0,0,0,0,0,0
1032216,,,103,2,2,16,0,0,0,0,100,0,0,0,0,0,0
1032301,,,103,2,3,1,0,0,0,0,100,0,0,0,0,0,0
1032302,,,103,2,3,2,0,0,0,0,100,0,0,0,0,0,0
1032303,,,103,2,3,3,0,0,0,0,100,0,0,0,0,0,0
1032304,,,103,2,3,4,0,0,0,0,100,0,0,0,0,0,0
1032305,,,103,2,3,5,0,0,0,0,100,0,0,0,0,0,0
1032306,,,103,2,3,6,0,0,0,0,100,0,0,0,0,0,0
1032307,,,103,2,3,7,0,0,0,0,100,0,0,0,0,0,0
1032308,,,103,2,3,8,0,0,0,0,100,0,0,0,0,0,0
1032309,,,103,2,3,9,0,0,0,0,100,0,0,0,0,0,0
1032310,,,103,2,3,10,0,0,0,0,100,0,0,0,0,0,0
1032311,,,103,2,3,11,0,0,0,0,100,0,0,0,0,0,0
1032312,,,103,2,3,12,0,0,0,0,100,0,0,0,0,0,0
1032313,,,103,2,3,13,0,0,0,0,100,0,0,0,0,0,0
1032314,,,103,2,3,14,0,0,0,0,100,0,0,0,0,0,0
1032315,,,103,2,3,15,0,0,0,0,100,0,0,0,0,0,0
1032316,,,103,2,3,16,0,0,0,0,100,0,0,0,0,0,0
1040001,,,104,0,0,1,0,0,0,0,100,0,0,0,0,0,0
1040002,,,104,0,0,2,0,0,0,0,100,0,0,0,0,0,0
1040003,,,104,0,0,3,0,0,0,0,100,0,0,0,0,0,0
1040004,,,104,0,0,4,0,0,0,0,100,0,0,0,0,0,0
1040005,,,104,0,0,5,0,0,0,0,100,0,0,0,0,0,0
1040006,,,104,0,0,6,0,0,0,0,100,0,0,0,0,0,0
1040007,,,104,0,0,7,0,0,0,0,100,0,0,0,0,0,0
1040008,,,104,0,0,8,0,0,0,0,100,0,0,0,0,0,0
1040009,,,104,0,0,9,0,0,0,0,100,0,0,0,0,0,0
1040010,,,104,0,0,10,0,0,0,0,100,0,0,0,0,0,0
1040011,,,104,0,0,11,0,0,0,0,100,0,0,0,0,0,0
1040012,,,104,0,0,12,0,0,0,0,100,0,0,0,0,0,0
1040013,,,104,0,0,13,0,0,0,0,100,0,0,0,0,0,0
1040014,,,104,0,0,14,0,0,0,0,100,0,0,0,0,0,0
1040015,,,104,0,0,15,0,0,0,0,100,0,0,0,0,0,0
1040016,,,104,0,0,16,0,0,0,0,100,0,0,0,0,0,0
1041100,,,104,1,1,0,0,0,0,0,100,0,0,0,0,0,0
1041200,,,104,1,2,0,0,0,0,0,100,0,0,0,0,0,0
1041300,,,104,1,3,0,0,0,0,0,100,0,0,0,0,0,0
1042101,,,104,2,1,1,0,0,0,0,100,0,0,0,0,0,0
1042102,,,104,2,1,2,0,0,0,0,100,0,0,0,0,0,0
1042103,,,104,2,1,3,0,0,0,0,100,0,0,0,0,0,0
1042104,,,104,2,1,4,0,0,0,0,100,0,0,0,0,0,0
1042105,,,104,2,1,5,0,0,0,0,100,0,0,0,0,0,0
1042106,,,104,2,1,6,0,0,0,0,100,0,0,0,0,0,0
1042107,,,104,2,1,7,0,0,0,0,100,0,0,0,0,0,0
1042108,,,104,2,1,8,0,0,0,0,100,0,0,0,0,0,0
1042109,,,104,2,1,9,0,0,0,0,100,0,0,0,0,0,0
1042110,,,104,2,1,10,0,0,0,0,100,0,0,0,0,0,0
1042111,,,104,2,1,11,0,0,0,0,100,0,0,0,0,0,0
1042112,,,104,2,1,12,0,0,0,0,100,0,0,0,0,0,0
1042113,,,104,2,1,13,0,0,0,0,100,0,0,0,0,0,0
1042114,,,104,2,1,14,0,0,0,0,100,0,0,0,0,0,0
1042115,,,104,2,1,15,0,0,0,0,100,0,0,0,0,0,0
1042116,,,104,2,1,16,0,0,0,0,100,0,0,0,0,0,0
1042201,,,104,2,2,1,0,0,0,0,100,0,0,0,0,0,0
1042202,,,104,2,2,2,0,0,0,0,100,0,0,0,0,0,0
1042203,,,104,2,2,3,0,0,0,0,100,0,0,0,0,0,0
1042204,,,104,2,2,4,0,0,0,0,100,0,0,0,0,0,0
1042205,,,104,2,2,5,0,0,0,0,100,0,0,0,0,0,0
1042206,,,104,2,2,6,0,0,0,0,100,0,0,0,0,0,0
1042207,,,104,2,2,7,0,0,0,0,100,0,0,0,0,0,0
1042208,,,104,2,2,8,0,0,0,0,100,0,0,0,0,0,0
1042209,,,104,2,2,9,0,0,0,0,100,0,0,0,0,0,0
1042210,,,104,2,2,10,0,0,0,0,100,0,0,0,0,0,0
1042211,,,104,2,2,11,0,0,0,0,100,0,0,0,0,0,0
1042212,,,104,2,2,12,0,0,0,0,100,0,0,0,0,0,0
1042213,,,104,2,2,13,0,0,0,0,100,0,0,0,0,0,0
1042214,,,104,2,2,14,0,0,0,0,100,0,0,0,0,0,0
1042215,,,104,2,2,15,0,0,0,0,100,0,0,0,0,0,0
1042216,,,104,2,2,16,0,0,0,0,100,0,0,0,0,0,0
1042301,,,104,2,3,1,0,0,0,0,100,0,0,0,0,0,0
1042302,,,104,2,3,2,0,0,0,0,100,0,0,0,0,0,0
1042303,,,104,2,3,3,0,0,0,0,100,0,0,0,0,0,0
1042304,,,104,2,3,4,0,0,0,0,100,0,0,0,0,0,0
1042305,,,104,2,3,5,0,0,0,0,100,0,0,0,0,0,0
1042306,,,104,2,3,6,0,0,0,0,100,0,0,0,0,0,0
1042307,,,104,2,3,7,0,0,0,0,100,0,0,0,0,0,0
1042308,,,104,2,3,8,0,0,0,0,100,0,0,0,0,0,0
1042309,,,104,2,3,9,0,0,0,0,100,0,0,0,0,0,0
1042310,,,104,2,3,10,0,0,0,0,100,0,0,0,0,0,0
1042311,,,104,2,3,11,0,0,0,0,100,0,0,0,0,0,0
1042312,,,104,2,3,12,0,0,0,0,100,0,0,0,0,0,0
1042313,,,104,2,3,13,0,0,0,0,100,0,0,0,0,0,0
1042314,,,104,2,3,14,0,0,0,0,100,0,0,0,0,0,0
1042315,,,104,2,3,15,0,0,0,0,100,0,0,0,0,0,0
1042316,,,104,2,3,16,0,0,0,0,100,0,0,0,0,0,0
