string2 0,float 1,float 2
"chr144",-0.003,-0.006
"chr145",-0.005,-0.005
"chr146",-0.003,-0.003
"chr147",-0.003,-0.005
"chr149",-0.004,-0.004
"chr150",-0.003,-0.006
"chr151",-0.0015,-0.0015
"chr162",-0.001,-0.001
"chr168",-0.003,-0.003
"chr169",-0.003,-0.003
"chr170",-0.001,-0.002
"chr171",-0.004,-0.0007
"chr172",-0.0008,-0.001
"chr173",-0.003,-0.005
"chr174",-0.002,-0.003
"chr176",-0.005,-0.007
"chr178",-0.0015,-0.0015
"chr179",-0.004,-0.003
"chr181",-0.0015,-0.002
"chr187aa010101",0,-0.001
"chr189",-0.0015,-0.002
"chr193",-0.004,-0.004
"chr194",-0.003,-0.002
"chr195",-0.002,-0.0007
"chr196",-0.003,-0.003
"chr197",-0.004,-0.007
"chr198",-0.007,-0.007
"chr199",-0.001,-0.003
"chr210",-0.003,-0.005
"chr211",-0.005,-0.005
"chr213",-0.002,-0.005
"chr214",-0.003,-0.006
"chr215",-0.003,-0.004
"chr217",-0.003,-0.003
"chr223",-0.004,-0.004
"chr225",-0.002,-0.004
"chr226",-0.001,-0.002
"chr228",-0.004,-0.004
"chr229",-0.004,-0.004
"chr230",-0.005,-0.005
"chr233",-0.002,-0.004
"chr235",-0.004,-0.004
"chr237",-0.001,-0.002
"chr240",-0.003,-0.004
"chr241",-0.001,-0.001
"chr301",-0.004,-0.004
"chr302",-0.004,-0.004
"chr303",-0.002,-0.001
"chr306",-0.003,-0.003
"chr307",-0.003,-0.003
"chr308",-0.004,-0.004
"chr309",-0.003,-0.003
"chr310",-0.004,-0.002
"chr313",-0.009,-0.007
"chr315",-0.005,-0.005
"chr321",-0.004,-0.004
"chr326",-0.004,-0.004
"chr338",-0.002,-0.004
"chr341",-0.003,-0.003
"chr342",-0.003,-0.0015
"chr343",-0.0015,-0.0015
"chr344",-0.004,-0.004
"chr345",-0.005,-0.005
"chr346",-0.005,-0.005
"chr347",-0.007,-0.007
"chr348",-0.0015,-0.0015
"chr349",-0.005,-0.004
"chr363",-0.005,-0.005
"chr364",-0.005,-0.005
"chr365",-0.002,-0.004
"chr367",-0.004,-0.004
"chr368",-0.004,-0.004
"chr369",-0.004,-0.004
"chr370",-0.005,-0.005
"chr371",-0.004,-0.004
"chr373",-0.004,-0.004
"chr376",-0.005,-0.005
"chr377",-0.003,-0.003
"chr379",-0.004,-0.004
"chr382",-0.003,-0.003
"chr383",-0.004,-0.004
"chr385",-0.004,-0.004
"chr390",-0.0005,-0.0012
"chr393",-0.005,-0.005
"chr394",-0.002,-0.004
"chr400",-0.005,-0.005
"chr401",-0.004,-0.004
"chr402",-0.004,-0.004
"chr403",-0.004,-0.004
"chr404",-0.004,-0.004
"chr405",-0.004,-0.004
"chr407",-0.005,-0.005
"chr408",-0.004,-0.004
"chr410",-0.001,-0.001
"chr413",-0.002,-0.003
"chr414",-0.004,-0.004
"chr416",-0.008,-0.008
"chr417",-0.003,-0.003
"chr419",-0.004,-0.007
"chr420",-0.002,-0.005
"chr421",-0.001,-0.001
"chr422",-0.005,-0.005
"chr423",-0.005,-0.005
"chr424",-0.004,-0.004
"chr427",-0.001,-0.002
"chr429",-0.003,-0.003
"chr431",-0.005,-0.005
"chr434",-0.005,-0.005
"chr438",-0.0015,-0.0015
"chr439",-0.004,-0.004
"chr440",-0.004,-0.004
"chr450",-0.003,-0.003
"chr451",-0.0025,-0.004
"chr452",-0.003,-0.004
"chr453",-0.004,-0.004
"chr454",-0.004,-0.002
"chr457",-0.001,-0.001
"chr461",-0.004,-0.004
"chr463",-0.004,-0.004
"chr465",-0.004,-0.004
"chr466",-0.001,-0.001
"chr474",-0.001,-0.003
"chr479",-0.003,-0.005
"chr489",-0.001,-0.002
"chr491",-0.003,-0.003
"chr492",-0.004,-0.004
"chr494",-0.003,-0.006
"chr564",-0.001,-0.001
"chr573",-0.001,-0.002
"chr574",-0.002,-0.001
"chr575",-0.003,-0.003
"chr579",-0.004,-0.004
"chr580",-0.002,-0.004
"chr588",-0.005,-0.005
"chr590",-0.005,-0.005
"chr600",-0.003,-0.003
"chr602",-0.0015,-0.002
"chr603",-0.002,-0.004
"chr604",-0.002,-0.005
"chr605",-0.004,-0.005
"chr606",-0.002,-0.004
"chr610",-0.003,-0.003
"chr613",-0.0007,-0.002
"chr616",-0.001,-0.001
"chr617",-0.001,-0.001
"chr621",-0.004,-0.004
"chr622",-0.001,-0.003
"chr623",-0.001,-0.003
"chr626",-0.003,-0.003
"chr632",-0.005,-0.005
"chr669",-0.002,-0.003
"chr675",-0.002,-0.003
"chr676",-0.0015,-0.0015
"chr677",-0.002,-0.004
"chr678",-0.003,-0.003
"chr679",-0.003,-0.003
"chr681",-0.004,-0.004
"chr683",-0.003,-0.003
"chr688",-0.003,-0.002
"chr698",-0.004,-0.004
"chr699",-0.004,-0.004
"chr700",-0.002,-0.004
"chr702",-0.003,-0.003
"chr704",-0.008,-0.008
"chr711",-0.005,-0.005
"chr719",-0.002,-0.003
"chr721",-0.004,-0.004
"chr723",-0.005,-0.005
"chr727",-0.007,-0.007
"chr732",-0.005,-0.003
"chr733",-0.002,-0.004
"chr734",-0.004,-0.004
"chr738",-0.003,-0.003
"chr739",-0.003,-0.003
"chr741",-0.003,-0.003
"chr743",-0.004,-0.004
"chr744",-0.003,-0.003
"chr745",-0.003,-0.003
"chr748",-0.002,-0.003
"chr749",-0.0025,-0.005
"chr752",-0.009,-0.005
"chr755",-0.003,-0.003
"chr759",-0.005,-0.005
"chr766",-0.005,-0.005
"chr767",-0.003,-0.003
"chr770",-0.004,-0.004
"chr771",-0.003,-0.003
"chr772",-0.003,-0.003
"chr773",-0.001,-0.002
"chr774",-0.003,-0.003
"chr776",-0.004,-0.004
"chr777",-0.004,-0.004
"chr778",-0.003,-0.003
"chr779",-0.003,-0.003
"chr834",-0.007,-0.007
"chr835",-0.007,-0.007
"chr915",-0.004,-0.004
"chr920",-0.003,-0.003
