string2 0,string2 1
"npc101b","npc101a"
"npc101c","npc101a"
"npc101d","npc101a"
"npc101e","npc101a"
"npc102b","npc102a"
"npc102c","npc102a"
"npc102d","npc102a"
"npc102e","npc102a"
"npc102f","npc102a"
"npc104g","npc104a"
"npc105b","npc105a"
"npc105e","npc105a"
"npc105f","npc105a"
"npc105g","npc105a"
"npc105h","npc105a"
"npc105i","npc105a"
"npc106f","npc106a"
"npc106i","npc106a"
"npc109b","npc109a"
"npc110b","npc110a"
"npc111a","npc105a"
"npc111b","npc105a"
"npc112f","npc112a"
"pc001b","pc001a"
"pc001c","pc001a"
"pc001e","pc001a"
"pc001f","pc001a"
"pc001i","pc001a"
"pc001j","pc001a"
"pc001n","pc001a"
"pc001o","pc001a"
"pc001q","pc001a"
"pc001r","pc001a"
"pc001t","pc001a"
"pc001u","pc001a"
"pc002b","pc002a"
"pc002c","pc002a"
"pc002e","pc002a"
"pc002f","pc002a"
"pc002i","pc002a"
"pc002j","pc002a"
"pc002n","pc002a"
"pc002o","pc002a"
"pc002q","pc002a"
"pc002r","pc002a"
"pc002t","pc002a"
"pc002u","pc002a"
"pc011a","pc001a"
"pc012a","pc002a"
"pc021a","pc001a"
"pc022a","pc002a"
"chr900a","chr183a"
"ATChat00chr183n","ATChat00chr183b"
"ATChat00chr183q","ATChat00chr183b"
