int32 0,int32 1,empty 2,int32 3,empty 4,int32 5,int32 6,int32 7,string2 8,empty 9
900808,9,,808,,1,-1,-1,"FLAG_MAIN_08_000",
900809,9,,809,,1,-1,-1,"FLAG_MAIN_08_000",
900810,9,,810,,1,-1,-1,"FLAG_MAIN_08_000",
900811,9,,811,,1,-1,-1,"FLAG_MAIN_08_000",
900812,9,,812,,1,-1,-1,"FLAG_MAIN_08_000",
900813,9,,813,,1,-1,-1,"FLAG_MAIN_08_000",
900814,9,,814,,1,-1,-1,"",
900815,9,,815,,1,-1,-1,"",
900816,9,,816,,1,-1,-1,"",
900817,9,,817,,1,-1,-1,"",
900818,9,,818,,1,-1,-1,"",
900819,9,,819,,1,-1,-1,"",
900820,9,,820,,1,-1,-1,"",
900821,9,,821,,1,-1,-1,"",
900822,9,,822,,1,-1,-1,"",
900823,9,,823,,1,-1,-1,"",
900828,9,,828,,1,-1,-1,"",
900829,9,,829,,1,-1,-1,"",
900830,9,,830,,1,-1,-1,"",
900831,9,,831,,1,-1,-1,"",
900832,9,,832,,1,-1,-1,"",
900833,9,,833,,1,-1,-1,"",
900834,9,,834,,1,-1,-1,"",
900835,9,,835,,1,-1,-1,"",
9100001,91,,1,,-1,-1,-1,"",
9100004,91,,4,,-1,-1,-1,"",
9100007,91,,7,,-1,-1,-1,"",
9100010,91,,10,,-1,-1,-1,"",
9100015,91,,15,,-1,-1,-1,"",
9100017,91,,17,,-1,-1,-1,"",
9100026,91,,26,,-1,-1,-1,"",
9100203,91,,203,,-1,-1,-1,"",
9100210,91,,210,,-1,-1,-1,"",
9100211,91,,211,,-1,-1,-1,"",
9100213,91,,213,,-1,-1,-1,"",
9100222,91,,222,,-1,-1,-1,"",
9100223,91,,223,,-1,-1,-1,"",
9130081,91,,30081,,-1,-1,-1,"",
9130201,91,,30201,,-1,-1,-1,"",
9132131,91,,32131,,-1,-1,-1,"",
9101001,91,,1001,,-1,-1,-1,"",
9101004,91,,1004,,-1,-1,-1,"",
9101007,91,,1007,,-1,-1,-1,"",
9101010,91,,1010,,-1,-1,-1,"",
9101013,91,,1013,,-1,-1,-1,"",
9101016,91,,1016,,-1,-1,-1,"",
9101019,91,,1019,,-1,-1,-1,"",
9100023,91,,23,,-1,-1,-1,"FLAG_MAIN_03_040",
9133011,91,,33011,,-1,-1,-1,"FLAG_MAIN_03_120",
9133031,91,,33031,,-1,-1,-1,"FLAG_MAIN_03_120",
9100019,91,,19,,-1,-1,-1,"FLAG_MAIN_03_160",
9133041,91,,33041,,-1,-1,-1,"FLAG_MAIN_03_160",
9133021,91,,33021,,-1,-1,-1,"FLAG_MAIN_03_160",
9133051,91,,33051,,-1,-1,-1,"FLAG_MAIN_03_230",
9100037,91,,37,,-1,-1,-1,"FLAG_MAIN_03_460",
9130251,91,,30251,,-1,-1,-1,"FLAG_MAIN_03_320",
9130271,91,,30271,,-1,-1,-1,"FLAG_MAIN_03_320",
9130331,91,,30331,,-1,-1,-1,"FLAG_MAIN_03_320",
9131011,91,,31011,,-1,-1,-1,"FLAG_MAIN_03_320",
9131051,91,,31051,,-1,-1,-1,"FLAG_MAIN_03_320",
9100802,91,,802,,-1,-1,-1,"",
9100804,91,,804,,-1,-1,-1,"FLAG_MAIN_08_000",
9100807,91,,807,,-1,-1,-1,"FLAG_MAIN_08_000",
9100808,91,,808,,-1,-1,-1,"FLAG_MAIN_08_000",
9100809,91,,809,,-1,-1,-1,"FLAG_MAIN_08_000",
9100810,91,,810,,-1,-1,-1,"FLAG_MAIN_08_000",
9100811,91,,811,,-1,-1,-1,"FLAG_MAIN_08_000",
9100812,91,,812,,-1,-1,-1,"FLAG_MAIN_08_000",
9100813,91,,813,,-1,-1,-1,"FLAG_MAIN_08_000",
9100814,91,,814,,-1,-1,-1,"",
9100815,91,,815,,-1,-1,-1,"",
9100816,91,,816,,-1,-1,-1,"",
9100817,91,,817,,-1,-1,-1,"",
9100818,91,,818,,-1,-1,-1,"",
9100819,91,,819,,-1,-1,-1,"",
9100820,91,,820,,-1,-1,-1,"",
9100821,91,,821,,-1,-1,-1,"",
9100822,91,,822,,-1,-1,-1,"",
9100823,91,,823,,-1,-1,-1,"",
9100828,91,,828,,-1,-1,-1,"",
9100829,91,,829,,-1,-1,-1,"",
9100830,91,,830,,-1,-1,-1,"",
9100831,91,,831,,-1,-1,-1,"",
9100832,91,,832,,-1,-1,-1,"",
9100833,91,,833,,-1,-1,-1,"",
9100834,91,,834,,-1,-1,-1,"",
9100835,91,,835,,-1,-1,-1,"",
9200001,92,,1,,-1,-1,-1,"",
9200004,92,,4,,-1,-1,-1,"",
9200007,92,,7,,-1,-1,-1,"",
9200010,92,,10,,-1,-1,-1,"",
9200015,92,,15,,-1,-1,-1,"",
9200017,92,,17,,-1,-1,-1,"",
9200026,92,,26,,-1,-1,-1,"",
9200203,92,,203,,-1,-1,-1,"",
9200210,92,,210,,-1,-1,-1,"",
9200211,92,,211,,-1,-1,-1,"",
9200213,92,,213,,-1,-1,-1,"",
9200222,92,,222,,-1,-1,-1,"",
9200223,92,,223,,-1,-1,-1,"",
9201001,92,,1001,,-1,-1,-1,"",
9201004,92,,1004,,-1,-1,-1,"",
9201007,92,,1007,,-1,-1,-1,"",
9201010,92,,1010,,-1,-1,-1,"",
9201013,92,,1013,,-1,-1,-1,"",
9201016,92,,1016,,-1,-1,-1,"",
9201019,92,,1019,,-1,-1,-1,"",
9200023,92,,23,,-1,-1,-1,"",
9200019,92,,19,,-1,-1,-1,"",
9200016,92,,16,,-1,-1,-1,"",
9200018,92,,18,,-1,-1,-1,"",
9200030,92,,30,,-1,-1,-1,"FLAG_MAIN_03_650",
9200031,92,,31,,-1,-1,-1,"FLAG_MAIN_03_650",
9200032,92,,32,,-1,-1,-1,"FLAG_MAIN_03_650",
9200033,92,,33,,-1,-1,-1,"FLAG_MAIN_03_650",
9200034,92,,34,,-1,-1,-1,"FLAG_MAIN_03_650",
9200035,92,,35,,-1,-1,-1,"FLAG_MAIN_03_650",
9200036,92,,36,,-1,-1,-1,"FLAG_MAIN_03_650",
9200037,92,,37,,-1,-1,-1,"",
9230011,92,,30011,,-1,-1,-1,"",
9230021,92,,30021,,-1,-1,-1,"",
9230031,92,,30031,,-1,-1,-1,"FLAG_MAIN_03_680",
9230034,92,,30034,,-1,-1,-1,"FLAG_MAIN_03_680",
9230041,92,,30041,,-1,-1,-1,"",
9230051,92,,30051,,-1,-1,-1,"",
9230061,92,,30061,,-1,-1,-1,"FLAG_MAIN_03_680",
9230064,92,,30064,,-1,-1,-1,"FLAG_MAIN_03_680",
9230071,92,,30071,,-1,-1,-1,"",
9230081,92,,30081,,-1,-1,-1,"",
9230091,92,,30091,,-1,-1,-1,"FLAG_MAIN_03_680",
9230094,92,,30094,,-1,-1,-1,"FLAG_MAIN_03_680",
9230101,92,,30101,,-1,-1,-1,"",
9230111,92,,30111,,-1,-1,-1,"",
9230121,92,,30121,,-1,-1,-1,"FLAG_MAIN_03_680",
9230124,92,,30124,,-1,-1,-1,"FLAG_MAIN_03_680",
9230161,92,,30161,,-1,-1,-1,"",
9230171,92,,30171,,-1,-1,-1,"",
9230181,92,,30181,,-1,-1,-1,"FLAG_MAIN_03_680",
9230184,92,,30184,,-1,-1,-1,"FLAG_MAIN_03_680",
9230141,92,,30141,,-1,-1,-1,"",
9230131,92,,30131,,-1,-1,-1,"",
9230151,92,,30151,,-1,-1,-1,"FLAG_MAIN_03_680",
9230154,92,,30154,,-1,-1,-1,"FLAG_MAIN_03_680",
9230201,92,,30201,,-1,-1,-1,"",
9230191,92,,30191,,-1,-1,-1,"",
9230211,92,,30211,,-1,-1,-1,"FLAG_MAIN_03_680",
9230214,92,,30214,,-1,-1,-1,"FLAG_MAIN_03_680",
9230231,92,,30231,,-1,-1,-1,"",
9230221,92,,30221,,-1,-1,-1,"",
9230244,92,,30244,,-1,-1,-1,"FLAG_MAIN_03_680",
9230241,92,,30241,,-1,-1,-1,"FLAG_MAIN_03_680",
9230251,92,,30251,,-1,-1,-1,"",
9230261,92,,30261,,-1,-1,-1,"",
9230271,92,,30271,,-1,-1,-1,"FLAG_MAIN_03_680",
9230274,92,,30274,,-1,-1,-1,"FLAG_MAIN_03_680",
9230281,92,,30281,,-1,-1,-1,"",
9230291,92,,30291,,-1,-1,-1,"",
9230301,92,,30301,,-1,-1,-1,"FLAG_MAIN_03_680",
9230304,92,,30304,,-1,-1,-1,"FLAG_MAIN_03_680",
9230321,92,,30321,,-1,-1,-1,"",
9230311,92,,30311,,-1,-1,-1,"",
9230331,92,,30331,,-1,-1,-1,"FLAG_MAIN_03_680",
9230334,92,,30334,,-1,-1,-1,"FLAG_MAIN_03_680",
9232131,92,,32131,,-1,-1,-1,"",
9233011,92,,33011,,-1,-1,-1,"",
9233031,92,,33031,,-1,-1,-1,"",
9233041,92,,33041,,-1,-1,-1,"",
9233021,92,,33021,,-1,-1,-1,"",
9233051,92,,33051,,-1,-1,-1,"",
9232071,92,,32071,,-1,-1,-1,"",
9231011,92,,31011,,-1,-1,-1,"",
9231051,92,,31051,,-1,-1,-1,"",
9231041,92,,31041,,-1,-1,-1,"",
9231021,92,,31021,,-1,-1,-1,"FLAG_MAIN_04_020",
9232081,92,,32081,,-1,-1,-1,"FLAG_MAIN_04_020",
9200002,92,,2,,-1,-1,-1,"FLAG_MAIN_03_650",
9200005,92,,5,,-1,-1,-1,"FLAG_MAIN_03_650",
9200008,92,,8,,-1,-1,-1,"FLAG_MAIN_03_650",
9200011,92,,11,,-1,-1,-1,"FLAG_MAIN_03_650",
9200024,92,,24,,-1,-1,-1,"",
9231031,92,,31031,,-1,-1,-1,"",
9201002,92,,1002,,-1,-1,-1,"FLAG_MAIN_03_650",
9201005,92,,1005,,-1,-1,-1,"FLAG_MAIN_03_650",
9201008,92,,1008,,-1,-1,-1,"FLAG_MAIN_03_650",
9201011,92,,1011,,-1,-1,-1,"FLAG_MAIN_03_650",
9201014,92,,1014,,-1,-1,-1,"FLAG_MAIN_03_650",
9201017,92,,1017,,-1,-1,-1,"FLAG_MAIN_03_650",
9201020,92,,1020,,-1,-1,-1,"FLAG_MAIN_03_650",
9200020,92,,20,,-1,-1,-1,"FLAG_MAIN_07_030",
9200021,92,,21,,-1,-1,-1,"FLAG_MAIN_07_030",
9200022,92,,22,,-1,-1,-1,"FLAG_MAIN_07_030",
9231042,92,,31042,,-1,-1,-1,"FLAG_MAIN_07_030",
9230012,92,,30012,,-1,-1,-1,"FLAG_MAIN_07_030",
9230022,92,,30022,,-1,-1,-1,"FLAG_MAIN_07_030",
9230072,92,,30072,,-1,-1,-1,"FLAG_MAIN_07_030",
9230082,92,,30082,,-1,-1,-1,"FLAG_MAIN_07_030",
9230102,92,,30102,,-1,-1,-1,"FLAG_MAIN_07_030",
9230112,92,,30112,,-1,-1,-1,"FLAG_MAIN_07_030",
9230202,92,,30202,,-1,-1,-1,"FLAG_MAIN_07_030",
9230192,92,,30192,,-1,-1,-1,"FLAG_MAIN_07_030",
9230132,92,,30132,,-1,-1,-1,"FLAG_MAIN_07_030",
9230142,92,,30142,,-1,-1,-1,"FLAG_MAIN_07_030",
9230222,92,,30222,,-1,-1,-1,"FLAG_MAIN_07_030",
9230232,92,,30232,,-1,-1,-1,"FLAG_MAIN_07_030",
9230312,92,,30312,,-1,-1,-1,"FLAG_MAIN_07_030",
9230322,92,,30322,,-1,-1,-1,"FLAG_MAIN_07_030",
9230042,92,,30042,,-1,-1,-1,"FLAG_MAIN_07_030",
9230052,92,,30052,,-1,-1,-1,"FLAG_MAIN_07_030",
9230162,92,,30162,,-1,-1,-1,"FLAG_MAIN_07_030",
9230172,92,,30172,,-1,-1,-1,"FLAG_MAIN_07_030",
9230282,92,,30282,,-1,-1,-1,"FLAG_MAIN_07_030",
9230292,92,,30292,,-1,-1,-1,"FLAG_MAIN_07_030",
9230252,92,,30252,,-1,-1,-1,"FLAG_MAIN_07_030",
9230262,92,,30262,,-1,-1,-1,"FLAG_MAIN_07_030",
9231061,92,,31061,,-1,-1,-1,"FLAG_MAIN_07_054",
9201091,92,,1091,,-1,-1,-1,"FLAG_MAIN_07_054",
9201092,92,,1092,,-1,-1,-1,"FLAG_MAIN_07_054",
9201093,92,,1093,,-1,-1,-1,"FLAG_MAIN_07_054",
9201094,92,,1094,,-1,-1,-1,"FLAG_MAIN_07_054",
9201095,92,,1095,,-1,-1,-1,"FLAG_MAIN_07_054",
9201096,92,,1096,,-1,-1,-1,"FLAG_MAIN_07_054",
9201097,92,,1097,,-1,-1,-1,"FLAG_MAIN_07_054",
9200802,92,,802,,-1,-1,-1,"",
9200804,92,,804,,-1,-1,-1,"FLAG_MAIN_08_000",
9200807,92,,807,,-1,-1,-1,"FLAG_MAIN_08_000",
9200808,92,,808,,-1,-1,-1,"FLAG_MAIN_08_000",
9200809,92,,809,,-1,-1,-1,"FLAG_MAIN_08_000",
9200810,92,,810,,-1,-1,-1,"FLAG_MAIN_08_000",
9200811,92,,811,,-1,-1,-1,"FLAG_MAIN_08_000",
9200812,92,,812,,-1,-1,-1,"FLAG_MAIN_08_000",
9200813,92,,813,,-1,-1,-1,"FLAG_MAIN_08_000",
9200814,92,,814,,-1,-1,-1,"",
9200815,92,,815,,-1,-1,-1,"",
9200816,92,,816,,-1,-1,-1,"",
9200817,92,,817,,-1,-1,-1,"",
9200818,92,,818,,-1,-1,-1,"",
9200819,92,,819,,-1,-1,-1,"",
9200820,92,,820,,-1,-1,-1,"",
9200821,92,,821,,-1,-1,-1,"",
9200822,92,,822,,-1,-1,-1,"",
9200823,92,,823,,-1,-1,-1,"",
9200828,92,,828,,-1,-1,-1,"",
9200829,92,,829,,-1,-1,-1,"",
9200830,92,,830,,-1,-1,-1,"",
9200831,92,,831,,-1,-1,-1,"",
9200832,92,,832,,-1,-1,-1,"",
9200833,92,,833,,-1,-1,-1,"",
9200834,92,,834,,-1,-1,-1,"",
9200835,92,,835,,-1,-1,-1,"",
9300002,93,,2,,-1,-1,-1,"",
9300005,93,,5,,-1,-1,-1,"",
9300008,93,,8,,-1,-1,-1,"",
9300011,93,,11,,-1,-1,-1,"",
9300015,93,,15,,-1,-1,-1,"",
9300016,93,,16,,-1,-1,-1,"",
9300017,93,,17,,-1,-1,-1,"",
9300018,93,,18,,-1,-1,-1,"",
9300019,93,,19,,-1,-1,-1,"",
9300020,93,,20,,-1,-1,-1,"",
9300021,93,,21,,-1,-1,-1,"",
9300022,93,,22,,-1,-1,-1,"",
9300023,93,,23,,-1,-1,-1,"",
9300024,93,,24,,-1,-1,-1,"",
9300026,93,,26,,-1,-1,-1,"",
9300030,93,,30,,-1,-1,-1,"",
9300031,93,,31,,-1,-1,-1,"",
9300032,93,,32,,-1,-1,-1,"",
9300033,93,,33,,-1,-1,-1,"",
9300034,93,,34,,-1,-1,-1,"",
9300035,93,,35,,-1,-1,-1,"",
9300036,93,,36,,-1,-1,-1,"",
9300037,93,,37,,-1,-1,-1,"",
9301002,93,,1002,,-1,-1,-1,"",
9301005,93,,1005,,-1,-1,-1,"",
9301008,93,,1008,,-1,-1,-1,"",
9301011,93,,1011,,-1,-1,-1,"",
9301014,93,,1014,,-1,-1,-1,"",
9301017,93,,1017,,-1,-1,-1,"",
9301020,93,,1020,,-1,-1,-1,"",
9301091,93,,1091,,-1,-1,-1,"",
9301092,93,,1092,,-1,-1,-1,"",
9301093,93,,1093,,-1,-1,-1,"",
9301094,93,,1094,,-1,-1,-1,"",
9301095,93,,1095,,-1,-1,-1,"",
9301096,93,,1096,,-1,-1,-1,"",
9301097,93,,1097,,-1,-1,-1,"",
9330012,93,,30012,,-1,-1,-1,"",
9330022,93,,30022,,-1,-1,-1,"",
9330032,93,,30032,,-1,-1,-1,"",
9330035,93,,30035,,-1,-1,-1,"",
9330042,93,,30042,,-1,-1,-1,"",
9330052,93,,30052,,-1,-1,-1,"",
9330062,93,,30062,,-1,-1,-1,"",
9330065,93,,30065,,-1,-1,-1,"",
9330072,93,,30072,,-1,-1,-1,"",
9330082,93,,30082,,-1,-1,-1,"",
9330092,93,,30092,,-1,-1,-1,"",
9330095,93,,30095,,-1,-1,-1,"",
9330102,93,,30102,,-1,-1,-1,"",
9330112,93,,30112,,-1,-1,-1,"",
9330122,93,,30122,,-1,-1,-1,"",
9330125,93,,30125,,-1,-1,-1,"",
9330162,93,,30162,,-1,-1,-1,"",
9330172,93,,30172,,-1,-1,-1,"",
9330182,93,,30182,,-1,-1,-1,"",
9330185,93,,30185,,-1,-1,-1,"",
9330142,93,,30142,,-1,-1,-1,"",
9330132,93,,30132,,-1,-1,-1,"",
9330152,93,,30152,,-1,-1,-1,"",
9330155,93,,30155,,-1,-1,-1,"",
9330202,93,,30202,,-1,-1,-1,"",
9330192,93,,30192,,-1,-1,-1,"",
9330212,93,,30212,,-1,-1,-1,"",
9330215,93,,30215,,-1,-1,-1,"",
9330232,93,,30232,,-1,-1,-1,"",
9330222,93,,30222,,-1,-1,-1,"",
9330245,93,,30245,,-1,-1,-1,"",
9330242,93,,30242,,-1,-1,-1,"",
9330252,93,,30252,,-1,-1,-1,"",
9330262,93,,30262,,-1,-1,-1,"",
9330272,93,,30272,,-1,-1,-1,"",
9330275,93,,30275,,-1,-1,-1,"",
9330282,93,,30282,,-1,-1,-1,"",
9330292,93,,30292,,-1,-1,-1,"",
9330302,93,,30302,,-1,-1,-1,"",
9330305,93,,30305,,-1,-1,-1,"",
9330322,93,,30322,,-1,-1,-1,"",
9330312,93,,30312,,-1,-1,-1,"",
9330332,93,,30332,,-1,-1,-1,"",
9330335,93,,30335,,-1,-1,-1,"",
9331021,93,,31021,,-1,-1,-1,"",
9331031,93,,31031,,-1,-1,-1,"",
9331042,93,,31042,,-1,-1,-1,"",
9331061,93,,31061,,-1,-1,-1,"",
9332081,93,,32081,,-1,-1,-1,"",
9333061,93,,33061,,-1,-1,-1,"FLAG_MAIN_09_053",
9300802,93,,802,,-1,-1,-1,"",
9300804,93,,804,,-1,-1,-1,"FLAG_MAIN_08_000",
9300807,93,,807,,-1,-1,-1,"FLAG_MAIN_08_000",
9300808,93,,808,,-1,-1,-1,"FLAG_MAIN_08_000",
9300809,93,,809,,-1,-1,-1,"FLAG_MAIN_08_000",
9300810,93,,810,,-1,-1,-1,"FLAG_MAIN_08_000",
9300811,93,,811,,-1,-1,-1,"FLAG_MAIN_08_000",
9300812,93,,812,,-1,-1,-1,"FLAG_MAIN_08_000",
9300813,93,,813,,-1,-1,-1,"FLAG_MAIN_08_000",
9300814,93,,814,,-1,-1,-1,"",
9300815,93,,815,,-1,-1,-1,"",
9300816,93,,816,,-1,-1,-1,"",
9300817,93,,817,,-1,-1,-1,"",
9300818,93,,818,,-1,-1,-1,"",
9300819,93,,819,,-1,-1,-1,"",
9300820,93,,820,,-1,-1,-1,"",
9300821,93,,821,,-1,-1,-1,"",
9300822,93,,822,,-1,-1,-1,"",
9300823,93,,823,,-1,-1,-1,"",
9300828,93,,828,,-1,-1,-1,"",
9300829,93,,829,,-1,-1,-1,"",
9300830,93,,830,,-1,-1,-1,"",
9300831,93,,831,,-1,-1,-1,"",
9300832,93,,832,,-1,-1,-1,"",
9300833,93,,833,,-1,-1,-1,"",
9300834,93,,834,,-1,-1,-1,"",
9300835,93,,835,,-1,-1,-1,"",
9400002,94,,2,,-1,-1,-1,"",
9400005,94,,5,,-1,-1,-1,"",
9400008,94,,8,,-1,-1,-1,"",
9400011,94,,11,,-1,-1,-1,"",
9400015,94,,15,,-1,-1,-1,"",
9400016,94,,16,,-1,-1,-1,"",
9400017,94,,17,,-1,-1,-1,"",
9400018,94,,18,,-1,-1,-1,"",
9400019,94,,19,,-1,-1,-1,"",
9400020,94,,20,,-1,-1,-1,"",
9400021,94,,21,,-1,-1,-1,"",
9400022,94,,22,,-1,-1,-1,"",
9400023,94,,23,,-1,-1,-1,"",
9400024,94,,24,,-1,-1,-1,"",
9400026,94,,26,,-1,-1,-1,"",
9400030,94,,30,,-1,-1,-1,"",
9400031,94,,31,,-1,-1,-1,"",
9400032,94,,32,,-1,-1,-1,"",
9400033,94,,33,,-1,-1,-1,"",
9400034,94,,34,,-1,-1,-1,"",
9400035,94,,35,,-1,-1,-1,"",
9400036,94,,36,,-1,-1,-1,"",
9400037,94,,37,,-1,-1,-1,"",
9401002,94,,1002,,-1,-1,-1,"",
9401005,94,,1005,,-1,-1,-1,"",
9401008,94,,1008,,-1,-1,-1,"",
9401011,94,,1011,,-1,-1,-1,"",
9401014,94,,1014,,-1,-1,-1,"",
9401017,94,,1017,,-1,-1,-1,"",
9401020,94,,1020,,-1,-1,-1,"",
9401091,94,,1091,,-1,-1,-1,"",
9401092,94,,1092,,-1,-1,-1,"",
9401093,94,,1093,,-1,-1,-1,"",
9401094,94,,1094,,-1,-1,-1,"",
9401095,94,,1095,,-1,-1,-1,"",
9401096,94,,1096,,-1,-1,-1,"",
9401097,94,,1097,,-1,-1,-1,"",
9430012,94,,30012,,-1,-1,-1,"",
9430022,94,,30022,,-1,-1,-1,"",
9430032,94,,30032,,-1,-1,-1,"",
9430035,94,,30035,,-1,-1,-1,"",
9430042,94,,30042,,-1,-1,-1,"",
9430052,94,,30052,,-1,-1,-1,"",
9430062,94,,30062,,-1,-1,-1,"",
9430065,94,,30065,,-1,-1,-1,"",
9430072,94,,30072,,-1,-1,-1,"",
9430082,94,,30082,,-1,-1,-1,"",
9430092,94,,30092,,-1,-1,-1,"",
9430095,94,,30095,,-1,-1,-1,"",
9430102,94,,30102,,-1,-1,-1,"",
