int32 0,empty 1,int32 2,empty 3,empty 4,int32 5,empty 6,bool 7,bool 8,bool 9,int32 10,int32 11,float 12,float 13,string2 14,int32 15,int32 16,int32 17,int32 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,empty 31,int32 32,int32 33,int32 34,int32 35,int32 36,int32 37,empty 38,int32 39,int32 40,empty 41,int32 42,int32 43
1701,,17,,,1701,,false,false,true,0,20,-1,0.05,"",0,0,4940,290,644,116,38,68,188,130,60,360,200,250,170,160,,0,84,6,80,8,10017,,5,0,,0,15
1702,,17,,,1702,,false,true,false,0,20,-1,0.05,"",0,0,4940,290,2473,1796,503,990,280,80,80,100,100,100,40,130,,0,84,6,80,8,10017,,5,0,,0,15
1703,,17,,,1701,,false,true,false,0,20,-1,0.05,"",0,0,1640,290,530,260,230,160,260,40,60,130,60,130,60,130,,0,84,6,80,8,0,,0,0,,0,15
1901,,19,,,1901,,false,true,false,0,20,-1,0.05,"",0,0,3360,460,1870,620,420,500,950,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
2001,,20,,,2001,,false,true,false,0,20,-1,0.1,"",0,0,750,340,219,89,279,99,291,50,60,300,100,300,100,130,,0,12,2,40,2,10020,,5,0,,0,20
2002,,20,,,2002,,false,true,false,0,20,-1,0.1,"",0,0,1280,340,1230,610,560,620,600,40,50,130,30,130,30,100,,0,12,2,40,2,22128,,100,0,,0,0
2003,,20,,,2001,,false,true,false,0,20,-1,0.1,"",0,0,5360,340,3426,1422,2086,1422,1686,80,50,60,40,60,40,130,,0,12,2,40,2,10020,,5,0,,0,20
2101,,21,,,2101,,false,true,false,0,20,-1,0.05,"",0,0,7840,580,3138,2300,3608,2310,1570,30,80,100,50,100,50,160,,0,264,8,160,16,10021,,30,0,,0,0
2301,,23,,,2301,,false,true,false,0,20,-1,0.05,"",0,0,2060,590,1500,520,590,440,760,50,80,210,50,210,50,160,,0,264,8,160,16,0,,0,0,,0,10
2401,,24,,,2401,,false,true,false,0,20,-1,0.05,"",0,0,2340,1470,280,310,1960,900,940,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
2501,,25,,,2501,,false,true,false,0,20,-1,0.05,"",0,0,1320,220,900,630,480,540,320,40,60,170,40,170,40,130,,0,84,6,80,8,22137,,100,0,,0,0
2601,,26,,,2601,,false,true,false,0,20,-1,0.05,"",0,0,2200,570,1320,320,600,400,970,50,80,210,50,210,50,160,,0,264,8,160,16,0,,0,0,,0,10
2602,,26,,,2601,,false,true,false,0,20,-1,0.05,"",0,0,7170,570,4320,1820,3600,2400,1970,80,80,210,50,210,50,160,,40,264,8,160,16,10026,,30,0,,0,0
2701,,27,,,2701,,false,true,false,0,20,-1,0.05,"",0,0,3070,640,1460,720,840,590,900,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
2801,,28,,,2801,,false,true,false,0,20,-1,0.05,"",0,0,3610,500,890,1020,980,590,480,50,80,210,50,210,50,160,,0,264,8,160,16,22147,,100,0,,0,0
2802,,28,,,2801,,false,true,false,0,20,-1,0.05,"",0,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0
3001,,30,,,3001,,false,true,false,0,20,-1,0.05,"",0,0,310,360,1460,240,1330,330,750,80,60,170,130,170,130,130,,0,464,8,80,8,1172,,5,10030,,5,15
3002,,30,,,3001,,false,true,true,0,20,-1,0.05,"",0,0,1210,360,460,150,330,210,350,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
3101,,31,,,3101,,false,true,false,0,20,-1,0.05,"",0,0,1310,590,4103,1850,3453,2140,1020,80,80,40,50,40,50,160,,15,264,8,160,16,10031,,5,0,,0,10
3102,,31,,,3102,,false,true,false,0,20,-1,0.05,"",0,0,2330,590,1390,760,1090,970,1020,50,80,210,50,210,50,160,,0,264,8,160,16,22146,,100,0,,0,0
3103,,31,,,3103,,false,true,false,0,20,-1,0.05,"",0,0,3330,590,3590,2180,2790,2470,1020,50,80,210,50,210,50,160,,0,264,8,160,16,10031,,5,0,,0,10
3201,,32,,,3201,,false,true,false,0,20,-1,0.05,"",0,0,2520,860,1400,450,1680,660,870,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
3301,,33,,,3301,,false,true,false,0,20,-1,0.05,"",0,0,150,590,900,380,710,180,510,100,60,230,150,230,150,160,,0,264,8,160,16,10033,,5,0,,0,10
3302,,33,,,3301,,false,true,true,0,20,-1,0.05,"",0,0,1650,590,980,780,790,580,510,50,80,210,50,210,50,160,,0,264,8,160,16,0,,0,0,,0,10
3401,,34,,,3401,,false,true,false,0,20,-1,0.05,"",0,0,1970,1050,670,410,2180,720,1050,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
3402,,34,,,3401,,false,false,false,0,20,-1,0.05,"",0,0,14540,1050,5334,2226,5914,3036,1150,200,100,0,150,0,150,200,,12,6640,10,3200,64,0,,0,0,,0,5
3501,,35,,,3501,,false,true,false,0,20,-1,0.05,"",0,0,3210,760,3850,1520,2840,1480,1090,60,100,260,90,260,90,200,,0,664,10,320,32,22105,,100,0,,0,0
3502,,35,,,3501,,false,true,false,0,20,-1,0.05,"",0,0,3210,760,1850,520,840,480,1090,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,3
3601,,36,,,3601,,false,true,false,0,20,-1,0.05,"",0,0,16000,1000,440,530,2380,840,210,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
3701,,37,,,3701,,false,true,false,0,20,-1,0.05,"",0,0,3210,820,1350,760,1200,640,820,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
3801,,38,,,3801,,false,true,false,0,20,-1,0.05,"",0,0,2780,720,1400,480,1690,580,850,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
3901,,39,,,3901,,false,true,false,0,20,-1,0.05,"",0,0,2480,820,1030,500,1950,700,910,50,80,210,50,210,50,160,,0,264,8,160,16,0,,0,0,,0,10
4001,,40,,,4001,,false,true,false,0,20,-1,0.05,"",0,0,4240,600,2440,900,900,730,1010,60,100,260,90,260,90,200,,0,1364,12,350,35,0,,0,0,,0,5
4101,,41,,,4101,,false,true,false,0,20,-1,0.05,"",0,0,1650,650,1140,840,1140,740,590,50,80,210,50,210,50,160,,0,264,8,160,16,22132,,100,0,,0,0
4201,,42,,,4201,,false,true,false,0,20,-1,0.1,"",0,0,610,270,400,115,420,115,283,60,60,300,120,300,120,130,,0,24,4,40,4,10042,,5,0,,0,20
4202,,42,,,4201,,false,true,false,0,20,-1,0.1,"",0,0,290,270,2866,786,2886,786,1166,60,60,0,100,0,100,130,,0,24,4,40,4,10042,,5,0,,0,20
4203,,42,,,4202,,false,true,false,0,20,-1,0.1,"",0,0,430,270,2290,2572,2310,802,1172,80,80,120,150,120,100,130,,0,24,4,40,4,10042,,30,0,,0,0
4301,,43,,,4301,,false,true,false,0,20,-1,0.05,"",0,0,1160,610,189,40,339,68,175,130,60,380,210,380,260,180,,0,84,6,80,8,0,,0,0,,0,15
4302,,43,,,4302,,false,true,false,0,20,-1,0.05,"",0,0,1640,610,330,40,352,199,195,150,100,400,200,450,250,180,,0,84,6,80,8,10043,,100,0,,0,15
4401,,44,,,4401,,false,true,false,0,20,-1,0.05,"",0,0,2550,710,1500,840,1060,770,560,50,80,210,50,210,50,160,,0,264,8,160,16,22116,,100,0,,0,0
4501,,45,,,4501,,false,true,false,0,20,-1,0.05,"",0,0,2340,1250,670,480,1760,890,850,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
4601,,46,,,4601,,false,true,false,0,20,-1,0.05,"",0,0,2340,1250,2070,640,710,430,870,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
4701,,47,,,4701,,false,true,false,0,20,-1,0.05,"",0,0,1090,730,3464,846,2624,616,1086,100,60,100,150,100,150,160,,0,1064,10,320,32,10047,,5,0,,0,5
4702,,47,,,4702,,false,true,false,0,20,-1,0.05,"",0,0,7800,730,4680,3570,3840,3510,2890,60,100,260,90,260,90,200,,0,664,10,320,32,10047,,5,0,,0,0
4703,,47,,,4701,,false,true,false,0,20,-1,0.05,"",0,0,3310,730,4209,1491,3369,1061,890,120,60,50,100,50,100,200,,10,1064,10,320,32,10047,,5,0,,0,5
4801,,48,,,4801,,false,true,true,0,20,-1,0.05,"",0,0,3210,600,1270,720,1330,720,790,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
4802,,48,,,4801,,false,true,false,0,20,-1,0.05,"",0,0,8210,600,4414,2220,4274,2220,1526,60,100,100,90,100,90,160,,29,664,10,320,32,10048,,30,0,,0,0
4901,,49,,,4901,,false,true,false,0,20,-1,0.05,"",0,0,3560,490,4342,1100,2462,810,880,50,80,80,90,80,90,200,,32,664,10,320,32,10049,,30,0,,0,0
5001,,50,,,5001,,false,true,false,0,20,-1,0.1,"",0,0,950,180,2990,1200,2640,1120,1240,30,50,120,20,120,20,100,,0,24,4,40,4,10050,,5,0,,0,0
5101,,51,,,5101,,false,true,false,0,20,-1,0.05,"",0,0,1140,460,410,240,440,240,360,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
5201,,52,,,5201,,false,true,false,0,20,-1,0.1,"",0,0,540,260,380,200,320,150,121,60,60,300,120,250,120,130,,0,24,6,40,4,10052,,5,0,,0,20
5202,,52,,,5202,,false,true,false,0,20,-1,0.1,"",0,0,310,260,660,460,540,360,160,0,50,100,50,100,50,100,,0,24,4,40,4,10052,,5,0,,0,0
5301,,53,,,5301,,false,true,false,0,20,-1,0.1,"",0,0,460,420,240,110,470,160,267,60,60,200,120,310,120,130,,0,24,4,40,4,1173,,5,10053,,5,20
5401,,54,,,5401,,false,true,false,0,20,-1,0.05,"",0,0,1700,390,1300,560,600,540,350,40,60,170,40,170,40,130,,0,84,6,80,8,10054,,5,0,,0,0
5501,,55,,,5501,,false,true,false,0,20,-1,0.1,"",0,0,315,220,400,130,250,120,280,0,50,120,20,120,20,100,,0,24,4,40,4,10055,,5,0,,0,0
5502,,55,,,5502,,false,true,false,0,20,-1,0.1,"",0,0,950,220,400,130,250,120,280,0,50,0,0,0,0,0,,0,250,0,40,4,30042,,100,0,,0,0
5601,,56,,,5601,,false,true,false,0,20,-1,0.1,"",0,0,1000,270,1250,750,1270,800,660,30,50,120,20,120,20,100,,0,24,4,40,4,22141,,100,0,,0,0
5602,,56,,,5601,,false,true,false,0,20,-1,0.1,"",0,0,1,270,250,150,270,160,220,0,50,120,20,120,20,100,,0,0,0,150,0,0,,0,0,,0,0
5701,,57,,,5701,,false,true,false,0,20,-1,0.05,"",0,0,2340,1020,3070,1550,3400,1640,900,60,100,260,90,260,90,200,,0,664,10,320,32,22115,,100,0,,0,0
5801,,58,,,5801,,false,true,false,0,20,-1,0.05,"",0,0,560,480,200,221,405,401,240,80,60,330,130,330,130,130,,0,84,6,80,8,10058,,5,0,,0,15
5901,,59,,,5901,,false,true,false,0,20,-1,0.05,"",0,0,10,450,2664,590,1344,340,680,100,60,100,150,100,150,160,,0,664,8,160,16,10059,,5,0,,0,10
5902,,59,,,5901,,false,true,false,0,20,-1,0.05,"",0,0,3870,450,2223,530,903,250,680,100,60,200,150,200,150,160,,0,264,8,160,16,10059,,5,0,,0,10
6001,,60,,,6001,,false,true,false,0,20,-1,0.05,"",0,0,2200,760,3240,1720,3010,1720,870,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
6002,,60,,,6001,,false,true,false,0,20,-1,0.05,"",0,0,2200,760,1240,720,1010,720,870,60,100,260,90,260,90,200,,0,0,0,0,0,0,,0,0,,0,0
6101,,61,,,6101,,false,true,false,0,20,-1,0.05,"",0,0,560,580,696,50,846,150,570,100,60,250,150,250,150,160,,0,564,8,160,16,10061,,5,0,,0,10
6102,,61,,,6102,,false,true,false,0,20,-1,0.05,"",0,0,5690,580,2344,1310,3294,2410,1570,80,80,50,80,50,80,160,,31,264,8,160,16,10061,,30,0,,0,0
6801,,68,,,6801,,false,true,false,0,20,-1,0.05,"",0,0,660,480,390,180,410,210,430,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
6901,,69,,,6902,,false,true,true,0,20,-1,0.05,"",0,0,1330,860,1026,1898,160,643,800,80,100,280,150,260,100,200,,0,664,10,320,32,0,,0,0,,0,5
6902,,69,,,6901,,false,true,false,0,20,-1,0.05,"",0,0,250,860,200,180,200,180,800,5,0,0,0,0,0,0,,12,5000,0,50000,0,91,,60,0,,0,5
7001,,70,,,7001,,false,true,false,0,20,-1,0.05,"",0,0,1400,400,200,264,140,184,238,80,60,320,150,320,135,160,,0,42,3,80,4,1171,,5,0,,0,15
7002,,70,,,7002,,false,true,false,0,1,-1,0.05,"",0,0,1200,400,460,560,400,560,350,40,60,130,60,130,60,130,,0,83,0,80,8,10070,,5,0,,0,0
7101,,71,,,7101,,false,true,false,0,20,-1,0.05,"",0,0,510,590,2904,840,1914,560,860,100,60,100,100,100,100,160,,0,664,8,160,16,1173,,5,10071,,5,10
7102,,71,,,7102,,false,true,false,0,20,-1,0.05,"",0,0,2610,590,3320,1460,2430,1380,860,50,80,210,50,210,50,160,,0,264,8,160,16,22114,,100,0,,0,0
7201,,72,,,7201,,false,true,false,0,20,-1,0.05,"",0,0,1320,260,520,260,260,210,280,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
7301,,73,,,7301,,false,true,false,0,20,-1,0.05,"",0,0,1150,890,738,548,1498,708,1010,90,60,190,130,190,130,160,,0,264,8,160,16,1174,,5,10073,,5,10
7401,,74,,,7401,,false,true,false,0,20,-1,0.05,"",0,0,2480,530,1090,320,720,420,1020,50,80,210,50,210,50,160,,0,264,8,160,16,0,,0,0,,0,10
7501,,75,,,7502,,false,true,false,0,20,2.004,0.05,"",0,0,6100,960,6984,2796,6564,2796,1720,150,100,0,100,0,100,100,,17,50000,24,6400,160,0,,0,0,,0,5
7502,,75,,,7502,,false,true,true,0,20,-1,0.05,"",0,0,5560,960,3140,1460,2680,1320,990,60,100,200,100,200,100,200,,0,664,10,320,32,0,,0,0,,0,5
7601,,76,,,7601,,false,true,false,0,20,-1,0.05,"",0,0,1640,780,890,400,1160,510,830,50,80,210,50,210,50,160,,0,264,8,160,16,0,,0,0,,0,10
7602,,76,,,7602,,false,true,false,0,20,-1,0.05,"",0,0,1640,780,890,400,1160,510,830,50,80,160,80,160,80,160,,0,264,8,160,16,0,,0,0,,0,10
7701,,77,,,7701,,false,true,false,0,20,1.5,0.05,"",0,0,770,570,490,400,610,420,460,40,60,170,40,170,40,130,,0,84,6,80,8,10077,,5,0,,0,0
7801,,78,,,7801,,false,true,false,0,20,-1,0.05,"",0,0,1320,340,520,220,250,190,350,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
7901,,79,,,7901,,false,true,false,0,20,-1,0.05,"",0,0,1640,890,2858,1100,2278,1100,680,80,80,100,50,100,50,160,,0,264,8,160,16,10079,,5,0,,0,10
8001,,80,,,8001,,false,true,false,0,20,-1,0.05,"",0,0,2430,720,1400,520,1240,580,1370,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
8002,,80,,,8001,,false,true,false,0,20,-1,0.05,"",0,0,2430,720,1400,520,1240,580,1370,60,100,200,100,200,100,200,,0,664,10,320,32,0,,0,0,,0,5
8101,,81,,,8101,,false,true,false,0,20,-1,0.1,"",0,0,140,320,130,70,180,110,100,50,60,300,95,300,95,130,,0,3,5,10,5,82,,25,0,,0,0
8102,,81,,,8101,,false,true,false,0,20,-1,0.1,"",0,0,210,320,152,63,162,103,97,50,60,300,100,300,100,130,,0,24,4,40,4,0,,0,0,,0,50
8103,,81,,,8101,,false,true,false,0,20,-1,0.1,"",0,0,350,320,170,70,180,110,120,30,50,120,20,120,20,100,,0,3,5,5,5,0,,0,0,,0,200
8201,,82,,,8201,,false,true,false,0,20,-1,0.05,"",0,0,1510,1000,660,230,1350,440,860,50,80,210,50,210,50,160,,0,264,8,160,16,0,,0,0,,0,10
8301,,83,,,8301,,false,true,false,0,20,-1,0.05,"",0,0,1980,930,1130,410,1270,540,1140,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
8401,,84,,,8401,,false,true,false,0,20,-1,0.05,"",0,0,5290,780,3709,1764,3929,1654,1010,60,100,100,90,100,90,160,,29,264,8,160,16,10084,,30,0,,0,0
8501,,85,,,8501,,false,true,false,0,20,-1,0.05,"",0,0,560,590,2093,310,2213,470,820,90,60,180,150,180,150,160,,0,464,8,264,16,10085,,5,0,,0,10
8502,,85,,,8501,,false,true,true,0,20,-1,0.05,"",0,0,2200,590,970,520,1290,680,620,50,80,210,50,210,50,160,,0,264,8,160,16,0,,0,0,,0,10
8601,,86,,,8601,,false,true,false,0,20,-1,0.05,"",0,0,5050,930,3010,1680,3400,1750,2190,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
8701,,87,,,8701,,false,true,false,0,20,-1,0.05,"",0,0,490,390,184,356,294,406,290,75,60,230,130,230,130,130,,0,84,6,80,8,10087,,5,0,,0,15
8702,,87,,,8702,,false,true,false,0,20,-1,0.05,"",0,0,1000,390,460,180,570,250,290,120,60,130,60,130,60,130,,0,84,6,80,8,0,,0,0,,0,15
8801,,88,,,8801,,false,true,false,0,20,-1,0.05,"",0,0,3450,790,1860,860,1510,750,1120,60,100,260,90,260,90,200,,0,1364,12,350,35,0,,0,0,,0,5
9001,,90,,,9001,,false,true,false,0,20,-1,0.1,"",0,0,1500,220,2500,1130,2140,100,1280,30,50,120,20,120,20,100,,0,24,4,40,4,10090,,5,0,,0,20
9002,,90,,,9002,,false,false,true,0,20,-1,0.1,"",0,0,1900,220,616,288,28,158,226,130,60,400,200,400,200,160,,0,24,4,40,4,0,,0,0,,0,0
9101,,91,,,9101,,false,true,false,0,20,-1,0.05,"",0,0,1210,340,520,120,290,140,430,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
9201,,92,,,9201,,false,true,false,0,20,-1,0.05,"",0,0,970,540,500,440,950,550,470,40,60,170,40,170,40,130,,0,84,6,80,8,22138,,100,0,,0,0
9202,,92,,,9201,,false,true,false,0,20,-1,0.05,"",0,0,380,390,196,312,196,386,290,60,60,260,120,280,130,130,,0,84,6,80,8,10092,,5,0,,0,15
9301,,93,,,9301,,false,true,false,0,20,-1,0.05,"",0,0,50,720,550,60,1440,190,620,95,60,210,150,210,150,160,,0,84,6,80,8,10093,,5,0,,0,15
9302,,93,,,9301,,false,true,true,0,20,-1,0.05,"",0,0,1110,390,490,160,550,240,280,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
9303,,93,,,9301,,false,true,false,0,20,-1,0.05,"",0,0,1110,390,490,160,550,240,280,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
9401,,94,,,9401,,false,true,false,0,20,-1,0.05,"",0,0,3800,760,1570,450,640,430,990,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
9501,,95,,,9501,,false,true,false,0,20,-1,0.05,"",0,0,2630,760,1350,480,980,500,1190,60,100,260,90,260,90,200,,0,664,10,320,32,0,,0,0,,0,5
9601,,96,,,9601,,false,true,false,0,20,-1,0.1,"",0,0,800,360,210,110,390,160,240,30,50,120,20,120,20,100,,0,4,1,10,1,0,,0,0,,0,20
9701,,97,,,9701,,false,true,false,0,20,-1,0.1,"",0,0,740,300,360,130,240,120,300,40,50,130,30,130,30,100,,0,12,2,20,2,0,,0,0,,0,20
9702,,97,,,9701,,false,true,false,0,20,-1,0.1,"",0,0,40,300,620,330,560,320,680,70,60,200,130,200,130,130,,0,120,8,40,8,10097,,5,0,,0,20
9801,,98,,,9801,,false,true,false,0,20,-1,0.05,"",0,0,3460,560,3630,2550,3240,2550,750,60,100,260,90,260,90,200,,0,664,10,320,32,10098,,5,0,,0,5
10001,,100,,,10001,,false,true,false,0,20,-1,0.05,"",0,0,4740,200,696,339,89,399,300,80,60,330,130,260,130,130,,0,84,6,80,8,0,,0,0,,0,15
10002,,100,,,10002,,false,true,false,0,20,-1,0.05,"",0,0,5500,200,1000,510,260,570,300,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
10003,,100,,,10003,,false,false,true,0,20,-1,0,"",0,0,7720,200,4063,1594,3223,1424,1520,100,100,40,100,40,100,130,,0,400,0,80,8,0,,0,0,,0,0
10101,,101,,,10101,,false,true,false,0,20,-1,0.05,"",0,0,1710,720,550,240,1540,470,620,100,60,210,150,210,150,160,,0,264,8,160,16,10101,,5,0,,0,10
10102,,101,,,10102,,false,true,false,0,20,-1,0.05,"",0,0,4720,720,3876,1676,5116,1906,1420,60,100,0,90,0,90,160,,19,264,8,160,16,10101,,30,0,,0,0
10201,,102,,,10201,,false,true,false,0,20,-1,0.05,"",0,0,1230,300,440,190,320,200,360,40,60,170,40,170,40,130,,0,84,6,80,8,0,,0,0,,0,15
10301,,103,,,10301,,false,false,false,0,20,-1,0.1,"",0,0,840,220,360,160,130,80,172,60,60,300,120,260,120,130,,0,24,6,40,4,10103,,5,0,,0,20
10302,,103,,,10302,,false,true,false,0,20,-1,0.1,"",0,0,880,220,950,660,800,750,800,30,50,120,20,120,20,100,,0,24,6,40,4,10103,,5,0,,0,0
10401,,104,,,10401,,false,true,true,0,20,1.9,0.05,"",0,0,3720,1040,1590,820,1500,740,1170,60,100,260,90,260,90,200,,0,1364,12,350,35,0,,0,0,,0,5
10402,,104,,,10402,,false,true,false,0,20,-1,0.05,"",0,0,3720,1040,4590,2820,4500,2740,2170,60,100,260,90,260,90,200,,0,1364,12,350,35,22102,,100,0,,0,0
10403,,104,,,10403,,false,true,false,0,20,1.9,0.05,"",0,0,5370,1040,6384,2061,6294,1981,2653,210,100,0,200,0,200,130,,12,1364,12,350,35,10104,,30,0,,0,0
10501,,105,,,10501,,false,true,false,0,20,-1,0.05,"",0,0,3180,1030,1790,650,1680,650,1290,60,100,260,90,260,90,200,,0,1364,12,350,35,0,,0,0,,0,5
10601,,106,,,10601,,false,true,false,0,20,-1,0.05,"",0,0,4180,1000,4350,2610,3750,2630,1350,60,100,260,90,260,90,200,,0,1364,12,350,35,0,,0,0,,0,5
10602,,106,,,10602,,false,true,false,0,20,-1,0.05,"",0,0,4180,1000,3350,1610,2750,1630,1350,60,100,260,90,260,90,200,,0,1364,12,350,35,22103,,100,0,,0,0
10701,,107,,,10701,,false,true,false,0,20,-1,0.05,"",0,0,1600,860,690,350,1370,510,860,50,80,210,50,210,50,160,,0,264,8,160,16,10107,,5,0,,0,10
10702,,107,,,10701,,false,true,true,0,20,-1,0.05,"",0,0,1600,860,690,350,1370,510,860,50,80,210,50,210,50,160,,0,264,8,160,16,0,,0,0,,0,10
10703,,107,,,10701,,false,true,false,0,20,-1,0.05,"",0,0,1600,860,690,350,1370,510,860,50,80,210,50,210,50,160,,0,264,8,160,16,764,,100,0,,0,10
