int 0,int 1,int 2,empty 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,empty 13,int 14,int 15,int 16,int 17,int 18,empty 19,int 20,int 21,int 22,int 23,int 24,empty 25,int 26,int 27,int 28,int 29,int 30,empty 31,int 32,int 33,int 34,int 35,int 36,empty 37,int 38,int 39,int 40,int 41,int 42,empty 43,int 44,int 45,int 46,int 47,int 48,empty 49,int 50,int 51,int 52,int 53,int 54,empty 55,int 56,int 57,int 58,int 59,int 60,empty 61,int 62,int 63,int 64,int 65,int 66,empty 67,int 68,int 69,int 70,int 71
120200,1202,0,"",-1,0,0,0,0,0,0,0,20121,"",30,0,0,0,30121,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",50,0,0,0
130100,1301,0,"",-1,0,0,0,0,0,0,0,20131,"",10,0,0,1,30301,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
130200,1302,0,"",-1,0,0,0,0,0,0,0,20131,"",20,0,0,1,30303,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
140100,1401,0,"",-1,0,0,0,0,0,0,0,20141,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
150100,1501,0,"",-1,0,0,0,0,0,0,0,20151,"",20,0,0,0,30312,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
160100,1601,0,"",-1,0,0,0,0,0,0,0,20161,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
170100,1701,0,"",-1,0,0,0,0,0,0,0,20171,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
170200,1702,0,"",-1,0,0,0,0,0,0,0,30163,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",40,0,0,0
170201,1702,1,"",-1,10,0,20,0,3,0,0,20171,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",0,0,0,0
190100,1901,0,"",-1,0,0,0,0,0,0,0,20191,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
200100,2001,0,"",-1,0,0,0,0,0,0,0,20201,"",30,0,0,0,30161,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",30,0,0,0
200200,2002,0,"",-1,0,0,0,0,0,0,0,20201,"",30,0,0,0,30163,"",20,0,0,0,30186,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",30,0,0,0
210100,2101,0,"",-1,0,0,0,0,0,0,0,20211,"",20,0,0,0,30123,"",20,0,0,0,30053,"",30,0,0,0,33041,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
230100,2301,0,"",-1,0,0,0,0,0,0,0,20231,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
240100,2401,0,"",-1,0,0,0,0,0,0,0,20241,"",10,0,0,0,30123,"",40,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
250100,2501,0,"",-1,0,0,0,0,0,0,0,20251,"",20,0,0,0,30133,"",30,0,0,0,30156,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
260100,2601,0,"",-1,0,0,0,0,0,0,0,20261,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
270100,2701,0,"",-1,0,0,0,0,0,0,0,20271,"",50,0,0,0,20272,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
280100,2801,0,"",-1,0,0,0,0,0,0,0,40001,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",0,0,0,0
280101,2801,1,"",-1,10,0,15,0,108,0,0,20281,"",30,0,0,0,30222,"",20,0,0,0,30335,"",20,0,0,0,34061,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",30,0,0,0
280102,2801,2,"",-1,20,0,15,0,88,0,0,20281,"",30,0,0,0,30222,"",20,0,0,0,30335,"",20,0,0,0,34061,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",30,0,0,0
300100,3001,0,"",-1,0,0,0,0,0,0,0,20301,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
310100,3101,0,"",-1,0,0,0,0,0,0,0,20311,"",20,0,0,0,33011,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
310101,3101,1,"",-1,10,0,13,0,0,1,0,40002,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",0,0,0,0
310102,3101,2,"",-1,20,0,15,0,108,0,0,20311,"",30,0,0,0,32061,"",20,0,0,0,30303,"",30,0,0,0,33011,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
310200,3102,0,"",-1,0,0,0,0,0,0,0,20311,"",10,0,0,0,40001,"",50,0,0,0,30302,"",10,0,0,0,33011,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",10,0,0,0
310201,3102,1,"",-1,10,0,15,0,108,0,0,20311,"",30,0,0,0,32061,"",20,0,0,0,30302,"",30,0,0,0,33011,"",20,0,0,0,30292,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
310300,3103,0,"",-1,0,0,0,0,0,0,0,20311,"",20,0,0,0,33011,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
310301,3103,1,"",-1,10,0,13,0,0,1,0,40002,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",0,0,0,0
310302,3103,2,"",-1,20,0,15,0,108,0,0,20311,"",30,0,0,0,32061,"",20,0,0,0,30303,"",30,0,0,0,33011,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
320100,3201,0,"",-1,0,0,0,0,0,0,0,20321,"",50,0,0,0,20322,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
330100,3301,0,"",-1,0,0,0,0,0,0,0,20331,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
340100,3401,0,"",-1,0,0,0,0,0,0,0,20341,"",15,0,0,0,32091,"",20,0,0,0,30293,"",20,0,0,0,32201,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
340101,3401,1,"",-1,10,0,13,0,0,1,0,40001,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",0,0,0,0
340102,3401,2,"",-1,20,0,15,0,108,0,0,20341,"",15,0,0,0,34031,"",20,0,0,0,30293,"",20,0,0,0,30303,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
340103,3401,3,"",-1,30,0,15,0,102,0,0,20341,"",15,0,0,0,34031,"",0,0,0,0,30293,"",20,0,0,0,30303,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
350100,3501,0,"",-1,0,0,0,0,0,0,0,20351,"",30,0,0,0,20352,"",20,0,0,0,30013,"",30,0,0,0,30306,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
360100,3601,0,"",-1,0,0,0,0,0,0,0,20361,"",30,0,0,0,20362,"",20,0,0,0,30303,"",20,0,0,0,32201,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",30,0,0,0
370100,3701,0,"",-1,0,0,0,0,0,0,0,20371,"",20,0,0,0,20372,"",20,0,0,0,30103,"",20,0,0,0,30063,"",10,0,0,0,30126,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
380100,3801,0,"",-1,0,0,0,0,0,0,0,20381,"",30,0,0,0,30293,"",30,0,0,0,32091,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
380101,3801,1,"",-1,0,0,13,0,0,1,0,40001,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",0,0,0,0
380102,3801,2,"",-1,0,0,15,0,108,0,0,20381,"",30,0,0,0,30293,"",30,0,0,0,30303,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
390100,3901,0,"",-1,0,0,0,0,0,0,0,20391,"",50,0,0,0,20392,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
400100,4001,0,"",-1,0,0,0,0,0,0,0,20401,"",10,0,0,0,20402,"",20,0,0,0,30013,"",20,0,0,0,30313,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",30,0,0,0
410100,4101,0,"",-1,0,0,0,0,0,0,0,20411,"",20,0,0,0,30313,"",30,0,0,0,30183,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
420100,4201,0,"",-1,0,0,0,0,0,0,0,20421,"",20,0,0,0,30072,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
420200,4202,0,"",-1,0,0,0,0,0,0,0,20421,"",20,0,0,0,30073,"",20,0,0,0,32081,"",20,0,0,0,33011,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
430100,4301,0,"",-1,0,0,0,0,0,0,0,20431,"",20,0,0,0,32111,"",5,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
430200,4302,0,"",-1,0,0,0,0,0,0,0,20431,"",20,0,0,0,32111,"",5,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
430201,4302,1,"",-1,10,0,16,0,29,0,0,20431,"",20,0,0,0,32111,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
440100,4401,0,"",-1,0,0,0,0,0,0,0,20441,"",50,0,0,0,20442,"",10,0,0,0,30223,"",20,0,0,0,30336,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
450100,4501,0,"",-1,0,0,0,0,0,0,0,20451,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
460100,4601,0,"",-1,0,0,0,0,0,0,0,20461,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
470100,4701,0,"",-1,0,0,0,0,0,0,0,20471,"",30,0,0,0,20472,"",10,0,0,0,30013,"",20,0,0,0,30223,"",20,0,0,0,30336,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
470200,4702,0,"",-1,0,0,0,0,0,0,0,20473,"",5,0,0,0,20472,"",30,0,0,0,30013,"",20,0,0,0,30223,"",20,0,0,0,30336,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
470201,4702,1,"",-1,10,0,13,0,0,1,0,20473,"",30,0,0,0,20472,"",5,0,0,0,30013,"",5,0,0,0,30223,"",5,0,0,0,30336,"",5,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
480100,4801,0,"",-1,0,0,0,0,0,0,0,20481,"",10,0,0,0,30193,"",30,0,0,0,30216,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
480101,4801,1,"",-1,10,0,1,0,0,20,0,20481,"",30,0,0,0,30193,"",10,0,0,0,30216,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
490100,4901,0,"",-1,0,0,0,0,0,0,0,20491,"",10,0,0,0,20492,"",10,0,0,0,34021,"",10,0,0,0,30163,"",30,0,0,0,32111,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
490101,4901,1,"",-1,10,0,15,0,101,0,0,20491,"",20,0,0,0,20492,"",20,0,0,0,34021,"",0,0,0,0,30163,"",10,0,0,0,32111,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",0,0,0,0
500100,5001,0,"",-1,0,0,0,0,0,0,0,20501,"",30,0,0,0,30313,"",30,0,0,0,30036,"",20,0,0,0,33031,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",30,0,0,0
510100,5101,0,"",-1,0,0,0,0,0,0,0,20511,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
520100,5201,0,"",-1,0,0,0,0,0,0,0,20521,"",40,0,0,0,30311,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",50,0,0,0
520200,5202,0,"",-1,0,0,0,0,0,0,0,20521,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",50,0,0,0
530100,5301,0,"",-1,0,0,0,0,0,0,0,20531,"",40,0,0,0,30271,"",40,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",50,0,0,0
540100,5401,0,"",-1,0,0,0,0,0,0,0,20541,"",30,0,0,0,30162,"",30,0,0,0,32011,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
550100,5501,0,"",-1,0,0,0,0,0,0,0,20551,"",50,0,0,0,30191,"",20,0,0,0,32051,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
550200,5502,0,"",-1,0,0,0,0,0,0,0,20551,"",20,0,0,0,30191,"",20,0,0,0,32051,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",50,0,0,0
550201,5502,1,"",-1,0,1,1,0,0,60,0,20551,"",30,0,0,0,0,"",0,0,0,0,0,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",50,0,0,0
560100,5601,0,"",-1,0,0,0,0,0,0,0,20561,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
570100,5701,0,"",-1,0,0,0,0,0,0,0,20571,"",20,0,0,0,20572,"",20,0,0,0,30073,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
570101,5701,1,"",-1,10,0,1,0,0,70,0,40001,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",0,0,0,0
570102,5701,2,"",-1,20,0,15,0,108,0,0,20571,"",20,0,0,0,20572,"",20,0,0,0,30073,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
580100,5801,0,"",-1,0,0,0,0,0,0,0,20581,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
590100,5901,0,"",-1,0,0,0,0,0,0,0,20591,"",80,0,0,0,30223,"",30,0,0,0,30013,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",30,0,0,0
590101,5901,1,"",-1,10,0,17,0,36,0,0,20591,"",0,0,0,0,30223,"",10,0,0,0,30013,"",10,0,0,0,30033,"",30,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",20,0,0,0
600100,6001,0,"",-1,0,0,0,0,0,0,0,20601,"",50,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,10011,"",5,0,0,0
