int32 0,bool 1,bool 2,bool 3,bool 4,bool 5,bool 6,bool 7,bool 8,bool 9,bool 10,bool 11,bool 12,bool 13,bool 14,bool 15,bool 16,bool 17,bool 18,bool 19,bool 20,bool 21,bool 22,string2 23
31,true,false,false,false,false,true,true,true,false,false,true,false,false,true,true,false,true,false,false,true,false,true,"camera_big_boss01"
32,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,true,true,""
33,true,false,false,false,false,false,true,true,false,false,false,false,false,true,true,false,true,false,false,true,true,true,"camera_big_Cherry"
34,true,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,""
35,true,false,false,false,false,false,true,true,false,false,false,true,true,true,false,false,true,false,false,false,true,true,""
36,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,true,true,"camera_aegiomon"
37,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,true,false,"camera_aegiomon"
38,true,true,true,false,false,true,true,true,false,false,false,true,true,true,true,false,true,false,false,true,false,false,"camera_big_robot"
39,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,""
40,true,false,false,false,false,true,true,true,false,false,false,false,false,true,true,false,true,false,false,true,true,true,"camera_big_Vamde"
41,true,false,false,false,false,true,true,true,false,false,false,true,true,true,false,false,true,false,false,false,true,false,"camera_aegiomon"
42,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,"camera_first"
43,true,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false,true,false,false,true,true,true,"camera_big_Parrot"
44,true,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,true,true,true,""
45,true,false,false,false,false,false,false,true,false,true,false,false,false,true,true,false,true,false,false,true,true,true,"camera_big_boss00"
46,true,false,false,false,false,true,true,true,false,false,false,true,true,true,false,false,true,false,false,false,true,true,""
47,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,true,true,""
48,true,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,true,true,true,"camera_big_boss06"
49,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,true,true,true,""
50,true,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,true,false,false,false,true,true,""
52,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,true,true,""
53,true,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,true,true,true,"camera_big_boss08"
54,true,false,false,false,false,false,false,true,false,true,true,false,false,true,false,false,true,false,false,false,true,true,"camera_big_boss01"
