string3 0,empty 1,empty 2,empty 3,empty 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,int32 11,int32 12,int32 13,int32 14,int32 15,int32 16,int32 17,int32 18,int32 19,int32 20,int32 21,int32 22,int32 23,int32 24,int32 25,int32 26,int32 27,int32 28,int32 29,int32 30,int32 31,int32 32,int32 33,int32 34,int32 35,int32 36,int32 37,int32 38,int32 39,int32 40,int32 41,int32 42,int32 43,int32 44,int32 45,int32 46,int32 47,int32 48,int32 49,int32 50,int32 51,int32 52,int32 53,int32 54,int32 55,int32 56,int32 57,int32 58,int32 59,int32 60,int32 61,int32 62,int32 63,int32 64,int32 65,int32 66,int32 67,int32 68,int32 69,int32 70,int32 71,int32 72,int32 73,int32 74,int32 75,int32 76,int32 77,int32 78,int32 79,int32 80,int32 81,int32 82,int32 83,int32 84,int32 85,int32 86,int32 87,int32 88,int32 89,int32 90,int32 91,int32 92,int32 93,int32 94,int32 95,int32 96,int32 97,int32 98,int32 99,int32 100,int32 101,int32 102,int32 103,int32 104,int32 105,int32 106,int32 107
"CB_After_D_RW",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,4,44,78,92,147,148,231,241,588,716,730,756,14,26,49,195,311,373,403,613,737,758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_E_RW",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,11,33,47,48,100,102,127,191,220,225,301,321,325,363,408,422,438,515,567,580,590,631,699,719,754,14,26,49,195,311,373,403,613,737,758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_F_RW",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,315,338,364,407,421,461,575,579,741,744,14,26,49,195,311,373,403,613,737,758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_D_CA",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,4,44,78,92,147,148,231,241,588,716,730,756,13,17,85,93,149,194,228,404,584,617,753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_E_CA",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,11,33,47,48,100,102,127,191,220,225,301,321,325,363,408,422,438,515,567,580,590,631,699,719,754,13,17,85,93,149,194,228,404,584,617,753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_F_CA",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,315,338,364,407,421,461,575,579,741,744,13,17,85,93,149,194,228,404,584,617,753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_D_CB",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,4,44,78,92,147,148,231,241,588,716,730,756,101,140,192,213,226,397,614,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_E_CB",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,11,33,47,48,100,102,127,191,220,225,301,321,325,363,408,422,438,515,567,580,590,631,699,719,754,101,140,192,213,226,397,614,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_F_CB",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,315,338,364,407,421,461,575,579,741,744,101,140,192,213,226,397,614,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_D_FA",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,4,44,78,92,147,148,231,241,588,716,730,756,177,341,365,406,451,479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_E_FA",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,11,33,47,48,100,102,127,191,220,225,301,321,325,363,408,422,438,515,567,580,590,631,699,719,754,177,341,365,406,451,479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_F_FA",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,315,338,364,407,421,461,575,579,741,744,177,341,365,406,451,479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_D_SE",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,4,44,78,92,147,148,231,241,588,716,730,756,37,75,129,172,196,427,450,605,733,907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_E_SE",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,11,33,47,48,100,102,127,191,220,225,301,321,325,363,408,422,438,515,567,580,590,631,699,719,754,37,75,129,172,196,427,450,605,733,907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_F_SE",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,315,338,364,407,421,461,575,579,741,744,37,75,129,172,196,427,450,605,733,907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_D_FO",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,4,44,78,92,147,148,231,241,588,716,730,756,23,57,71,128,176,179,189,232,306,310,328,359,378,379,423,428,703,732,734,740,742,751,767,773,778,779,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_E_FO",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,11,33,47,48,100,102,127,191,220,225,301,321,325,363,408,422,438,515,567,580,590,631,699,719,754,23,57,71,128,176,179,189,232,306,310,328,359,378,379,423,428,703,732,734,740,742,751,767,773,778,779,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_F_FO",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,315,338,364,407,421,461,575,579,741,744,23,57,71,128,176,179,189,232,306,310,328,359,378,379,423,428,703,732,734,740,742,751,767,773,778,779,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_D_PL",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,4,44,78,92,147,148,231,241,588,716,730,756,6,30,31,32,34,36,106,107,134,211,214,222,223,224,233,440,600,601,602,627,632,743,748,771,772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_E_PL",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,11,33,47,48,100,102,127,191,220,225,301,321,325,363,408,422,438,515,567,580,590,631,699,719,754,6,30,31,32,34,36,106,107,134,211,214,222,223,224,233,440,600,601,602,627,632,743,748,771,772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_After_F_PL",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,315,338,364,407,421,461,575,579,741,744,6,30,31,32,34,36,106,107,134,211,214,222,223,224,233,440,600,601,602,627,632,743,748,771,772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Agumon",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,3,87,96,138,227,242,316,320,369,377,387,396,437,548,722,43,61,70,81,111,302,307,313,380,389,458,630,698,708,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Gabumon",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,16,19,68,112,136,197,209,218,235,312,317,322,388,400,405,424,453,466,512,514,616,629,683,731,755,43,61,70,81,111,302,307,313,380,389,458,630,698,708,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Craniamon",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,16,19,68,112,136,197,209,218,235,312,317,322,388,400,405,424,453,466,512,514,616,629,683,731,755,43,61,70,81,111,302,307,313,380,389,458,630,698,708,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Enbarrmon",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,16,19,68,112,136,197,209,218,235,312,317,322,388,400,405,424,453,466,512,514,616,629,683,731,755,43,61,70,81,111,302,307,313,380,389,458,630,698,708,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Dukemon",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,16,19,68,112,136,197,209,218,235,312,317,322,388,400,405,424,453,466,512,514,616,629,683,731,755,43,61,70,81,111,302,307,313,380,389,458,630,698,708,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Tutorial",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,3,87,96,138,227,242,316,320,369,377,387,396,437,548,722,43,61,70,81,111,302,307,313,380,389,458,630,698,708,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_CardKing",,,,,739,718,403,72,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_True_CardKing",,,,,127,378,753,411,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
"CB_Hiroko",,,,,5,28,53,55,59,74,97,144,190,208,370,372,391,414,457,569,595,598,621,626,682,707,759,770,54,115,116,150,361,394,425,510,43,61,70,81,111,302,307,313,380,389,458,630,698,708,729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
