int32 0,int32 1,string 2,string2 3,string2 4,int32 5,empty 6
72,0,"","","",0,
73,0,"","","",0,
74,3,"Additional Japanese Voice Talent","","",0,
75,0,"","","",0,
76,5,"Kenji Nomura","","",0,
77,5,"Tatsumaru Tachibana","","",0,
78,5,"Masaya Takatsuka","","",0,
79,5,"Ryoko Shiraishi","","",0,
80,5,"Hisafumi Oda","","",0,
81,5,"Aya Yamane","","",0,
82,5,"Toru Sakurai","","",0,
83,5,"Volcano Ota","","",0,
84,5,"Aino Shimada","","",0,
85,5,"Hiromu Miyazaki","","",0,
86,5,"Yu Kobayashi","","",0,
87,5,"Takeshi Hirabayashi","","",0,
88,5,"Yasuhiro Kikuchi","","",0,
89,5,"Asami Takano","","",0,
90,5,"Takahiro Fujiwara","","",0,
91,5,"Mitsuaki Kanuka","","",0,
92,5,"Yasuhiro Mamiya","","",0,
93,5,"Shunzo Miyasaka","","",0,
94,5,"Yukiko Motoyoshi","","",0,
95,5,"Taiki Yamashita","","",0,
96,5,"Tomo Muranaka","","",0,
97,5,"Satoshi Akimoto","","",0,
98,5,"Teruyuki Tanzawa","","",0,
99,5,"Yuga Sato","","",0,
100,5,"Sho Fujisawa","","",0,
101,5,"Yurika Moriyama","","",0,
102,5,"Naomi Ozora","","",0,
103,5,"Ayumu Kotomiya","","",0,
104,5,"Takayuki Ishii","","",0,
105,5,"Shunsuke Kanie","","",0,
106,5,"Ryohei Arai","","",0,
107,5,"Yu Haruichi","","",0,
108,5,"Kentaro Tone","","",0,
109,5,"Kazuki Yoshida","","",0,
110,5,"Kenichirou Matsuda","","",0,
111,5,"Koji Fujiyoshi","","",0,
112,5,"Yasunori Masutani","","",0,
113,5,"Yuki Tamai","","",0,
114,5,"Hinako Takahashi","","",0,
115,5,"Eriko Kadokura","","",0,
116,5,"Kanon Amane","","",0,
117,5,"Miyu Kobashi","","",0,
118,5,"Momoka Odaira","","",0,
119,5,"Arisa Sekine","","",0,
120,5,"Sakura Kawaguchi","","",0,
121,5,"Moena Ashida","","",0,
122,0,"","","",0,
123,0,"","","",0,
124,3,"English Voice Talent","","",0,
125,0,"","","",0,
126,4,"Griffin Burns","Dan Yuki","",0,
127,4,"Amber Lee Connors","Kanan Yuki","",0,
128,0,"","","",0,
129,4,"Allegra Clark","Inori Misono","",0,
130,4,"Cristina Vee Valenzuela","Aegiomon","",0,
131,0,"","","",0,
132,4,"Alexis Tipton","Mirei Mikagura","",0,
133,0,"","","",0,
134,4,"Tara Sands","Hiroko Sagisaka","",0,
135,4,"Joe Zieja","Kosuke Misono","",0,
136,4,"Katiana Sarkissian","Asuna Shiroki","",0,
137,4,"Brad Davidorf","Kodai Kuremi ","",0,
138,4,"Gavin Hammon","Shota Kuroi ","",0,
139,4,"Erica Mendez","Kyoko Kuremi","",0,
140,0,"","","",0,
141,4,"Dorothy Fahn","Minervamon ","",0,
142,4,"Bryce Papenbrook","Apollomon ","",0,
143,4,"Suzie Yeung","Dianamon ","",0,
144,4,"Eddy De los Reyes","Marsmon ","",0,
145,4,"Richard Epcar","Merukimon ","",0,
146,4,"Nadia Marshall","Junomon ","",0,
147,4,"Brittany Lauda","Venusmon ","",0,
148,4,"JB","Neptunemon ","",0,
149,4,"Kyle Hebert","Bacchusmon ","",0,
150,4,"Sara Secora","Ceresmon","",0,
151,4,"Chris Hackney","Plutomon ","",0,
152,0,"","","",0,
153,4,"Bill Butts","Chronomon ","",0,
154,4,"Kamran Nikhad","Titamon ","",0,
155,4,"Wally Wingert","Birdramon","",0,
156,4,"Dorothy Fahn","BeelStarmon","",0,
157,4,"Bryan Green","Callismon ","",0,
158,4,"Molly Zhang","Lanamon","",0,
159,4,"Javier Prusky","Sharkmon","",0,
160,4,"Bill Butts","Ogremon ","",0,
161,4,"Ed Bosco","Hyogamon ","",0,
162,0,"","","",0,
163,4,"Asante Mango","Homeros","",0,
164,4,"Marissa Lenti","King Drasil ","",0,
165,4,"Joshua Galvan Evans","Kunlun","",0,
166,0,"","","",0,
167,4,"Kyle Hebert / Chris Hackney","Omnimon","",0,
168,4,"Erica Mendez","Alphamon","",0,
169,0,"","","",0,
170,0,"","","",0,
171,3,"Additional English Voice Talent","","",0,
172,0,"","","",0,
173,5,"Alejandro Saab","","",0,
174,5,"Asante Mango","","",0,
175,5,"Bill Butts","","",0,
176,5,"Brian Beacock","","",0,
177,5,"Carrie Keranen","","",0,
178,5,"Cedric Williams","","",0,
179,5,"Chris Hackney","","",0,
180,5,"Cristina Vee Valenzuela","","",0,
181,5,"Dave B Mitchell","","",0,
182,5,"Dawn M. Bennett","","",0,
183,5,"Dorothy Fahn","","",0,
184,5,"Edward Bosco","","",0,
185,5,"Erin Yvette","","",0,
186,5,"Griffin Burns","","",0,
187,5,"Javier Prusky","","",0,
188,5,"Jennifer Sun Bell","","",0,
189,5,"Kate Higgins","","",0,
190,5,"Keith Silverstein","","",0,
191,5,"Kyle Hebert","","",0,
192,5,"Lex Lang","","",0,
193,5,"Lindsey Alena","","",0,
194,5,"Marissa Lenti","","",0,
195,5,"Patrick Cowell","","",0,
196,5,"Steve Prince","","",0,
197,5,"Steve Staley","","",0,
198,5,"Tara Sands","","",0,
199,5,"Xander Mobus","","",0,
200,0,"","","",0,
201,0,"","","",0,
202,0,"","","",0,
203,1,"Development Team","","",0,
204,0,"","","",0,
205,3,"Character Design","","",0,
206,0,"","","",0,
207,3,"Main Character Design","","",0,
208,5,"Suzuhito Yasuda","","",0,
209,0,"","","",0,
210,3,"Boss Character Design","","",0,
211,5,"Oh!Great","","",0,
212,0,"","","",0,
213,0,"","","",0,
214,0,"","","",0,
215,1,"Game Development","","",0,
216,0,"","","",0,
217,2,"Media.Vision Inc.","","",0,
218,0,"","","",0,
219,0,"","","",0,
220,3,"2nd Phase","","",0,
221,0,"","","",0,
222,3,"Assistant Director","","",0,
223,5,"Kazuya Shibata","","",0,
224,0,"","","",0,
225,3,"Art Directors","","",0,
226,5,"Akira Ono","","",0,
227,5,"Shinichiro Shimamura","","",0,
228,0,"","","",0,
229,0,"","","",0,
230,3,"Game Design","","",0,
231,0,"","","",0,
232,3,"Field Planners","","",0,
233,5,"Hiroki Kodaira","","",0,
234,5,"Tomoaki Isono","","",0,
235,5,"Atsuki Kanno","","",0,
236,5,"Arashi Matsuoka","","",0,
237,0,"","","",0,
238,3,"Battle Planners","","",0,
239,5,"Natsuki Okawachi","","",0,
240,5,"Atsuki Kanno","","",0,
241,5,"Takumi Kamiguchi","","",0,
242,5,"Kazumasa Aoki","","",0,
243,0,"","","",0,
244,3,"Event Planner","","",0,
245,5,"Hideo Ichikawa","","",0,
246,0,"","","",0,
247,3,"Interface Planner","","",0,
248,5,"Seika Nakatsuji","","",0,
249,0,"","","",0,
250,3,"Planning Support","","",0,
251,5,"Tomoki Inoue","","",0,
252,5,"Shuhei Oka","","",0,
253,5,"Tomonori Sakai","","",0,
254,0,"","","",0,
255,0,"","","",0,
256,3,"Program","","",0,
257,0,"","","",0,
258,3,"Lead Programmers","","",0,
259,5,"Masafumi Kishi","","",0,
260,5,"Okinori Yasuta","","",0,
261,0,"","","",0,
262,3,"Field Programmer","","",0,
263,5,"Takahiro Katayama","","",0,
264,0,"","","",0,
265,3,"Battle Programmers","","",0,
266,5,"Shotaro Kodani","","",0,
267,5,"Daiki Suzuki","","",0,
268,5,"Katsunori Suzuki","","",0,
269,0,"","","",0,
270,3,"Interface Programmers","","",0,
271,5,"Masafumi Kishi","","",0,
272,5,"Mitsugu Hara","","",0,
273,0,"","","",0,
274,3,"Event Programmers","","",0,
275,5,"Chinhyon Yano","","",0,
276,5,"Shingo Goto","","",0,
277,0,"","","",0,
278,3,"Engine Programmers","","",0,
279,5,"Tetsuya Hatanaka","","",0,
280,5,"Michishito Ishizuka","","",0,
281,5,"Junichi Ishiba","","",0,
282,5,"Kaisei Tojo","","",0,
283,5,"Stepanushkin Dmitry","","",0,
284,5,"Takahiro Kusumoto","","",0,
285,5,"Keiji Sakaguchi","","",0,
286,5,"Juanyan Luo","","",0,
287,0,"","","",0,
288,3,"Technical Support","","",0,
289,5,"Tomoyuki Takahashi","","",0,
290,5,"Junichi Ishiba","","",0,
291,5,"TaKao Suzuki","","",0,
292,5,"Atsushi Yamashita","","",0,
293,5,"Yoshiki Chiba","","",0,
294,5,"Kazuki Kondo","","",0,
295,5,"Kaori Matsukura","","",0,
296,0,"","","",0,
297,0,"","","",0,
298,3,"Graphic Design","","",0,
299,0,"","","",0,
300,3,"Lead Digimon Modeling Designer","","",0,
301,5,"Kazusa Takebayashi","","",0,
302,0,"","","",0,
303,3,"Digimon Modeling Designers","","",0,
304,5,"Pengcheng He","","",0,
305,5,"Takeshi Akana","","",0,
306,0,"","","",0,
307,3,"Character Modeling Designers","","",0,
308,5,"Nagisa Shimizu","","",0,
309,5,"Ayako Aota","","",0,
310,0,"","","",0,
311,3,"Character & Digimon Modeling Support","","",0,
312,5,"Hiroyuki Onoda","","",0,
313,5,"Shoko Tanaka","","",0,
314,5,"Natsuko Kamata","","",0,
315,0,"","","",0,
316,3,"Lead Environment Designers","","",0,
317,5,"Yuzo Yamada","","",0,
318,5,"Masahisa Watanabe","","",0,
319,5,"Tsuguharu Aoki","","",0,
320,0,"","","",0,
321,3,"Environment Designers","","",0,
322,5,"Xueying Xiang","","",0,
323,5,"Kazuki Shinoda","","",0,
324,5,"Hideyuki Hirase","","",0,
325,5,"Hongyu Chen","","",0,
326,0,"","","",0,
327,3,"Environment Design Support","","",0,
328,5,"Toru Kadowaki","","",0,
329,5,"Hideyuki Takagi","","",0,
330,5,"Kenta Hasushi","","",0,
331,5,"Koichi Takayama","","",0,
332,0,"","","",0,
333,3,"Lead Lighting & Look Development Designer","","",0,
334,5,"Akira Ono","","",0,
335,0,"","","",0,
336,3,"Lighting & Look Development Designers","","",0,
337,5,"Masashi Hirooka","","",0,
338,5,"Hikari Sugiyama","","",0,
339,5,"Shuhei Kanayama","","",0,
340,0,"","","",0,
341,3,"Lead Motion Designers","","",0,
342,5,"Manabu Inokuchi","","",0,
343,5,"Genki Kondo","","",0,
344,0,"","","",0,
345,3,"Motion Designers","","",0,
346,5,"Kentaro Kaieda","","",0,
347,5,"Yasuko Motoki","","",0,
348,5,"Kazuhiro Murata","","",0,
349,5,"Kazuya Okamoto","","",0,
350,5,"Seiya Ide","","",0,
351,5,"Masateru Mori","","",0,
352,5,"Mayumi Yagi","","",0,
353,0,"","","",0,
354,3,"Riggers","","",0,
355,5,"Alan Fukuhara","","",0,
356,5,"Atsuki Ezure","","",0,
357,5,"Takayuki Kondo","","",0,
358,0,"","","",0,
359,3,"Lead VFX Designers","","",0,
360,5,"Masashi Hashimoto","","",0,
361,5,"Arika Minamimura","","",0,
362,5,"Minami Yamamoto","","",0,
363,0,"","","",0,
364,3,"VFX Designers","","",0,
365,5,"Eri Sawada","","",0,
366,5,"Katsuya Kihara","","",0,
367,5,"Kazuno Arai","","",0,
368,5,"KuanLin Liu","","",0,
369,0,"","","",0,
370,3,"VFX Design Support","","",0,
371,5,"Yosuke Hisasue","","",0,
372,0,"","","",0,
373,3,"Lead Interface Designer","","",0,
374,5,"Senri Kimura","","",0,
375,0,"","","",0,
376,3,"Interface Designers","","",0,
377,5,"Mai Kobatake","","",0,
378,5,"Saori Konno","","",0,
379,5,"Norihiko Wakaki","","",0,
380,0,"","","",0,
381,3,"Lead Event Designer","","",0,
382,5,"Masaya Hayakawa","","",0,
383,0,"","","",0,
384,3,"Event Designers","","",0,
385,5,"Yoko Izena","","",0,
386,5,"Ikumi Nishimura","","",0,
387,5,"Ryuto Honda","","",0,
388,5,"Tatsuya Kimoto","","",0,
389,5,"Masahiro Iwafuji","","",0,
390,5,"Mutsuki Yoshitake","","",0,
391,0,"","","",0,
392,3,"Event Design Support","","",0,
393,5,"Takeo Shine","","",0,
394,0,"","","",0,
395,3,"Debuggers","","",0,
396,5,"Hiroki Ikemoto","","",0,
397,5,"Soichi Osawa","","",0,
398,5,"Toru Kadowaki","","",0,
399,5,"Dai Matsui","","",0,
400,0,"","","",0,
401,0,"","","",0,
402,3,"1st Phase","","",0,
403,0,"","","",0,
404,3,"Assistant Director","","",0,
405,5,"Shuhei Oka","","",0,
406,0,"","","",0,
407,3,"Art Directors","","",0,
408,5,"Hiroyuki Onoda","","",0,
409,5,"Akira Ono","","",0,
410,0,"","","",0,
411,3,"Art Direction Support","","",0,
412,5,"Yukihiko Ito","","",0,
413,0,"","","",0,
414,0,"","","",0,
415,3,"Game Design","","",0,
416,0,"","","",0,
417,3,"Lead Planner","","",0,
418,5,"Tomoki Inoue","","",0,
419,0,"","","",0,
420,3,"Field Planners","","",0,
421,5,"Tomonori Sakai","","",0,
422,5,"Ryo Nishibe","","",0,
423,5,"Tomoaki Isono","","",0,
424,5,"Ryosuke Fukuda","","",0,
425,0,"","","",0,
426,3,"Battle Planners","","",0,
427,5,"Masaki Saito","","",0,
428,5,"Takumi Kamiguchi","","",0,
429,0,"","","",0,
430,3,"Interface Planner","","",0,
431,5,"Yoshinobu Aizawa","","",0,
432,0,"","","",0,
433,3,"Event Planner","","",0,
434,5,"Hideo Ichikawa","","",0,
435,0,"","","",0,
436,0,"","","",0,
437,3,"Program","","",0,
438,0,"","","",0,
439,3,"Lead Programmer","","",0,
440,5,"Okinori Yasuta","","",0,
441,0,"","","",0,
442,3,"Field Programmer","","",0,
443,5,"Takahiro Katayama","","",0,
444,0,"","","",0,
445,3,"Battle Programmers","","",0,
446,5,"Kaori Matsukura","","",0,
447,5,"Shotaro Kodani","","",0,
448,0,"","","",0,
449,3,"Interface Programmers","","",0,
450,5,"Masafumi Kishi","","",0,
451,5,"Christopher Tall","","",0,
452,0,"","","",0,
453,3,"The Digi Farm System Programmer","","",0,
454,5,"Azusa Komoro","","",0,
455,0,"","","",0,
456,3,"Event Programmer","","",0,
457,5,"Masaki Kobayashi","","",0,
458,0,"","","",0,
459,3,"Engine Programmers","","",0,
460,5,"Hiroyuki Sugiyama","","",0,
461,5,"Tetsuya Hatanaka","","",0,
462,5,"Michishito Ishizuka","","",0,
463,5,"Takayuki Wada","","",0,
464,0,"","","",0,
465,3,"Technical Support","","",0,
466,5,"Junichi Ishiba","","",0,
467,5,"Kazuki Kondo","","",0,
468,0,"","","",0,
469,0,"","","",0,
470,3,"Graphic Design","","",0,
471,0,"","","",0,
472,3,"Lead Digimon Modeling Designer","","",0,
473,5,"Hiroyuki Onoda","","",0,
474,0,"","","",0,
475,3,"Digimon Modeling Designers","","",0,
476,5,"Kazusa Takebayashi","","",0,
477,5,"Pengcheng He","","",0,
478,5,"Takeshi Akana","","",0,
479,5,"Takayuki Makishima","","",0,
480,5,"Ryo Tanoue","","",0,
481,0,"","","",0,
482,3,"Lead Character Modeling Designers","","",0,
483,5,"Isamu Uchino","","",0,
484,5,"Chisato Kawahigashi","","",0,
485,0,"","","",0,
486,3,"Character Modeling Designers","","",0,
487,5,"Yasutaka Iri","","",0,
488,5,"Kazuki Suzuki","","",0,
489,0,"","","",0,
490,3,"Character & Digimon Modeling Support","","",0,
491,5,"Shoko Tanaka","","",0,
492,0,"","","",0,
493,3,"Lead Environment Designer","","",0,
494,5,"Hideyuki Takagi","","",0,
495,0,"","","",0,
496,3,"Environment Designers","","",0,
497,5,"Koichi Takayama","","",0,
498,5,"Kenta Hasushi","","",0,
499,5,"Hongyu Chen","","",0,
500,5,"Yuzo Yamada","","",0,
501,5,"Masahisa Watanabe","","",0,
502,5,"Hideyuki Hirase","","",0,
503,5,"Kazuki Shinoda","","",0,
504,5,"Xueying Xiang","","",0,
505,5,"Takashi Endo","","",0,
506,5,"Franklin Chern","","",0,
507,5,"Jie Jin","","",0,
508,5,"Xiang Ye","","",0,
509,5,"Nobuhiro Hatori","","",0,
510,0,"","","",0,
511,3,"Lead Lighting & Look Development Designer","","",0,
512,5,"Shuhei Kanayama","","",0,
513,0,"","","",0,
514,3,"Lighting & Look Development Designers","","",0,
515,5,"Yuto Nakatsuka","","",0,
516,5,"Naoki Oshitate","","",0,
517,0,"","","",0,
518,3,"Lead Motion Designer","","",0,
519,5,"Shuhei Oka","","",0,
520,0,"","","",0,
521,3,"Motion Designers","","",0,
522,5,"Genki Kondo","","",0,
523,5,"Katsuya Tanibuchi","","",0,
524,5,"Kentaro Kaieda","","",0,
525,5,"Dai Matsui","","",0,
526,5,"Masateru Mori","","",0,
527,5,"Kento Nishimatsu","","",0,
528,5,"Takuya Higashi","","",0,
529,5,"Yo Kurazono","","",0,
530,5,"Rei Kashiwagi","","",0,
531,5,"Yuhao Ding","","",0,
532,0,"","","",0,
533,3,"Lead VFX Designer","","",0,
534,5,"Masashi Hashimoto","","",0,
535,0,"","","",0,
536,3,"VFX Designers","","",0,
537,5,"Yusuke Suto","","",0,
538,5,"Zixin Zhang","","",0,
539,0,"","","",0,
540,3,"Lead Interface Designers","","",0,
541,5,"Senri Kimura","","",0,
542,5,"Kazuno Arai","","",0,
543,0,"","","",0,
544,3,"Interface Designers","","",0,
545,5,"Mai Kobatake","","",0,
546,5,"Saori Konno","","",0,
547,5,"Norihiko Wakaki","","",0,
548,5,"Zeyu Zhang","","",0,
549,0,"","","",0,
550,3,"Lead Event Designer","","",0,
551,5,"Takeo Shine","","",0,
552,0,"","","",0,
553,3,"Event Designers","","",0,
554,5,"Yoko Izena","","",0,
555,5,"Ikumi Nishimura","","",0,
556,5,"Kaito Ono","","",0,
557,5,"Nanami Sato","","",0,
558,5,"Narumi Wada","","",0,
559,5,"Ruiting Li","","",0,
560,0,"","","",0,
561,3,"Motion Graphics","","",0,
562,5,"Koki Okuyama","","",0,
563,0,"","","",0,
564,3,"Character Design Support","","",0,
565,5,"Misuzu Itabashi","","",0,
566,0,"","","",0,
567,3,"Media.Vision ARTWORK TEAM","","",0,
568,0,"","","",0,
569,3,"Chief Designer","","",0,
570,5,"Akiko Shioya","","",0,
571,0,"","","",0,
572,3,"Background Designers","","",0,
573,5,"Asami Kamijo","","",0,
574,5,"Sayaka Fujii","","",0,
575,5,"Aika Inoue","","",0,
576,5,"Erika Kawashima","","",0,
577,5,"Yuka Hayakawa","","",0,
578,5,"Miharu Katada","","",0,
579,5,"Yugo Takahashi","","",0,
580,5,"Riyona Nagatsuka","","",0,
581,5,"Yuu Hiki","","",0,
582,5,"Mariko Shiobara","","",0,
583,0,"","","",0,
584,0,"","","",0,
585,3,"Special Thanks","","",0,
586,5,"Hideaki Kikuchi","","",0,
587,5,"Masaya Kobayashi","","",0,
588,5,"Kentaro Motomura","","",0,
589,5,"Hironori Takahashi","","",0,
590,5,"Risa Shimizu","","",0,
591,5,"Makoto Gomi","","",0,
592,0,"","","",0,
593,3,"Assistant Managers","","",0,
594,5,"Yuji Hamagata","","",0,
595,5,"Nap Lo","","",0,
596,5,"Yuichiro Yoshikawa","","",0,
597,5,"Huichen Chang","","",0,
598,5,"Etsuko Fukuda","","",0,
599,0,"","","",0,
600,3,"Project Managers","","",0,
601,5,"Ai Yoshida","","",0,
602,5,"Harumi Umezawa","","",0,
603,0,"","","",0,
604,0,"","","",0,
605,0,"","","",0,
606,2,"24Frame, INC.","","",0,
607,0,"","","",0,
608,3,"Director","","",0,
609,5,"Yusuke Tomono","","",0,
610,0,"","","",0,
611,3,"Direction Support","","",0,
612,5,"Kyoko Nakajima","","",0,
613,0,"","","",0,
614,3,"Character Model Art Director","","",0,
615,5,"Maho Kaito","","",0,
616,0,"","","",0,
617,3,"Planners","","",0,
618,5,"Ryosuke Kitamura","","",0,
619,5,"Rui Watanabe","","",0,
620,0,"","","",0,
621,3,"Technical Artist","","",0,
622,5,"Koichi Fujikawa","","",0,
623,0,"","","",0,
624,3,"Look Development Designer","","",0,
625,5,"Noriyasu Nakade","","",0,
626,0,"","","",0,
627,3,"Motion Designers","","",0,
628,5,"Takayuki Tsumura","","",0,
629,5,"Yunosuke Setoyama","","",0,
630,0,"","","",0,
631,0,"","","",0,
632,0,"","","",0,
633,3,"Screenwriter","","",0,
634,0,"","","",0,
635,3,"Main Screenwriter","","",0,
636,0,"","","",0,
637,2,"Shimogawa Planning Inc.","","",0,
638,5,"Teruhiro Shimogawa","","",0,
639,0,"","","",0,
640,3,"Screenwriters","","",0,
641,0,"","","",0,
642,2,"Iwasaki Hiroko Office Co., Ltd.","","",0,
643,5,"Hiroko Iwasaki","","",0,
644,0,"","","",0,
645,2,"GTV Inc.","","",0,
646,5,"Koji Watanabe","","",0,
647,0,"","","",0,
648,2,"EdgeWORKS, Inc.","","",0,
649,5,"Makoto Soga","","",0,
650,0,"","","",0,
651,2,"STROBEWORKS Inc.","","",0,
652,5,"Kosuke Nasu","","",0,
653,5,"Satomi Touma","","",0,
654,0,"","","",0,
655,3,"Production Support","","",0,
656,5,"Hideo Nasu","","",0,
657,0,"","","",0,
658,2,"dotworks LLC.","","",0,
659,5,"Yomohiro Hitotose","","",0,
660,5,"Satomi Hizaki","","",0,
661,5,"Sou Yoda","","",0,
662,0,"","","",0,
663,3,"Screenwriting Support","","",0,
664,5,"Shunya Sekiguchi","","",0,
665,5,"Yasushi Otake","","",0,
666,0,"","","",0,
667,0,"","","",0,
668,1,"Game Development Cooperation","","",0,
669,0,"","","",0,
670,2,"S.P.ARTS Inc.","","",0,
671,0,"","","",0,
672,3,"Game Design Director/Scenario","","",0,
673,5,"Takashi Nakahara","","",0,
674,0,"","","",0,
675,3,"Subquest Lead Level Designer","","",0,
676,5,"Akinori Ueda","","",0,
677,0,"","","",0,
678,0,"","","",0,
679,2,"FELISTELLA Co., Ltd.","","",0,
680,0,"","","",0,
681,3,"Battle Planner","","",0,
682,5,"Yuji Yamaguchi","","",0,
683,0,"","","",0,
684,3,"Field Planners","","",0,
685,5,"Ryosuke Tokiwa","","",0,
686,5,"Kousuke Tsuchiya","","",0,
687,0,"","","",0,
688,0,"","","",0,
689,2,"Pleocene Co., Ltd.","","",0,
690,0,"","","",0,
691,3,"Interface Planner/Manager","","",0,
692,5,"Ryuta Morimoto","","",0,
693,0,"","","",0,
694,3,"Field & Battle Planner","","",0,
695,5,"Takashi Motosugi","","",0,
696,0,"","","",0,
697,3,"Interface Programmer","","",0,
698,5,"Kaori Kawamura","","",0,
699,0,"","","",0,
700,0,"","","",0,
701,2,"h.a.n.d., Inc.","","",0,
702,0,"","","",0,
703,3,"Programmers","","",0,
704,5,"Shinobu Iemura","","",0,
705,5,"Takuya Narita","","",0,
706,5,"Nobuhide Takano","","",0,
707,5,"Shuta Furumi","","",0,
708,5,"Shuki Koide","","",0,
709,5,"Takuma Okada","","",0,
710,0,"","","",0,
711,0,"","","",0,
712,2,"KACHIMUSHI GRAPHICS LLC.","","",0,
713,0,"","","",0,
714,3,"Lead Character Modeling Designer","","",0,
715,5,"Eiko Nishimine","","",0,
716,0,"","","",0,
717,0,"","","",0,
718,2,"CREEK & RIVER Co., Ltd.","","",0,
719,0,"","","",0,
720,3,"Digimon Modeling Designers","","",0,
721,5,"Takuya Naito","","",0,
722,5,"Tatsuki Sato","","",0,
723,5,"Kazuya Nakamura","","",0,
724,5,"Tadashi Matsunaga","","",0,
725,5,"Takuya Yusa","","",0,
726,5,"Ryugen Minowa","","",0,
727,5,"Akiko Ota","","",0,
728,5,"Osamu Ishii","","",0,
729,5,"Ken Ito","","",0,
730,0,"","","",0,
731,3,"Project Manager","","",0,
732,5,"Tokuyuki Onodera","","",0,
733,0,"","","",0,
734,3,"VFX Artists","","",0,
735,5,"Izumi Shimokawa","","",0,
736,5,"Muneyuki Tejima","","",0,
737,5,"Hakua Sato","","",0,
738,5,"Yudai Yunoki","","",0,
739,5,"Naoyuki Imanaka","","",0,
740,0,"","","",0,
741,0,"","","",0,
742,2,"KATACHI Inc.","","",0,
743,0,"","","",0,
744,3,"Lead Character Modeler","","",0,
745,5,"Shoichi Imai","","",0,
746,0,"","","",0,
747,3,"Character Modelers","","",0,
748,5,"Eibun Kou","","",0,
749,5,"Kousui Chou","","",0,
750,0,"","","",0,
751,3,"Lead Environment Modeler","","",0,
752,5,"Ryouta Okamura","","",0,
753,0,"","","",0,
754,3,"Environment Modelers","","",0,
755,5,"Masaya Nishimori","","",0,
756,5,"Shingo Okamura","","",0,
757,5,"Aguri Ono","","",0,
758,0,"","","",0,
759,3,"Project Manager","","",0,
760,0,"Hiroyuki Sanada","","",0,
761,5,"","","",0,
762,0,"","","",0,
763,2,"AVANT.inc","","",0,
764,0,"","","",0,
765,3,"Character Modelers","","",0,
766,5,"Kazuyuki Kano","","",0,
767,5,"Takuya Nakamaru","","",0,
768,0,"","","",0,
769,3,"3D Animators","","",0,
770,5,"Tadashi Ohashi","","",0,
771,5,"Hayate Wada","","",0,
772,0,"","","",0,
773,0,"","","",0,
774,2,"Linked Brain Inc.","","",0,
775,0,"","","",0,
